1,2,3,4,5,6,7,8,9,10,11,12,13
70,"Govt Girls Primery School, Banota",Banota,22030503,,,,431,329,760,2,2,4
,,Larri,22030507,,,,429,280,709,,,
,,,,,,,860,609,1469,,,
71,"Govt Primary School, Riala Bandi",Bandi Sarara,22030508,,,,635,620,1255,2,2,4
,,,,,,,635,620,1255,,,
72,"Govt Primary School, BandiSarara",Bandi Sarara,22030509,,,,593,468,1061,2,1,3
,,,,,,,593,468,1061,,,
73,"Govt High School, Chamiali",Chamiali,22030510,,,,613,529,1142,2,1,3
,,,,,,,613,529,1142,,,
74,"Govt High School, Nakkar KhanKalan",Bakote,22031101,,,,260,199,459,2,1,3
,,Bakote,22031102,,,,452,358,810,,,
,,,,,,,712,557,1269,,,
75,"Govt Primary School, NakkarKhan Kalan",Bakote,22031103,,,,454,387,841,1,1,2
,,,,,,,454,387,841,,,
76,"Govt Girls Primary School,Kooklian",Bakote,22031104,,,,289,187,476,1,1,2
,,,,,,,289,187,476,,,
77,"Govt Girls Primary School, PagarKhen Kalan",Bakote,22031105,,,,713,519,1232,2,1,3
,,,,,,,713,519,1232,,,
78,"Govt Primary School, LundiMandri",Bakote,22031106,,,,534,425,959,1,1,2
,,,,,,,534,425,959,,,
79,"Govt Girls Primary School, SeriKhan Kalan",Bakote,22031107,,,,297,235,532,1,1,2
,,,,,,,297,235,532,,,
80,"Govt Primary School, Sarhanda",Bakote,22031108,,,,331,281,612,1,1,2
,,,,,,,331,281,612,,,
81,"Govt Primary School, KhannKhurd",Bakote,22031109,,,,555,443,998,2,1,3
,,,,,,,555,443,998,,,
82,"Govt Primary School, Ziarat Bakot",Bakote,22031110,,,,788,687,1475,2,2,4
,,,,,,,788,687,1475,,,
83,"Govt High School, Bakot",Bakote,22031111,,,,383,343,726,2,2,4
,,Bakote,22031112,,,,344,294,638,,,
,,,,,,,727,637,1364,,,
84,"Govt Primary School, Bakot",Bakote,22031113,,,,486,423,909,1,1,2
,,,,,,,486,423,909,,,
85,"Govt Girls High School, Bakot",Bakote,22031114,,,,559,449,1008,2,1,3
,,,,,,,559,449,1008,,,
86,"Govt High School, Moliya",Mooliya,22030105,,,,707,666,1373,2,2,4
,,,,,,,707,666,1373,,,
87,"Govt Girls Primary School, Moliya",Mooliya,22030106,,,,228,249,477,2,2,4
,,Mooliya,22030107,,,,439,399,838,,,
,,,,,,,667,648,1315,,,
88,"Govt Primary School, Ali Abad",Mooliya,22030108,,,,748,570,1318,2,1,3
,,,,,,,748,570,1318,,,
89,"Govt Girls Middle School, Ali Abad",Mooliya,22030109,,,,938,699,1637,2,2,4
,,,,,,,938,699,1637,,,
90,"Govt Primary School, Sangal",Sangal,22030101,,,,715,562,1277,2,1,3
,,,,,,,715,562,1277,,,
91,"Govt Primary School, DakhanMoolia",Sangal,22030104,,,,555,474,1029,2,1,3
,,,,,,,555,474,1029,,,
92,"Govt Primary School, PaikhooNakkar",Sangal,22030102,,,,342,244,586,1,1,2
,,,,,,,,,,,,
93,"Govt Primary School, PaikhooNakkar",Sangal,22030103,,,,576,432,1008,2,1,3
,,,,,,,,,,,,
94,"Hostel GHSS Berote (Old buildingGHS Berote) GHSS, Berote(Male)",Berote Kalan,22030904,,,,1394,0,1394,4,0,4
,,,,,,,1394,0,1394,,,
95,"Hostel GHSS Berote (Old buildingGHS Berote) GHSS, Berote(Female)",Berote Kalan,22030904,,,,0,1137,1137,0,2,2
,,,,,,,0,1137,1137,,,
96,"Govt Higher Secondary School,Berote",Berote Kalan,22030907,,,,719,533,1252,2,1,3
,,,,,,,719,533,1252,,,
97,"Govt Higher Secondary School,Berote",Berote Kalan,22030908,,,,568,501,1069,2,1,3
,,,,,,,568,501,1069,,,
98,"Govt Primary School, Abasian",Berote Kalan,22030901,,,,504,380,884,2,1,3
,,,,,,,,,,,,
99,"Govt Girls Primary School,Abasian",Berote Kalan,22030903,,,,373,282,655,2,2,4
,,,,,,,877,662,1539,,,
100,"Govt Girls Primary School,Abasian",Berote Kalan,22030902,,,,632,533,1165,2,1,3
,,,,,,,632,533,1165,,,
101,"Govt Girls Primary School, Julial",Berote Kalan,22030905,,,,726,576,1302,2,1,3
,,,,,,,726,576,1302,,,
102,Govt Primary School. Bandi,Berote Kalan,22030906,,,,445,370,815,1,1,2
,,,,,,,445,370,815,,,
103,"Basic Health Unit, Berote",Kahu Sharqi,22030909,,,,819,651,1470,2,2,4
