1,2,3,4,5,6,7,8,9,10,11,12,13
60,Govt:Primary School Haji Khel(C ),Haji Khel,046010601,,,,631,569,"1,200",2,1,3
61,"Govt:Primary School No. 1 Lakhti Banda(C)",Lakhti Banda,046010602,,,,661,510,"1,171",2,1,3
62,Govt:Primary School Chapper Hangu(C ),Chapper Hangu,046010606,,,,352,269,621,1,1,2
63,"Govt: Girls Primary School Gharibo Kalay(C)",Derband,046010701,,,,"1,134",908,"2,042",2,2,4
64,Govt:Middle School Darband(C ),Derband,046010702,,,,864,694,"2,421",2,2,4
"",,Derband,046010703,,,,516,347,,,,
65,Govt:Middle School Inzar Patay (C ),Pio Khel/Afzal Khel,046010704,,,,642,395,"1,367",2,1,3
"",,Farash Khel,046010705,,,,210,120,,,,
66,Govt:Middle School Samana(C ),Babi Khel,046010706,,,,344,201,775,1,1,2
"",,Ayaz Khel,046010707,,,,126,104,,,,
67,"Govt:Girls Primary School SirmaloKandau(C )","Mir KhanKilli/SirmaloKandau",046010708,,,,333,226,559,1,1,2
68,Govt:Primary School Shamshadin Killi(C ),Shamsha Din Killi,046010709,,,,458,376,834,1,1,2
69,"Govt:Primary School No.2 Ghallo Cheena(C)",Ghalo Cheena,046010710,,,,810,579,"1,389",2,1,3
70,Govt:Primary School Tora Wati (C ),Berh Abbas Khel,046011001,,,,691,417,"1,108",2,1,3
71,Govt:Primary School Ashgharo Banda ( C),Azgharo Banda,046011002,,,,799,554,"1,353",2,1,3
72,Govt: Primary School Barh Abbas Khel (C),Barh Abbas Khel,046011003,,,,178,107,"1,814",2,2,4
"",,Barh Abbas Khel,046011004,,,,909,620,,,,
73,"Govt:Primary School PatdarbandBalyamina(C )","Pat DerbandBalyamina",046011006,,,,437,343,780,1,1,2
74,Govt:Primary School Tavizi Banda(C ),"Naway KilliBalyamina",046011008,,,,662,495,"1,157",2,1,3
75,Govt. High School Bilyamina (M ),Balyamina,046011009,,,,"1,802",,"2,176",4,0,4
"",,Balyamina,046011010,,,,374,,,,,
76,Govt. Primary School Bilyamina (F),Balyamina,046011009,,,,,"1,443","1,593",0,3,3
"",,Balyamina,046011010,,,,,150,,,,
77,"Govt:Primary School Tangi Miagan No.1 (C)","Tangi BandaBalyamina",046011005,,,,460,282,742,1,1,2
78,"Govt:Middle School Alwara MelaBalyamina(C )","Alwara MelaBalyamina",046011007,,,,864,610,"1,474",2,1,3
79,Govt:Primary School Togh Sarai No.1 (C ),"Kharzoon ToghSarai",046010901,,,,"1,801","1,424","3,225",2,2,4
80,Govt:Girls High School Togh Sarai (C ),Togh Sarai,046010902,,,,"1,082",945,"2,027",2,2,4
81,Govt:High School Toghsarai (C ),"Behram Khel ToghSarai",046010903,,,,"1,318","1,095","2,413",2,2,4
82,Govt:Middle School Togh Chapri(C ),Togh Chappri,046010904,,,,422,322,744,1,1,2
83,Govt:Middle School Anar China (C ),Anar Cheena,046010905,,,,821,722,"1,543",3,1,4
84,Govt:Primary School Katgar (M ),Katgar,046010906,,,,996,,996,2,0,2
85,Govt: Girls Primary School Kathgar(F),Katgar,046010906,,,,,804,804,0,2,2
86,Govt:High School Muhammad Khawaja (C ),"MuhammadKhawaja",046011101,,,,421,376,"2,786",2,2,4
"",,"MuhammadKhawaja",046011102,,,,354,209,,,,
"",,"MuhammadKhawaja",046011110,,,,366,291,,,,
"",,"MuhammadKhawaja",046011111,,,,87,59,,,,
"",,"MuhammadKhawaja",046011112,,,,381,242,,,,
87,"Govt.Girls Middle School MuhammadKhawaja (M)","MuhammadKhawaja",046011103,,,,301,,"1,506",3,0,3
"",,"MuhammadKhawaja",046011104,,,,688,,,,,
"",,"MuhammadKhawaja",046011113,,,,517,,,,,
"",,"MuhammadKhawaja",046011114,,,,0,,,,,
88,"Govt:Primary School No.1 MuhammadKhawaja (F )","MuhammadKhawaja",046011103,,,,,281,"1,189",0,2,2
"",,"MuhammadKhawaja",046011104,,,,,496,,,,
"",,"MuhammadKhawaja",046011113,,,,,412,,,,
"",,"MuhammadKhawaja",046011114,,,,,0,,,,
89,"Govt:Girls Primary School(community)Muhammad Khawaja(C )","MuhammadKhawaja",046011105,,,,451,401,"2,340",2,2,4
"",,"MuhammadKhawaja",046011106,,,,421,322,,,,
"",,"MuhammadKhawaja",046011115,,,,406,339,,,,
90,"Govt:Primary School No.1 Khattak Banda(C)","MuhammadKhawaja",046011107,,,,253,245,908,1,1,2
"",,"MuhammadKhawaja",046011116,,,,236,174,,,,
91,"Govt:Girls Primary School Khattak Banda(C )",Khattak Banda,046011108,,,,342,273,"1,411",3,1,4
"",,Khattak Banda,046011117,,,,287,264,,,,
"",,Khattak Banda,046011118,,,,147,98,,,,
92,Govt:Primary School Tari Banda(C ),Tari Banda,046011109,,,,381,248,"1,670",3,1,4
"",,Tari Banda,046011119,,,,309,260,,,,
"",,Tari Banda,046011120,,,,265,207,,,,
93,"Basic Health Unit, Kahi(M )",Mala Khel Kahi,046011204,,,,"1,158",,"1,676",3,0,3
"",,Mala Khel Kahi,046011205,,,,518,,,,,
