"",,Laachi Nalah,014060206,,,,31,24,55,,,
"",,,,,,,91,97,188,,,
29,"Govt: Middle School SummerNala",Sumer Nala,014060101,,,,70,39,109,1,1,2
"",,Sumer Nala,014060102,,,,56,19,75,,,
"",,Sumer Nala,014060103,,,,41,30,71,,,
"",,Sumer Nala,014060104,,,,34,25,59,,,
"",,Sumer Nala,014060105,,,,33,10,43,,,
"",,Ashoori Nala,014060106,,,,24,14,38,,,
"",,Ashoori Nala,014060107,,,,25,19,44,,,
"",,,,,,,283,156,439,,,
30,Govt: High School Shatial,Daaas Shatyal,014060301,,,,96,84,180,1,1,2
"",,Shatyal Bazar,014060302,,,,136,30,166,,,
"",,Dabeech,014060303,,,,18,4,22,,,
"",,Dala Gul,014060304,,,,46,27,73,,,
"",,Saral Shatyal,014060305,,,,68,20,88,,,
"",,Baidal,014060306,,,,70,35,105,,,
"",,Shatyal Village,014060307,,,,151,72,223,,,
"",,,,,,,585,272,857,,,
31,Govt: High School Harban,Babnay,014070401,,,,77,41,118,1,1,2
Leeko,014070402,,,,76,74,150,,,,,
Harban Kot,014070403,,,,106,30,136,,,,,
Harban Kot,014070404,,,,123,53,176,,,,,
Chichlaat,014070501,,,,0,0,0,,,,,
Goorshang,014070502,,,,17,7,24,,,,,
Bakooz,014070503,,,,166,56,222,,,,,
Bakooz,014070504,,,,7,2,9,,,,,
"",,Baray Kuz,014070505,,,,46,19,65,,,
"",,Baray Ber,014070506,,,,14,11,25,,,
"",,,,,,,632,293,925,,,
32,Govt: Middle School Dargah,Dargah,014070304,,,,140,65,205,1,1,2
"",,Bakhi,014070305,,,,109,36,145,,,
"",,Gakooz,014070306,,,,57,21,78,,,
"",,Theing,014070303,,,,74,40,114,,,
"",,,,,,,380,162,542,,,
33,"Govt: Primary School BashaNo.1",Basha,014070101,,,,147,122,269,1,1,2
"",,Gorshan Basha,014070102,,,,74,53,127,,,
"",,Gorshan Basha,014070103,,,,11,3,14,,,
"",,Lal Banda,014070104,,,,21,25,46,,,
"",,Basha  Bazar,014070105,,,,25,17,42,,,
"",,,,,,,278,220,498,,,
34,Govt: Primary School Masrang,Daas,014070201,,,,79,30,109,1,1,2
"",,Masrang Kuz,014070202,,,,139,78,217,,,
"",,Ber Masrang,014070203,,,,122,65,187,,,
"",,Ber Masrang,014070204,,,,3,4,7,,,
"",,Koor,014070205,,,,164,88,252,,,
