"",51,,GGPS Abizar,,گورنمنٹ گرلز پرائمری سکول ابی زر,,Abizar (Namdari),,9S# z=#-{,,062010903,,0,,505,,505,,0,,2,,2,,Female,
"",,,,,,,Abizar,,"#-{",,062010904,,0,,505,,505,,,,,,,,,
"",52,,GPS Abizar,,گورنمنٹ پرائمری سکول ابی زر,,Abizar (Namdari),,9S# z=#-{,,062010903,,625,,0,,625,,3,,0,,3,,Male,
"",,,,,,,Abizar,,"#-{",,062010904,,650,,0,,650,,,,,,,,,
"",53,,GGHS Gul Imamm,,گورنمٹ گرلز ہائی سکول گل امام,,Gul Imam (Ibrahim Khel / Badinzai),,"9>-;<|"""" """"}=~]",,062010803,,0,,953,,953,,0,,2,,2,,Female,
"",54,,GHSS Gul Imam (Right Portion),,گورنمٹ ہائيرسيکينڈری سکول گل امام )داياں حصہ(,,Gul Imam (Ibrahim Khel / Badinzai),,"9>-;<|"""" """"}=~]",,062010803,,1264,,0,,1264,,2,,0,,2,,Male,
"",55,,GHSS Gul Imam (Left Portion),,گورنمٹ ہائيرسيکينڈری سکول گل امام )باياں حصہ(,,Gul Imam (Nasran / Mangla),,9h=~],,062010804,,529,,0,,529,,3,,0,,3,,Male,
"",,,,,,,Gul Imam,,~],,062010805,,559,,0,,559,,,,,,,,,
"",,,,,,,Gul Imam (Mohallah Salim Zai),,9>-=~],,062010806,,289,,0,,289,,,,,,,,,
"",56,,GPS Sher Ali,,گورنمنٹ پرائمری سکول شير علی,,Sher Ali,,,,062010601,,428,,0,,428,,2,,0,,2,,Male,
"",,,,,,,Wanda Dost Muhammad,,")+,$$ $$v ,",,062010602,,195,,0,,195,,,,,,,,,
"",,,,,,,Shadi Khel,,'S,,062010608,,373,,0,,373,,,,,,,,,
"",57,,GMS Sher Ali,,گورنمٹ مڈل سکول شير علی,,Sher Ali,,,,062010601,,0,,327,,327,,0,,2,,2,,Female,
"",,,,,,,Wanda Dost Muhammad,,")+,$$v$$,",,062010602,,0,,126,,126,,,,,,,,,
"",,,,,,,Shadi Khel,,'S,,062010608,,0,,272,,272,,,,,,,,,
"",58,,GHS Akbari,,گورنمٹ ہائی سکول اکبری,,Akbari / Hazrat Ali Karoona,,"L,#MSt",,062010603,,347,,0,,347,,3,,0,,3,,Male,
"",,,,,,,Akbari / Muhammad Ameer Patwari Karoona,,"L,#MS#R )St",,062010604,,325,,0,,325,,,,,,,,,
"",,,,,,,Akbari,,St,,062010606,,320,,0,,320,,,,,,,,,
"",,,,,,,Akbari/ Mohallah Baloch,,`St,,062010607,,218,,0,,218,,,,,,,,,
"",59,,GGMS Daraki,,گورنمٹ گرلز مڈل سکول درکی,,Daraki (Shadman Khel),,9']=#,,062010701,,0,,221,,221,,0,,2,,2,,Female,
"",,,,Daraki (Sardari Khel/ Ibrahim Khel),,"9 |"""" """"}'S#=#",,062010706,,0,,163,,163,,,,,,,,,,,,
"",,,,Daraki (Badin Zai / Ibrahim Khel),,"9 |"""" """"}>-;<=#",,062010702,,0,,253,,253,,,,,,,,,,,,
"",,,,Daraki/ Habibi Karoona,,"L,#M#",,062010703,,0,,205,,205,,,,,,,,,,,,
"",,,,Daraki/ Badin Zai,,>-;<#,,062010707,,0,,195,,195,,,,,,,,,,,,
"",,,,Daraki (Shadman Khel),,9']=#,,062010701,,305,,0,,305,,,,,,,,,,,,
"",Daraki (Sardari Khel/ Ibrahim Khel),,"9|"""" """"}'S#=#",,062010706,,202,,0,,202,,,,,,,,,,,,,,,
"",Daraki (Badin Zai / Ibrahim Khel),,"9 |"""" """"}>-;<=#",,062010702,,891,,0,,891,,,,,,,,,,,,,,,
"",,,,Daraki/ Habibi Karoona,,"L,#M#",,062010703,,275,,0,,275,,,,,,,,,,,,
"",,,,,,,Daraki/ Badin Zai,,>-;<#,,062010707,,272,,0,,272,,,,,,,,,
"",61,,GGPS Hassan Jan Koroona Daraki,,گورنمنٹ گرلز پرائمرسکول حسن جان کورونہ درکی,,Daraki (Sardari Khel),,9']=#,,062010701,,152,,111,,263,,1,,1,,2,,Combined,
"",,,,,,,Daraki (Sardari Khel/ Ibrahim Khel),,"9|"""" """"}'S#=#",,062010706,,100,,81,,181,,,,,,,,,
"",62,,GPS Andari,,گورنمنٹ پرائمری سکول اندری,,Andari,,S#,,062010605,,612,,0,,612,,2,,0,,2,,Male,
"",,,,,,,Umar Khan,,O,,062010704,,151,,0,,151,,,,,,,,,
"",,,,,,,Khyber,,,,062010705,,201,,0,,201,,,,,,,,,
"",63,,GGPS Andari,,گورنمنٹ گرلز پرائمری سکول اندری,,Andari,,S#,,062010605,,0,,435,,435,,0,,2,,2,,Female,
