"",,Maini,32020323,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,827,827,0,2,2
48,"Govt:High SchoolRedawan Maini (M)  1stPS (P)*",Maini,32020303,---,---,---,656,0,656,3,0,3
"",,Maini,32020304,---,---,---,600,0,600,,,
"",,TOTAL: -,,---,---,---,1256,0,1256,3,0,3
49,"Govt:High SchoolRedawan Maini (M)  2ndPS (P)*",Maini,32020305,---,---,---,738,0,738,2,0,2
"",,Maini,32020316,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,738,0,738,2,0,2
50,"Govt:High SchoolRedawan Maini (M)  3rdPS (P)*",Maini,32020312,---,---,---,410,0,410,2,0,2
"",,Maini,32020324,---,---,---,0,0,0,,,
"",,Maini,32020325,---,---,---,0,0,0,,,
"",,Maini,32020326,---,---,---,0,0,0,,,
"",,Maini,32020327,---,---,---,0,0,0,,,
"",,Haji khel Maini,32020313,---,---,---,391,0,391,,,
"",,TOTAL: -,,---,---,---,801,0,801,2,0,2
51,"Govt Primary SchoolRedawan Maini Ghari (F)",Maini,32020303,---,---,---,0,502,502,0,2,2
Maini,32020304,---,---,---,0,364,364,,,,,
"",1st PS (P)*,TOTAL: -,,---,---,---,0,866,866,0,2,2
52,"Govt Primary SchoolRedawan Maini Ghari (F)2nd PS (P)*",Maini,32020305,---,---,---,0,557,557,0,3,3
"",,Maini,32020316,---,---,---,0,0,0,,,
"",,Maini,32020312,---,---,---,0,267,267,,,
"",,Maini,32020324,---,---,---,0,0,0,,,
"",,Maini,32020325,---,---,---,0,0,0,,,
"",,Maini,32020326,---,---,---,0,0,0,,,
"",,Maini,32020327,---,---,---,0,0,0,,,
"",,Haji khel Maini,32020313,---,---,---,0,280,280,,,
"",,TOTAL: -,,---,---,---,0,1104,1104,0,3,3
53,"Govt:High School Kotha(M) 1st PS (P)*",Kotha,32020401,---,---,---,943,0,943,3,0,3
"",,Kotha,32020402,---,---,---,437,0,437,,,
"",,TOTAL: -,,---,---,---,1380,0,1380,3,0,3
54,"Govt:High School Kotha(M) 2nd PS (P)*",Kotha,32020406,---,---,---,419,0,419,2,0,2
"",,Kotha,32020407,---,---,---,437,0,437,,,
"",,TOTAL: -,,---,---,---,856,0,856,2,0,2
55,"Govt:High School Kotha(M) 3rd PS (P)*",Kotha,32020408,---,---,---,961,0,961,3,0,3
"",,Kotha,32020418,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,961,0,961,3,0,3
56,"Govt Girls HigherSecondry School  Kotha(F) 1st PS (P)*",Kotha,32020401,---,---,---,0,574,574,0,2,2
"",,Kotha,32020402,---,---,---,0,289,289,,,
"",,TOTAL: -,,---,---,---,0,863,863,0,2,2
57,"Govt Girls HigherSecondry School  Kotha(F) 2nd PS (P)*",Kotha,32020406,---,---,---,0,298,298,0,3,3
"",,Kotha,32020407,---,---,---,0,356,356,,,
"",,Kotha,32020408,---,---,---,0,654,654,,,
"",,Kotha,32020418,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,1308,1308,0,3,3
58,"Govt Girls Middle /GovtGirls Primary School No.2Kotha (M) 1st PS (P)*",Kotha,32020403,---,---,---,585,0,585,3,0,3
"",,Kotha,32020404,---,---,---,556,0,556,,,
"",,TOTAL: -,,---,---,---,1141,0,1141,3,0,3
59,"Govt Girls Middle /GovtGirls Primary School No.2Kotha (M) 2nd PS (P)*",Kotha,32020405,---,---,---,1199,0,1199,3,0,3
"",,TOTAL: -,,---,---,---,1199,0,1199,3,0,3
60,"Govt: Primary School No.4Kotha (M)  (P)*",Kotha,32020409,---,---,---,923,0,923,3,0,3
Kotha,32020410,---,---,---,315,0,315,,,,,
TOTAL: -,,---,---,---,1238,0,1238,3,0,3,,
61,"Govt Primary School No.3Kotha (F) 1st PS (P)*",Kotha,32020403,---,---,---,0,395,395,0,2,2
"",,Kotha,32020404,---,---,---,0,387,387,,,
"",,TOTAL: -,,---,---,---,0,782,782,0,2,2
62,"Govt Primary School No.3Kotha (F) 2nd PS (P)*",Kotha,32020405,---,---,---,0,987,987,0,2,2
"",,TOTAL: -,,---,---,---,0,987,987,0,2,2
63,"Govt Primary School No.3Kotha (F) 3rd PS (P)*",Kotha,32020409,---,---,---,0,637,637,0,2,2
"",,Kotha,32020410,---,---,---,0,232,232,,,
"",,TOTAL: -,,---,---,---,0,869,869,0,2,2
64,"Govt Primary School No.1Musa Khel Kotha (M)  (P)*",Kotha,32020411,---,---,---,604,0,604,3,0,3
"",,Kotha,32020419,---,---,---,0,0,0,,,
"",,Kotha,32020412,---,---,---,430,0,430,,,
"",,Kotha,32020420,---,---,---,0,0,0,,,
"",,Kotha,32020414,---,---,---,206,0,206,,,
"",,Kotha,32020421,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,1240,0,1240,3,0,3
65,"Govt Girls Primary SchoolNo.1 Kotha (M) 1st PS(P)*",Kotha,32020413,---,---,---,441,0,441,3,0,3
"",,Kotha,32020415,---,---,---,850,0,850,,,
"",,TOTAL: -,,---,---,---,1291,0,1291,3,0,3
66,"Govt Girls Primary SchoolNo.1 Kotha (M) 2nd PS(P)*",Kotha,32020416,---,---,---,304,0,304,3,0,3
"",,Kotha,32020417,---,---,---,644,0,644,,,
"",,Kotha,32020422,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,948,0,948,3,0,3
67,"Govt Girls Primary SchoolNo.3 Panjpao Kotha (F) 1stPS (P)*",Kotha,32020411,---,---,---,0,497,497,0,3,3
"",,Kotha,32020419,---,---,---,0,0,0,,,
"",,Kotha,32020412,---,---,---,0,321,321,,,
"",,Kotha,32020420,---,---,---,0,0,0,,,
"",,Kotha,32020413,---,---,---,0,355,355,,,
"",,Kotha,32020414,---,---,---,0,148,148,,,
"",,Kotha,32020421,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,1321,1321,0,3,3
68,"Govt Girls Primary SchoolNo.3 Panjpao Kotha (F)2nd PS (P)*",Kotha,32020415,---,---,---,0,695,695,0,3,3
"",,Kotha,32020416,---,---,---,0,200,200,,,
"",,Kotha,32020417,---,---,---,0,436,436,,,
"",,Kotha,32020422,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,1331,1331,0,3,3
69,"Govt:High School Kalabat(M) 1st PS (P)*",Kalabat,32020601,---,---,---,581,0,581,3,0,3
Kalabat,32020613,---,---,---,0,0,0,,,,,
"",,Kalabat,32020602,---,---,---,734,0,734,,,
"",,Kalabat,32020614,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,1315,0,1315,3,0,3
70,"Govt:High School Kalabat(M) 2nd PS (P)*",Kalabat,32020603,---,---,---,352,0,352,2,0,2
"",,Kalabat,32020604,---,---,---,404,0,404,,,
"",,TOTAL: -,,---,---,---,756,0,756,2,0,2
71,"Govt:High School Kalabat(M) 3rd PS (P)*",Kalabat,32020605,---,---,---,345,0,345,3,0,3
"",,Kalabat,32020606,---,---,---,231,0,231,,,
"",,Kalabat,32020607,---,---,---,324,0,324,,,
"",,TOTAL: -,,---,---,---,900,0,900,3,0,3
72,"Govt Girls HigherSecondry School Kalabat(New building) (F) 1st PS(P)*",Kalabat,32020601,---,---,---,0,395,395,0,3,3
"",,Kalabat,32020613,---,---,---,0,0,0,,,
"",,Kalabat,32020602,---,---,---,0,474,474,,,
"",,Kalabat,32020614,---,---,---,0,0,0,,,
"",,Kalabat,32020603,---,---,---,0,301,301,,,
