ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
"",,NAWAN PIND,178010441,,,,,207,207,,,
"",,NAWAN PIND,178010424,,,,,395,395,,,
"",,NAWAN PIND,178010442,,,,,48,48,,,
"",,NAWAN PIND,178010443,,,,,88,88,,,
"",,NAWAN PIND,178010444,,,,,8,8,,,
"",,,TOTAL:-,,,,,1091,1091,,2,2
215,Government Girls High School Nawan Pind. (Male) (P),NAWAN PIND,178010425,,,,330,,330,,,
"",,NAWAN PIND,178010426,,,,265,,265,,,
"",,NAWAN PIND,178010427,,,,446,,446,,,
"",,NAWAN PIND,178010428,,,,287,,287,,,
"",,NAWAN PIND,178010429,,,,335,,335,,,
"",,,TOTAL:-,,,,1663,,1663,3,,3
216,"Government Boys Primary School Nawan Pind. (Female)(P)",NAWAN PIND,178010425,,,,,275,275,,,
"",,NAWAN PIND,178010426,,,,,202,202,,,
"",,NAWAN PIND,178010427,,,,,345,345,,,
"",,NAWAN PIND,178010428,,,,,228,228,,,
"",,NAWAN PIND,178010429,,,,,253,253,,,
"",,,TOTAL:-,,,,,1303,1303,,2,2
217,Basic Health UnitBhadal.(Male) (P),BADHAL,178010430,,,,286,,286,,,
"",,BADHAL,178010431,,,,766,,766,,,
"",,BADHAL,178010432,,,,548,,548,,,
"",,,TOTAL:-,,,,1600,,1600,3,,3
218,Government Girls High School Bhadal. (Female),BADHAL,178010430,,,,,196,196,,,
"",,BADHAL,178010431,,,,,610,610,,,
"",,BADHAL,178010432,,,,,423,423,,,
"",,,TOTAL:-,,,,,1229,1229,,2,2
219,Government Boys High School Pacci Kotli. (Male)  (P),PACCI KOTLI,178010433,,,,280,,280,,,
"",,PACCI KOTLI,178010434,,,,297,,297,,,
"",,PACCI KOTLI,178010435,,,,283,,283,,,
"",,PACCI KOTLI,178010436,,,,375,,375,,,
"",,,TOTAL:-,,,,1235,,1235,2,,2
220,Government Boys High School Pacci Kotli.(Female)  (P),PACCI KOTLI,178010433,,,,,171,171,,,
"",,PACCI KOTLI,178010434,,,,,252,252,,,
"",,PACCI KOTLI,178010435,,,,,207,207,,,
"",,PACCI KOTLI,178010436,,,,,315,315,,,
"",,,TOTAL:-,,,,,945,945,,2,2
221,Government Boys High School Pacci Kotli.  (P),PACCI KOTLI,178010437,,,,819,645,1464,,,
"",TOTAL:-,,,,819,645,1464,1,1,2,,
PACCI KOTLI,178010438,,,,466,,466,,,,,
PACCI KOTLI,178010439,,,,499,,499,,,,,
"",,,TOTAL:-,,,,1249,,1249,2,,2
223,"Government Girls Elementry School Pacci Kotli. (Female)(P)",PACCI KOTLI,178010438,,,,,384,384,,,
"",,PACCI KOTLI,178010439,,,,,378,378,,,
"",,PACCI KOTLI,178010440,,,,,216,216,,,
"",,,TOTAL:-,,,,,978,978,,2,2
224,Government  Boys High School Kotli Amir Ali.(Male)(P),MOGHALANWALI,178010501,,,,387,,387,,,
"",,KOTLI AMIR ALI,178010502,,,,383,,383,,,
"",,SYEDDANWALI,178010508,,,,386,,386,,,
"",,,TOTAL:-,,,,1156,,1156,2,,2
225,Government  Boys High School Kotli Amir Ali.(Female)(P),MOGHALANWALI,178010501,,,,,330,330,,,
"",,KOTLI AMIR ALI,178010502,,,,,334,334,,,
"",,SYEDDANWALI,178010508,,,,,324,324,,,
"",,,TOTAL:-,,,,,988,988,,2,2
226,"Government Model Primary School Sadra Badra.(Male-Portion)(Male) (P)",SADRAH BADRAH,178010503,,,,809,,809,,,
"",,SADRAH BADRAH,178010504,,,,261,,261,,,
"",,,TOTAL:-,,,,1070,,1070,2,,2
227,"Government Model Primary School Sadra Badra.(Female-Portion)(Female) (P)",SADRAH BADRAH,178010503,,,,,692,692,,,
"",,SADRAH BADRAH,178010504,,,,,221,221,,,
"",,,TOTAL:-,,,,,913,913,,2,2
228,Government Girls High School Miani (Male) (P),MIANI,178010505,,,,560,,560,,,
"",,MIANI,178010506,,,,804,,804,,,
"",,,TOTAL:-,,,,1364,,1364,2,,2
229,Government Girls High School Miani (Female) (P),MIANI,178010505,,,,,396,396,,,
"",,MIANI,178010506,,,,,654,654,,,
"",,,TOTAL:-,,,,,1050,1050,,2,2
230,Government Boys Primary School Miani. (P),MIANI,178010507,,,,596,497,1093,,,
"",,,TOTAL:-,,,,596,497,1093,1,1,2
231,Government Boys High School Ladhar  (P),LADHAR,178010601,,,,808,514,1322,,,
"",,,TOTAL:-,,,,808,514,1322,1,1,2
232,Government Boys High School Ladhar (Male) (P),LADHAR,178010602,,,,420,,420,,,
"",,LADHAR,178010603,,,,275,,275,,,
"",,LADHAR,178010604,,,,548,,548,,,
"",,,TOTAL:-,,,,1243,,1243,2,,2
233,Government Girls Primary School Ladhar (Female) (P),LADHAR,178010602,,,,,345,345,,,
LADHAR,178010603,,,,,211,211,,,,,
LADHAR,178010604,,,,,410,410,,,,,
"",TOTAL:-,,,,,966,966,,2,2,,
HUNDAL,178010605,,,,151,88,239,,,,,
HUNDAL,178010606,,,,257,173,430,,,,,
"",,,TOTAL:-,,,,805,543,1348,1,1,2
235,Government Boys Elementary School Hundal (Male) (P),HUNDAL,178010608,,,,390,,390,,,
"",,HUNDAL,178010609,,,,672,,672,,,
"",,HUNDAL,178010610,,,,194,,194,,,
"",,HUNDAL,178010611,,,,384,,384,,,
"",,,TOTAL:-,,,,1640,,1640,3,,3
236,"Government Boys Elementary School Hundal (Female)(P)",HUNDAL,178010608,,,,,250,250,,,
"",,HUNDAL,178010609,,,,,458,458,,,
"",,HUNDAL,178010610,,,,,124,124,,,
"",,HUNDAL,178010611,,,,,304,304,,,
"",,,TOTAL:-,,,,,1136,1136,,2,2
237,Government Girls Primary School Chak Gillan. (P),CHAK GILLAN,178010612,,,,195,145,340,,,
"",,CHAK GILLAN,178010613,,,,400,262,662,,,
"",,KALEWALI,178010616,,,,234,196,430,,,
"",,SIRAJWALI,178010617,,,,178,123,301,,,
"",,,TOTAL:-,,,,1007,726,1733,2,2,4
238,Government Model Primary School Gato Rora. (P),GHATTO RORA,178010614,,,,218,132,350,,,
"",,GHATTO RORA,178010615,,,,672,516,1188,,,
"",,,TOTAL:-,,,,890,648,1538,1,1,2
239,"Government Boys Primary School Chak Malay Purana.(P)",CHAK MULLA PURANA,178030501,,,,641,453,1094,,,
"",,,TOTAL:-,,,,641,453,1094,,,
240,"Government Boys Primary School Chak Malay Nawan.(P)",CHAK MULLANWAN,178030502,,,,337,253,590,,1,1
"",,CHAK MULLANWAN,178030503,,,,267,203,470,,,
"",,,TOTAL:-,,,,604,456,1060,1,1,2
241,"Government Girls Elementary School Bhago Bhattian.(P)",KALU PIARA,178030504,,,,266,221,487,,,
"",,SABU SANDA,178030505,,,,342,293,635,,,
"",,BHAGO BHATTI,178030611,,,,290,208,498,,,
"",,,TOTAL:-,,,,898,722,1620,2,1,3
242,Government Model Primary School  Urra  (P),ORA,178030506,,,,676,547,1223,,,
"",,,TOTAL:-,,,,676,547,1223,1,1,2
243,Government Model Primary School  Urra (Male) (P),ORA,178030507,,,,308,,308,,,
"",,ORA,178030508,,,,472,,472,,,
"",,ORA,178030509,,,,321,,321,,,
"",,,TOTAL:-,,,,1101,,1101,2,,2
244,Government Model Primary School Urra (Female) (P),ORA,178030507,,,,,207,207,,,
ORA,178030508,,,,,424,424,,,,,
ORA,178030509,,,,,233,233,,,,,
"",TOTAL:-,,,,,864,864,,2,2,,
SAHOWALI,178030601,,,,852,,852,,,,,
SAHOWALI,178030602,,,,223,,223,,,,,
246,Government Boys Primery School Sahowali. (Female) (P),SAHOWALI,178030601,,,,,673,673,,,
"",,SAHOWALI,178030602,,,,,188,188,,,
"",,,TOTAL:-,,,,,861,861,,2,2
247,"Government Boys Elementary School Langrialli (Male)(P)",LANGRIALI,178030603,,,,307,,307,,,
"",,LANGRIALI,178030604,,,,944,,944,,,
"",,LANGRIALI,178030607,,,,363,,363,,,
"",,,TOTAL:-,,,,1614,,1614,3,,3
248,"Government Boys Elementary School Langrialli (Female)(P)",LANGRIALI,178030603,,,,,245,245,,,
"",,LANGRIALI,178030604,,,,,758,758,,,
"",,LANGRIALI,178030607,,,,,270,270,,,
"",,,TOTAL:-,,,,,1273,1273,,2,2
249,Government Girls High School Langrialli.,LANGRIALI,178030605,,,,207,86,293,,,
"",,LANGRIALI,178030606,,,,427,417,844,,,
"",,,TOTAL:-,,,,634,503,1137,1,1,2
250,Government Girls  Primary School Bhoj Pur. (P),BHOJ PUR,178030608,,,,465,389,854,,,
"",,,TOTAL:-,,,,465,389,854,1,1,2
251,Government Boys Elementary School Bhate kalan (P),BHATE KALAN,178030609,,,,626,534,1160,,,
"",,BHATE KALAN,178030610,,,,302,242,544,,,
"",,,TOTAL:-,,,,928,776,1704,2,2,4
252,Government Girls Primary School Jajje. (P),DHINGLA,178030612,,,,140,96,236,,,
"",,JAJJE,178030613,,,,473,399,872,,,
"",,,TOTAL:-,,,,613,495,1108,1,1,2
253,Government Boys High School Rasul Pur (P),RASUL PUR,178030701,,,,521,406,927,,,
"",,KHOKHAR MASHMULA K,1A7R8030806,,,,109,87,196,,,
"",,,TOTAL:-,,,,630,493,1123,1,1,2
254,Government Girls Primary School Darganwali (P),RAMZAN GARH,178030702,,,,91,44,135,,,
"",,DURGAN WALI,178031302,,,,513,393,906,,,
"",,,TOTAL:-,,,,604,437,1041,1,1,2
255,Government Girls Primary School  Lalokay. (P),NANDI PUR,178030703,,,,378,309,687,,,
"",,LALU KE,178030704,,,,306,264,570,,,
"",,,TOTAL:-,,,,684,573,1257,1,1,2
256,Government Boys Primary School Bhelola  (P),KHOKHAR MASHMULA B,H17LO8030705,,,,85,54,139,,,
"",,BEHLOLA,178030706,,,,728,488,1216,,,
"",,,TOTAL:-,,,,813,542,1355,1,1,2
257,Government Girls Primary School Kharana. (P),MALIKA,178030801,,,,161,127,288,,,
KHARANA,178030805,,,,393,316,709,,,,,
"",TOTAL:-,,,,554,443,997,1,1,2,,
RAJA HARPAL,178030802,,,,669,624,1293,,,,,
DHESIAN,178030804,,,,177,130,307,,,,,
259,Government Boys Primary School Akal Garh . (P),AKAL GARH,178030803,,,,591,380,971,,,
"",,TAKHAR SAPAL,178030807,,,,214,145,359,,,
"",,,TOTAL:-,,,,805,525,1330,1,1,2
260,Government Girls Primary School Khokhar (P),TONGAR,178030901,,,,200,146,346,,,
"",,SOHNDA,178031005,,,,154,115,269,,,
"",,KHOKHAR,178031008,,,,311,215,526,,,
"",,,TOTAL:-,,,,665,476,1141,1,1,2
261,Government Girls Primary School Gahri Bhora. (P),GARHI BHORA,178030902,,,,212,142,354,,,
"",,KARLOP,178030905,,,,575,366,941,,,
"",,HAIDER PUR,178031007,,,,1,0,1,,,
"",,,TOTAL:-,,,,788,508,1296,1,1,2
262,Government Boys Primary School Wahgran. (P),SADRAH,178030903,,,,416,288,704,,,
"",,WAHGRAN,178030904,,,,579,468,1047,,,
"",,,TOTAL:-,,,,995,756,1751,2,2,4
263,Government Girls Elementary School Joiyan (P),UMRAN WALI,178031001,,,,348,247,595,,,
"",,JOYIAN,178031002,,,,249,161,410,,,
"",,JOYIAN,178031003,,,,0,0,0,,,
"",,JOYIAN,178031004,,,,187,149,336,,,
"",,BHELO WAL,178031006,,,,148,90,238,,,
"",,CHANDAR,178031009,,,,135,78,213,,,
"",,,TOTAL:-,,,,1067,725,1792,2,2,4
264,Government Girls Primary School Hari Pur. (P),HARI PUR,178031101,,,,464,407,871,,,
"",,HARI PUR,178031102,,,,310,235,545,,,
"",,,TOTAL:-,,,,774,642,1416,1,1,2
265,Government Boys Primary School Dhandal (P),DENDAL,178031103,,,,193,129,322,,,
"",,BAL,178031106,,,,514,389,903,,,
"",,,TOTAL:-,,,,707,518,1225,1,1,2
266,"Government Girls Elementary School SaiydanWali.(Male) (P)",SAIDAN WALI,178031104,,,,436,,436,,,
"",,SAIDAN WALI,178031105,,,,774,,774,,,
"",,,TOTAL:-,,,,1210,,1210,2,,2
267,Government Boys Primery School Saiydan Wali.(Female),SAIDAN WALI,178031104,,,,,356,356,,,
"",,SAIDAN WALI,178031105,,,,,649,649,,,
"",,,TOTAL:-,,,,,1005,1005,,2,2
268,"Government Boys Elementary School Mallo Chit (Male).(P)",MALHU CHHAT,178031107,,,,701,,701,,,
"",,MALHU CHHAT,178031108,,,,382,,382,,,
"",,,TOTAL:-,,,,1083,,1083,2,,2
269,"Government Girls Elementary School Mallo Chit(Female). (P)",MALHU CHHAT,178031107,,,,,566,566,,,
MALHU CHHAT,178031108,,,,,295,295,,,,,
"",TOTAL:-,,,,,861,861,,2,2,,
RAI PUR,178031201,,,,99,,99,,,,,
"",,RAI PUR,178031203,,,,162,,162,,,
"",,,TOTAL:-,,,,1048,,1048,2,,2
271,"Government Girls Elementary School Rai Pur. (Female)(P)",RAI PUR,178031201,,,,,81,81,,,
"",,RAI PUR,178031202,,,,,666,666,,,
"",,RAI PUR,178031203,,,,,134,134,,,
"",,,TOTAL:-,,,,,881,881,,2,2
272,Government Girls Primary School Gopal Pur (P),GOPAL PUR,178031204,,,,490,426,916,,,
"",,GOPAL PUR,178031205,,,,452,385,837,,,
"",,,TOTAL:-,,,,942,811,1753,2,2,4
273,Government Girls Primary School Kotli Arian. (P),KOTLI ARAIAN,178031206,,,,621,543,1164,,,
"",,CHAK NAWAN,178031211,,,,0,0,0,,,
"",,,TOTAL:-,,,,621,543,1164,1,1,2
274,Government Model Primary School Chak Sada. (P),CHAK SADA,178031207,,,,206,150,356,,,
"",,CHAK SADA,178031208,,,,452,364,816,,,
"",,,TOTAL:-,,,,658,514,1172,1,1,2
275,Government Model Primary School Kaiss (P),KESS,178031209,,,,455,363,818,,,
"",,KESS,178031210,,,,342,268,610,,,
"",,,TOTAL:-,,,,797,631,1428,1,1,2
276,Government Girls Primary School Dharkalian (P),DHARKALI,178031301,,,,597,440,1037,,,
"",,MAHAL MAGRA,178031305,,,,325,192,517,,,
"",,,TOTAL:-,,,,922,632,1554,2,1,3
277,Government Boys Primary School Kotli Jaspal. (P),JASPAL,178031303,,,,330,240,570,,,
"",,MAHAL KOTLI,178031304,,,,183,124,307,,,
"",,RAGNATH PUR,178031306,,,,216,170,386,,,
"",,,TOTAL:-,,,,729,534,1263,1,1,2
278,"Government Girls Primary School Kala Harawan (Male)(P)",KALA HARAWAN,178031307,,,,841,,841,,,
"",,KALA HARAWAN,178031308,,,,59,,59,,,
"",,KALA HARAWAN,178031309,,,,153,,153,,,
"",,,TOTAL:-,,,,1053,,1053,2,,2
279,"Government Girls Primary School Kala Harawan (Female)(P)",KALA HARAWAN,178031307,,,,,601,601,,,
"",,KALA HARAWAN,178031308,,,,,43,43,,,
"",,KALA HARAWAN,178031309,,,,,125,125,,,
"",,,TOTAL:-,,,,,769,769,,2,2
280,Government Boys High SchoolBhagowal. (Male) (P),BHAGOWAL,178031401,,,,308,,308,,,
BHAGOWAL,178031402,,,,504,,504,,,,,
BHAGOWAL,178031403,,,,476,,476,,,,,
"",TOTAL:-,,,,1288,,1288,2,,2,,
BHAGOWAL,178031401,,,,,221,221,,,,,
BHAGOWAL,178031402,,,,,401,401,,,,,
BHAGOWAL,178031403,,,,,354,354,,,,,
282,Government Boys High SchoolBhagowal.  (P),BHAGOWAL,178031404,,,,266,206,472,,,
"",,BHAGOWAL,178031405,,,,364,289,653,,,
"",,NAWADEY,178031407,,,,151,114,265,,,
"",,,TOTAL:-,,,,781,609,1390,1,1,2
283,Government Boys Primary School Gahoga. (P),GAHOGA,178031406,,,,716,470,1186,,,
"",,MAKABIR,178031408,,,,301,187,488,,,
"",,,TOTAL:-,,,,1017,657,1674,2,1,3
284,Government Girls Primary School Ratta Arian. (P),RATTA,178031501,,,,419,282,701,,,
"",,RATTA,178031502,,,,474,229,703,,,
"",,CHAK LOHARAN,178031503,,,,212,132,344,,,
"",,,TOTAL:-,,,,1105,643,1748,2,1,3
285,Government Girls Elementary SchoolWadianwala. (P),WADIAN WALA,178031504,,,,311,230,541,,,
"",,WADIAN WALA,178031505,,,,478,281,759,,,
"",,DAHONDA,178031506,,,,197,114,311,,,
"",,,TOTAL:-,,,,986,625,1611,2,1,3
286,Government Girls Elementary SchoolBharoke  (P),BHROKE,178031601,,,,453,290,743,,,
"",,BHROKE,178031602,,,,378,316,694,,,
"",,,TOTAL:-,,,,831,606,1437,1,1,2
287,Government Girls Primary School Chandar. (P),CHANDAR,178031603,,,,430,259,689,,,
"",,,TOTAL:-,,,,430,259,689,1,1,2
288,Government Girls Primary School Jajjey Ramdas. (P),JAJJEY RAMDAS,178031604,,,,467,306,773,,,
"",,MAHAL JHAWAR,178031605,,,,151,109,260,,,
"",,,TOTAL:-,,,,618,415,1033,1,1,2
289,Government Girls Primary School Sadharwali. (P),SADHARWALI,178031606,,,,105,74,179,,,
"",,SADHARWALI,178031607,,,,544,339,883,,,
"",,,TOTAL:-,,,,649,413,1062,1,1,2
290,Government Girls Elementary School Nedoke. (P),BHONI,178031701,,,,151,102,253,,,
"",,BHONI,178031702,,,,146,134,280,,,
"",,CHAK BIDYA,178031706,,,,211,159,370,,,
"",,NADOKE,178031707,,,,562,391,953,,,
"",,,TOTAL:-,,,,1070,786,1856,2,2,4
291,Government Model Primary School Vinjal. (P),WINJAL,178031703,,,,224,140,364,,,
"",,WINJAL,178031704,,,,444,351,795,,,
"",,,TOTAL:-,,,,668,491,1159,1,1,2
292,"Government Model Elementary SchoolPathanwali.(Male) (P)",CHAK SADHA,178031705,,,,160,,160,,,
PATHAN WALI,178031708,,,,710,,710,,,,,
PATHAN WALI,178031709,,,,250,,250,,,,,
PATHAN WALI,178031710,,,,129,,129,,,,,
"",TOTAL:-,,,,1249,,1249,2,,2,,
CHAK SADHA,178031705,,,,,112,112,,,,,
293,(Female) (P),PATHAN WALI,178031709,,,,,205,205,,,
"",,PATHAN WALI,178031710,,,,,96,96,,,
"",,,TOTAL:-,,,,,965,965,,2,2
294,Government Girls High SchoolGunna Kalan (Male) (P),GUNNA KALAN,178031801,,,,428,,428,,,
"",,GUNNA KALAN,178031802,,,,638,,638,,,
"",,GUNNA KALAN,178031803,,,,258,,258,,,
"",,GUNNA KALAN,178031804,,,,77,,77,,,
"",,GUNNA KALAN,178031805,,,,197,,197,,,
"",,,TOTAL:-,,,,1598,,1598,3,,3
295,Government Girls High SchoolGunna Kalan (Female) (P),GUNNA KALAN,178031801,,,,,309,309,,,
"",,GUNNA KALAN,178031802,,,,,509,509,,,
"",,GUNNA KALAN,178031803,,,,,173,173,,,
"",,GUNNA KALAN,178031804,,,,,63,63,,,
"",,GUNNA KALAN,178031805,,,,,137,137,,,
"",,,TOTAL:-,,,,,1191,1191,,2,2
296,Government Model Primery School Kot Rajkor.,JANDEKA MEERA,178031806,,,,53,44,97,,,
"",,KOT RAJKOR,178031807,,,,352,231,583,,,
"",,KOTLI RAJKOR,178031808,,,,5,3,8,,,
"",,MAHAL GUCHE,178031809,,,,395,328,723,,,
"",,,TOTAL:-,,,,805,606,1411,1,1,2
297,Government Boys Primary School Guna Khurd.  (P),GUNNA KHURD,178031901,,,,358,193,551,,,
"",,GUNNA KHURD,178031902,,,,609,465,1074,,,
"",,TUNDGARH,178031906,,,,9,8,17,,,
"",,,TOTAL:-,,,,976,666,1642,2,1,3
298,Government Girls Primary School Garbla Sydan. (P),BAKHARPUR,178031903,,,,156,97,253,,,
"",,ATHWAL,178031904,,,,31,17,48,,,
"",,GALBALA,178031905,,,,340,279,619,,,
"",,,TOTAL:-,,,,527,393,920,1,1,2
299,Government Model Primary School Sattowali. (P),SATTOWALI,178032001,,,,260,196,456,,,
"",,SATTOWALI,178032002,,,,361,246,607,,,
"",,,TOTAL:-,,,,621,442,1063,1,1,2
300,Government Girls Primary School Dhudian Wali. (P),DHUDIAN WALI,178032003,,,,341,217,558,,,
"",,DHUDIAN WALI,178032004,,,,557,382,939,,,
"",,,TOTAL:-,,,,898,599,1497,2,1,3
301,Government Girls High School Varyo. (Male) (P),VARYO,178032005,,,,485,,485,,,
CHICHERRIALI,178032011,,,,441,,441,,,,,
MAHAL CHHANAWAN,178032006,,,,262,,262,,,,,
"",TOTAL:-,,,,1188,,1188,2,,2,,
VARYO,178032005,,,,,385,385,,,,,
CHICHERRIALI,178032011,,,,,340,340,,,,,
"",,,TOTAL:-,,,,,904,904,,2,2
303,Government Boys Elementary SchoolMandianwala. (P),MANDIAN WALA,178032007,,,,624,463,1087,,,
"",,MANDIAN WALA,178032008,,,,254,169,423,,,
"",,,TOTAL:-,,,,878,632,1510,1,1,2
304,Government Girls Primary School Walana. (P),WALANA,178032009,,,,527,326,853,,,
"",,WALANA,178032010,,,,216,134,350,,,
"",,,TOTAL:-,,,,743,460,1203,1,1,2
305,Government Boys Primary School Dhillam Ghazi. (P),DHILLAM GHAZI,178032012,,,,605,380,985,,,
"",,,TOTAL:-,,,,605,380,985,1,1,2
3069,Government Boys High School Sahu Wali.(Male) (P),SAHU WALI,178032013,,,,500,,500,,,
"",,SAHU WALI,178032014,,,,452,,452,,,
"",,SAHU WALI,178032015,,,,78,,78,,,
"",,SAHU WALI,178032016,,,,322,,322,,,
"",,,TOTAL:-,,,,1352,,1352,2,,2
307,Government Girls Primery School Sahu Wali. (Female),SAHU WALI,178032013,,,,,430,430,,,
"",,SAHU WALI,178032014,,,,,366,366,,,
"",,SAHU WALI,178032015,,,,,66,66,,,
"",,SAHU WALI,178032016,,,,,219,219,,,
"",,,TOTAL:-,,,,,1081,1081,,2,2
308,Government Boys Primary School Gurdan Pur. (P),BADIPUR,178032101,,,,278,162,440,,,
"",,GURDAN PUR,178032103,,,,314,234,548,,,
"",,SAHU CHAK,178032109,,,,379,271,650,,,
"",,,TOTAL:-,,,,971,667,1638,2,1,3
309,Government Girls Primary School Tong. (P),CHHAAL,178032102,,,,340,192,532,,,
"",,TONG,178032110,,,,427,300,727,,,
"",,,TOTAL:-,,,,767,492,1259,1,1,2
310,Government Boys Primary School Ghurri. (P),GURHI,178032104,,,,620,423,1043,,,
"",,,TOTAL:-,,,,620,423,1043,1,1,2
311,Government Girls Primary School Kohar. (P),KOHAR,178032105,,,,672,402,1074,,,
"",,,TOTAL:-,,,,672,402,1074,1,1,2
312,Government Girls Primary School Nanowali  (P),MAHAL MENEWALI,178032106,,,,201,137,338,,,
"",,NANOWALI,178032107,,,,532,373,905,,,
"",,,TOTAL:-,,,,733,510,1243,1,1,2
313,Government Boys Primary School  Rajwan. (P),RAJO,178032108,,,,513,415,928,,,
"",,,TOTAL:-,,,,513,415,928,1,1,2
314,Government Girls Primary School Patesar (Male). (P),CHAK BARAHAM,178040301,,,,392,,392,,,
PATESAR,178040402,,,,510,,510,,,,,
PATESAR,178040403,,,,697,,697,,,,,
"",Total:,,,,1599,,1599,3,,3,,
315,Government Boys Primary School Patesar (Female). (P),PATESAR,178040402,,,,,350,350,,,
"",,PATESAR,178040403,,,,,595,595,,,
"",,,Total:,,,,,1271,1271,,2,2
316,Government Model Primary School Malhoper.  (P),MALHOPER,178040302,,,,563,405,968,,,
"",,,Total:,,,,563,405,968,1,1,2
317,Government Model Primary School Sohalia. (P),SOHALI,178040303,,,,520,374,894,,,
"",,,Total:,,,,520,374,894,1,1,2
318,Government Boys High School Dalowali. (P),DALU WALI,178040304,,,,555,390,945,,,
"",,,Total:,,,,555,390,945,1,1,2
319,Government Girls High School Dalowali. (Male),DALU WALI,178040305,,,,448,,448,,,
"",,DALU WALI,178040308,,,,295,,295,,,
"",,DALU WALI,178040309,,,,174,,174,,,
"",,DALU WALI,178040310,,,,222,,222,,,
"",,DALU WALI,178040311,,,,290,,290,,,
"",,,Total:,,,,1429,,1429,2,,2
320,Government Girls High School Dalowali. (Female),DALU WALI,178040305,,,,,341,341,,,
"",,DALU WALI,178040308,,,,,215,215,,,
"",,DALU WALI,178040309,,,,,176,176,,,
"",,DALU WALI,178040310,,,,,104,104,,,
"",,DALU WALI,178040311,,,,,285,285,,,
"",,,Total:,,,,,1121,1121,,2,2
321,Government Boys High School Dalowali. (Male) (P),DALU WALI,178040306,,,,700,,700,,,
"",,DALU WALI,178040307,,,,560,,560,,,
"",,,Total:,,,,1260,,1260,2,,2
322,Government Boys High School Dalowali. (Female) (P),DALU WALI,178040306,,,,,540,540,,,
"",,DALU WALI,178040307,,,,,444,444,,,
"",,,Total:,,,,,984,984,,2,2
323,Government Girls Primary School Tajar Tarokana.,TAROKANA,178040401,,,,271,194,465,,,
"",,ATAL GARH (HANNI),178040404,,,,147,84,231,,,
"",,KOT BAGRIAN,178040407,,,,201,115,316,,,
"",,,Total:,,,,619,393,1012,1,1,2
324,Government Center Primary School Heer.  (P),HEER,178040405,,,,735,601,1336,,,
"",,HEER,178040406,,,,157,84,241,,,
"",,CHAK HAZARI,178040408,,,,13,12,25,,,
"",,,Total:,,,,905,697,1602,2,1,3
325,Govt Model Primary School Chak Khana (Male) (P),CHAK KHANAN,178040601,,,,408,,408,,,
CHHANGA,178040602,,,,380,,380,,,,,
JHAN,178040603,,,,331,,331,,,,,
"",TOTAL:-,,,,1119,,1119,2,,2,,
CHAK KHANAN,178040601,,,,,332,332,,,,,
"",,JHAN,178040603,,,,,215,215,,,
"",,,TOTAL:-,,,,,800,800,,2,2
327,Govt Girls Primary School Vains Uncha.(Male) (P),KAJLIAL,178040604,,,,291,,291,,,
"",,VENUS NEWAN,178040607,,,,387,,387,,,
"",,VENUS UCHA,178040608,,,,373,,373,,,
"",,ARAZI GULAB GARH,178040609,,,,0,,0,,,
"",,,TOTAL:-,,,,1051,,1051,2,,2
328,Govt Girls Primary School Vains Uncha.(Female) (P),KAJLIAL,178040604,,,,,208,208,,,
VENUS NEWAN,178040607,,,,,279,279,,,,,
VENUS UCHA,178040608,,,,,231,231,,,,,
ARAZI GULAB GARH,178040609,,,,,0,0,,,,,
"",TOTAL:-,,,,,718,718,,2,2,,
KANDAN PUR,178040605,,,,371,284,655,,,,,
KANDAN PUR,178040606,,,,580,465,1045,,,,,
330,Government Girls Primary School Asso Mehta. (P),KORAR,178041101,,,,173,110,283,,,
"",,MAHAL TAIJER,178041102,,,,136,93,229,,,
"",,MEHTA ASSO,178041104,,,,260,167,427,,,
"",,,TOTAL:-,,,,569,370,939,1,1,2
331,"Government Boys Elementary School Mainderwal.(Male) (P)",MAINDER WAL,178041103,,,,535,,535,,,
"",,TAHO,178041105,,,,346,,346,,,
"",,THATHI KALAN,178041106,,,,391,,391,,,
"",,THATHI KHURD,178041107,,,,214,,214,,,
"",,MAHAL KHAND,178041108,,,,0,,0,,,
"",,,TOTAL:-,,,,1486,,1486,2,,2
332,"Government Girls Elementary School Mainderwal.(Female) (P)",MAINDER WAL,178041103,,,,,379,379,,,
"",,TAHO,178041105,,,,,231,231,,,
"",,THATHI KALAN,178041106,,,,,231,231,,,
"",,THATHI KHURD,178041107,,,,,133,133,,,
"",,MAHAL KHAND,178041108,,,,,0,0,,,
"",,,TOTAL:-,,,,,974,974,,2,2
333,Government Girls Primary School Jalab wali. (P),JALAP WALI,178041501,,,,518,371,889,,,
"",,,TOTAL:-,,,,518,371,889,1,1,2
