ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
5,Govt Girls Primary School Chaprarbala (Male) (P),CHAPRAR BALA,178041201,,,,535,,535,,,
"",,CHAPRAR BALA,178041202,,,,558,,558,,,
"",,KHUNJ PUR,178041203,,,,0,,0,,,
"",,,TOTAL:-,,,,1093,,1093,2,,2
54,Govt Girls Primary School Chaprarbala (Female) (P),CHAPRAR BALA,178041201,,,,,406,406,,,
"",,CHAPRAR BALA,178041202,,,,,410,410,,,
"",,KHUNJ PUR,178041203,,,,,0,0,,,
"",,,TOTAL:-,,,,,816,816,,2,2
55,Govt Boys Elementary School Chak Jogo. (Male) (P),NIDALA,178041204,,,,19,,19,,,
"",,CHAK JOGU,178041401,,,,410,,410,,,
"",,CHAK JOGU,178041402,,,,628,,628,,,
"",,CHAK JOGU,178041403,,,,404,,404,,,
"",,PARWAL,178041406,,,,269,,269,,,
"",,,TOTAL:-,,,,1730,,1730,3,,3
56,Govt. Girls Elementary School Chak Jogo. (Female) (P),NIDALA,178041204,,,,,12,12,,,
CHAK JOGU,178041401,,,,,288,288,,,,,
CHAK JOGU,178041402,,,,,415,415,,,,,
CHAK JOGU,178041403,,,,,301,301,,,,,
PARWAL,178041406,,,,,200,200,,,,,
"",TOTAL:-,,,,,1216,1216,,2,2,,
SEDRAH KHURD,178041301,,,,458,,458,,,,,
SEDRAH KHURD,178041302,,,,876,,876,,,,,
58,Govt Girls Elementary Schooll Saidara Khurd(Female) (P),SEDRAH KHURD,178041301,,,,,380,380,,,
"",,SEDRAH KHURD,178041302,,,,,682,682,,,
"",,,TOTAL:-,,,,,1062,1062,,2,2
59,Government Model Primary School Ahmal Pur(Male)(P),AHMAL PUR,178041303,,,,545,,545,,,
"",,AHMAL PUR,178041304,,,,398,,398,,,
"",,AHMAL PUR,178041305,,,,460,,460,,,
"",,,TOTAL:-,,,,1403,,1403,2,,2
60,"Government Model Primary School AhmalPur(Female)(P)",AHMAL PUR,178041303,,,,,400,400,,,
"",,AHMAL PUR,178041304,,,,,360,360,,,
"",,AHMAL PUR,178041305,,,,,326,326,,,
"",,,TOTAL:-,,,,,1086,1086,,2,2
61,"Government Boys High School Saidpur UmrayChak.(Male) (P)",CHAK LATKAN,178041306,,,,0,,0,,,
"",,CHAK UMRA,178041307,,,,102,,102,,,
"",,SEDRAH KALAN,178041308,,,,466,,466,,,
"",,SEDRAH KALAN,178041309,,,,629,,629,,,
"",,SEDRAH KALAN,178041310,,,,172,,172,,,
"",,,TOTAL:-,,,,1369,,1369,2,,2
62,"Government Boys High School Saidpur UmrayChak.(Female) (P)",CHAK LATKAN,178041306,,,,,0,0,,,
"",,CHAK UMRA,178041307,,,,,69,69,,,
"",,SEDRAH KALAN,178041308,,,,,401,401,,,
"",,SEDRAH KALAN,178041309,,,,,442,442,,,
"",,SEDRAH KALAN,178041310,,,,,118,118,,,
"",,,TOTAL:-,,,,,1030,1030,,2,2
63,Govt Girls Elementary School Rawal .(Male) (P),RAWAL,178041407,,,,904,,904,,,
RAWAL,178041408,,,,198,,198,,,,,
"",TOTAL:-,,,,1102,,1102,2,,2,,
RAWAL,178041407,,,,,735,735,,,,,
RAWAL,178041408,,,,,129,129,,,,,
65,Government Boys Primary School Sher Pur. (P),SHER PUR,178050101,,,,714,540,1254,,,
"",,,TOTAL:-,,,,714,540,1254,1,1,2
66,Government Girls Primary School Dinga (P),DINGA,178050201,,,,509,412,921,,,
"",,BEECHOWAL,178050203,,,,335,222,557,,,
"",,,TOTAL:-,,,,844,634,1478,1,1,2
67,Govt Boys Primary School Shadiwal. (P),SHADIWAL,178050202,,,,520,415,935,,,
"",,CHAK KHARANA,178050204,,,,408,294,702,,,
"",,,TOTAL:-,,,,928,709,1637,2,1,3
68,Govt.Model Primary School Rangpur Saroch (P),MAHAL LALOWAL,178050205,,,,2,1,3,,,
"",,TEH DARGAHI,178050206,,,,308,227,535,,,
"",,RANGPUR SAROCH,178050209,,,,693,481,1174,,,
"",,,TOTAL:-,,,,1003,709,1712,2,2,4
69,Govt Girls Elementary School Chak Putlian (P),CHAK PUTLIAN,178050207,,,,384,231,615,,,
"",,CHAK PUTLIAN,178050208,,,,514,375,889,,,
"",,,TOTAL:-,,,,898,606,1504,2,1,3
70,Govt.Model  Primary School Chak Kuba (P),CHAK KUBA,178050210,,,,245,187,432,,,
"",,CHAK KUBA,178050211,,,,765,579,1344,,,
"",,,TOTAL:-,,,,1010,766,1776,2,2,4
71,Govt Boys High School Marakiwal (Male) (P),MARAKEWAL,178050401,,,,633,,633,,,
"",,MARAKEWAL,178050402,,,,699,,699,,,
"",,,TOTAL:-,,,,1332,,1332,2,,2
72,Govt Boys High School Marakiwal (Female) (P),MARAKEWAL,178050401,,,,,590,590,,,
"",,MARAKEWAL,178050402,,,,,583,583,,,
"",,,TOTAL:-,,,,,1173,1173,,2,2
73,Govt Girls High School Marakiwal.(P),MARAKEWAL,178050403,,,,755,696,1451,,,
"",,,TOTAL:-,,,,755,696,1451,1,1,2
74,Govt Boys High School Marakiwal(Male)(P),MARAKEWAL,178050404,,,,443,,443,,,
"",,MARAKEWAL,178050405,,,,459,,459,,,
"",,SARFARAZ PUR,178050413,,,,315,,315,,,
"",,,TOTAL:-,,,,1217,,1217,2,,2
75,Govt Boys High School Marakiwal(Female)(P),MARAKEWAL,178050404,,,,,381,381,,,
"",,MARAKEWAL,178050405,,,,,413,413,,,
"",,SARFARAZ PUR,178050413,,,,,219,219,,,
"",,,TOTAL:-,,,,,1013,1013,,2,2
76,Govt Girls High School Marakiwal(Male)(P),CHAK SADEU,178050406,,,,585,,585,,,
CHAK SADEU,178050407,,,,677,,677,,,,,
CHAK SADEU,178050408,,,,123,,123,,,,,
"",TOTAL:-,,,,1385,,1385,2,,2,,
CHAK SADEU,178050406,,,,,521,521,,,,,
CHAK SADEU,178050407,,,,,491,491,,,,,
"",,,TOTAL:-,,,,,1131,1131,,2,2
