Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
14,"Govt. Gilrls Medle School,Basti Ghair Qaidabad,  Part-I( Male ) (P)",,,M.C.Lodhran,217060202,,210,0,210,2,0,2
14,,,,M.C.Lodhran,217060203,,154,0,154,,,
14,,,,M.C.Lodhran,217060204,,541,0,541,,,
Total,,,,,,,905,0,905,2,0,2
15,"Govt. Gilrls Medle School,Basti Ghair Qaidabad,  Part-II ( Female ) (P)",,,M.C.Lodhran,217060202,,0,208,208,0,2,2
15,,,,M.C.Lodhran,217060203,,0,139,139,,,
15,,,,M.C.Lodhran,217060204,,0,465,465,,,
Total,,,,,,,0,812,812,0,2,2
16,"Xen Office  Wapda,  ( Male ) (P)",,,M.C.Lodhran,217060101,,666,0,666,4,0,4
16,,,,M.C.Lodhran,217060106,,307,0,307,,,
16,,,,M.C.Lodhran,217060102,,204,0,204,,,
16,,,,M.C.Lodhran,217060103,,461,0,461,,,
16,,,,M.C.Lodhran,217060104,,303,0,303,,,
Total,,,,,,,1941,0,1941,4,0,4
17,"S.D.O  Office  Wapda,  ( Female ) (P)",,,M.C.Lodhran,217060101,,0,474,474,0,3,3
17,,,,M.C.Lodhran,217060106,,0,334,334,,,
17,,,,M.C.Lodhran,217060102,,0,179,179,,,
17,,,,M.C.Lodhran,217060103,,0,405,405,,,
17,,,,M.C.Lodhran,217060104,,0,289,289,,,
Total,,,,,,,0,1681,1681,0,3,3
18,"Lodhran Public School, Part-I (Male) (P)",,,M.C.Lodhran,217070307,,539,0,539,3,0,3
18,,,,M.C.Lodhran,217070312,,215,0,215,,,
18,,,,M.C.Lodhran,217070305,,755,0,755,,,
Total,,,,,,,1509,0,1509,3,0,3
19,"Lodhran Public School,Part-II (Female) (P)",,,M.C.Lodhran,217070307,,0,493,493,0,3,3
19,,,,M.C.Lodhran,217070312,,0,151,151,,,
19,,,,M.C.Lodhran,217070305,,0,651,651,,,
Total,,,,,,,0,1295,1295,0,3,3
20,,,,M.C.Lodhran,217070308,,193,0,193,,,
20,,,,M.C.Lodhran,217070309,,578,0,578,,,
20,,,,M.C.Lodhran,217070206,,112,0,112,,,
Total,,,,,,,1651,0,1651,3,0,3
21,"Govt.Girls Middle School ,Koray wala,  (Female) (P)",,,M.C.Lodhran,217070301,,0,676,676,0,2,2
21,,,,M.C.Lodhran,217070308,,0,149,149,,,
21,,,,M.C.Lodhran,217070309,,0,431,431,,,
21,,,,M.C.Lodhran,217070206,,0,112,112,,,
Total,,,,,,,0,1368,1368,0,2,2
22,"Govt. Girls Primary School Baqa wala, ( Comb) (P)",,,M.C.Lodhran,217070402,,685,592,1277,2,2,4
22,,,,M.C.Lodhran,217070403,,271,207,478,,,
Total,,,,,,,956,799,1755,2,2,4
23,Govt. Boys Primary School No.2  (Male) Part-I (P),,,M.C.Lodhran,217070207,,325,0,325,4,0,4
23,,,,M.C.Lodhran,217070304,,512,0,512,,,
23,,,,M.C.Lodhran,217070311,,370,0,370,,,
23,,,,M.C.Lodhran,217070306,,528,0,528,,,
Total,,,,,,,1735,0,1735,4,0,4
24,Govt. Boys Primary School No.2 (Female) Part-II (P),,,M.C.Lodhran,217070207,,0,250,250,0,3,3
24,,,,M.C.Lodhran,217070304,,0,419,419,,,
24,,,,M.C.Lodhran,217070311,,0,303,303,,,
24,,,,M.C.Lodhran,217070306,,0,448,448,,,
Total,,,,,,,0,1420,1420,0,3,3
25,"Office of Deputy Director College,  Part-I ( Female) (P)",,,M.C.Lodhran,217070302,,0,782,782,0,3,3
25,,,,M.C.Lodhran,217070310,,0,230,230,,,
25,,,,M.C.Lodhran,217070303,,0,319,319,,,
Total,,,,,,,0,1331,1331,0,3,3
26,"Office of Deputy Director College,  Part-II ( Female ) (P)",,,M.C.Lodhran,217070401,,0,428,428,0,3,3
26,,,,M.C.Lodhran,217070405,,0,230,230,,,
26,,,,M.C.Lodhran,217070406,,0,719,719,,,
26,,,,M.C.Lodhran,217070407,,0,0,0,,,
26,,,,M.C.Lodhran,217070408,,0,500,500,,,
Total,,,,,,,0,1877,1877,0,3,3
27,"Govt.Girls Degree College, M.C Lodhran ( Male ) (P)",,,M.C.Lodhran,217070302,,928,0,928,4,0,4
27,,,,M.C.Lodhran,217070310,,274,0,274,,,
27,,,,M.C.Lodhran,217070303,,410,0,410,,,
Total,,,,,,,1612,0,1612,4,0,4
28,"Govt.Girls Degree College, Lodhran ( Male ) (P)",,,M.C.Lodhran,217070401,,601,0,601,4,0,4
28,,,,M.C.Lodhran,217070405,,203,0,203,,,
28,,,,M.C.Lodhran,217070406,,950,0,950,,,
28,,,,M.C.Lodhran,217070407,,0,0,0,,,
28,,,,M.C.Lodhran,217070408,,627,0,627,,,
Total,,,,,,,2381,0,2381,4,0,4
29,"Govt.Girls High School, Primary Portion ( Male ) (P)",,,M.C.Lodhran,217070107,,502,0,502,4,0,4
29,,,M.C.Lodhran,217070205,,287,0,287,,,,
29,,,M.C.Lodhran,217070209,,980,0,980,,,,
Total,,,,,,,1769,0,1769,4,0,4
30,,,,M.C.Lodhran,217070205,,0,281,281,,,
30,,,,M.C.Lodhran,217070209,,0,801,801,,,
Total,,,,,,,0,741,741,0,3,3
31,"Govt.Boys High School , Part-I ( Male ) (P)",,,M.C.Lodhran,217070101,,421,0,421,3,0,3
31,,,,M.C.Lodhran,217070106,,705,0,705,,,
31,,,,M.C.Lodhran,217070102,,1307,0,1307,,,
Total,,,,,,,2433,0,2433,3,0,3
32,"Govt.Boys High School, Part-II ( Male ) (P)",,,M.C.Lodhran,217070201,,380,0,380,4,0,4
32,,,,M.C.Lodhran,217070208,,697,0,697,,,
32,,,,M.C.Lodhran,217070210,,13,0,13,,,
32,,,,M.C.Lodhran,217070202,,461,0,461,,,
32,,,,M.C.Lodhran,217070203,,144,0,144,,,
32,,,,M.C.Lodhran,217070204,,189,0,189,,,
Total,,,,,,,1884,0,1884,4,0,4
33,Govt.Girls High School Part-I ( Female ) (P),,,M.C.Lodhran,217070101,,0,337,337,0,2,2
33,,,,M.C.Lodhran,217070106,,0,564,564,,,
33,,,,M.C.Lodhran,217070102,,0,981,981,,,
Total,,,,,,,0,1882,1882,0,2,2
34,Govt.Girls High School  Part-II    ( Female ) (P),,,M.C.Lodhran,217070201,,0,304,304,0,4,4
34,,,,M.C.Lodhran,217070208,,0,606,606,,,
34,,,,M.C.Lodhran,217070210,,0,11,11,,,
34,,,,M.C.Lodhran,217070202,,0,433,433,,,
34,,,,M.C.Lodhran,217070203,,0,151,151,,,
34,,,,M.C.Lodhran,217070204,,0,190,190,,,
Total,,,,,,,0,1695,1695,0,4,4
35,"Govt. City High School ,M.C Lodhran (Near Govt.Sepecial Education School) Part-I (Male) (P)",,,M.C.Lodhran,217070104,,363,0,363,3,0,3
35,,,,M.C.Lodhran,217070105,,680,0,680,,,
35,,,,M.C.Lodhran,217070108,,467,0,467,,,
Total,,,,,,,1510,0,1510,3,0,3
36,"Govt.Special Education  School ,M.C Lodhran (PuranaDEO Office) (Comb ) (P)",,,M.C.Lodhran,217070103,,1028,775,1803,2,2,4
Total,,,,,,,1028,775,1803,2,2,4
37,"Govt. City High School ,M.C Lodhran (Near Govt.Sepecial Education School) Part-II (Female) (P)",,,M.C.Lodhran,217070104,,0,271,271,0,3,3
37,,,,M.C.Lodhran,217070105,,0,622,622,,,
37,,,,M.C.Lodhran,217070108,,0,386,386,,,
Total,,,,,,,0,1279,1279,0,3,3
38,"Police Line Old DC Office Near Railway Station Part-II(Comb)",,,M.C.Lodhran,217060504,,599,0,599,2,0,2
38,,,,M.C.Lodhran,217060505,,696,0,696,,,
Total,,,,,,,1295,0,1295,2,0,2
39,"Police Line Old DC Office Near Railway Station Part-III(Comb)",,,M.C.Lodhran,217060504,,0,478,478,0,4,4
39,,,,M.C.Lodhran,217060505,,0,558,558,,,
Total,,,,,,,0,1036,1036,0,4,4
40,"Govt.Boys High School,Gagan Hatta 100/M Part-I(Comb) (P)",,,M.C.Lodhran,217070408,,627,500,1127,1,1,2
Total,,,,,,,627,500,1127,1,1,2
41,"Govt. Boys Degree College, Lodhran",,,M.C.Lodhran,217060307,,247,214,461,1,1,2
41,,,,M.C.Lodhran,217060308,,400,322,722,,,
42,"Govt.Boys Primary School, Sandhi wala,Part-I (Comb)(P)",Sandhi wala,217010106,,,,112,92,204,2,2,4
42,,Sandhi wala,217010108,,,,355,315,670,,,
42,,Sandhi wala,217010109,,,,312,237,549,,,
Total,,,,,,,779,644,1423,2,2,4
43,"Govt.Boys Primary School, Sandhi wala,Part-II (Comb)(P)",Sandhi wala,217010107,,,,307,244,551,2,2,4
43,,Sandhi wala,217010110,,,,560,517,1077,,,
Total,,,,,,,867,761,1628,2,2,4
44,"Govt. Commerce College, Lodhran Part-IV  (Male) (P)",Lodhran,217010113,,,,818,0,818,3,0,3
44,,Lodhran,217010114,,,,18,0,18,,,
44,,Lodhran,217010115,,,,414,0,414,,,
44,,Lodhran,217010116,,,,278,0,278,,,
Total,,,,,,,1528,0,1528,3,0,3
45,"Govt. Commerce College, Lodhran Part-V  (Female) (P)",Lodhran,217010113,,,,0,685,685,0,3,3
45,,Lodhran,217010114,,,,0,10,10,,,
45,,Lodhran,217010115,,,,0,288,288,,,
45,,Lodhran,217010116,,,,0,227,227,,,
Total,,,,,,,0,1210,1210,0,3,3
46,"Govt. Boys Middle School, Duran Wala Part-I, (Male)(P)",Duran wala,217010204,,,,497,0,497,3,0,3
46,,Duran wala,217010205,,,,807,0,807,,,
Total,,,,,,,1304,0,1304,3,0,3
47,"Govt. Boys Middle School, Duran wla Part-II, (Female)(P)",Duran wala,217010204,,,,0,415,415,0,2,2
47,,Duran wala,217010205,,,,0,663,663,,,
Total,,,,,,,0,1078,1078,0,2,2
48,"Govt. Boys Primary School, Sikandar Wala Part-I(Comb) (P)",Sikandar Wala,217010202,,,,577,419,996,1,1,2
Total,,,,,,,577,419,996,1,1,2
49,"Govt. Boys Primary School, Sikandar Wala Part-II(Comb) (P)",Sikandar Wala,217010203,,,,685,501,1186,2,1,3
Total,,,,,,,685,501,1186,2,1,3
50,"Govt. Boys Primary School , Mundhali (Comb) (P)",Mundhali,217010201,,,,708,537,1245,2,1,3
Total,,,,,,,708,537,1245,2,1,3
51,Govt.Girls Primary School.Chak No.99/M at Basti Rang,ur (CCohmabk)  N (oP.)99/M,217010301,,,,352,293,645,2,2,4
51,,Chak No.99/M,217010302,,,,297,209,506,,,
51,,Chak No.99/M,217010303,,,,156,154,310,,,
Total,,,,,,,805,656,1461,2,2,4
52,"Govt Boys Middle  School,Chak No.99/M  (Comb) (P)",Chak No.99/M,217010304,,,,349,281,630,1,1,2
Total,,,,,,,349,281,630,1,1,2
53,"Govt.Boys High School,Gagan Hatta 100/M Part-II(Comb) (P)",Chak No. 100/M,217010320,,,,220,175,395,2,2,4
53,,Chak No. 100/M,217010323,,,,517,375,892,,,
Total,,,,,,,737,550,1287,2,2,4
54,"Govt. Boys Primary School, Chak No. 97/M Part-I(Comb) (P)",Chak No.97/M,217010305,,,,571,463,1034,2,1,3
Total,,,,,,,571,463,1034,2,1,3
55,"Govt. Boys Primary School, Chak No. 97/M Part-II(Comb) (P)",Chak No.97/M,217010306,,,,268,251,519,2,2,4
55,,Chak No.97/M,217010307,,,,179,147,326,,,
55,,Chak No.97/M,217010309,,,,221,166,387,,,
Total,,,,,,,966,814,1780,2,2,4
56,"Govt. Girls Primary School ,Chak No. 97/M  Part-I  (Male ) (P)",Chak No.97/M,217010310,,,,172,0,172,4,0,4
56,,Chak No.97/M,217010311,,,,417,0,417,,,
56,,Chak No.97/M,217010312,,,,343,0,343,,,
56,,Chak No.97/M,217010313,,,,329,0,329,,,
56,,Chak No.97/M,217010314,,,,453,0,453,,,
56,,Chak No.97/M,217010315,,,,253,0,253,,,
Total,,,,,,,1967,0,1967,4,0,4
57,"Govt. Girls Primary School ,Chak No. 97/M  Part-II  (Female ) (P)",Chak No.97/M,217010310,,,,0,189,189,0,3,3
57,,Chak No.97/M,217010311,,,,0,335,335,,,
57,,Chak No.97/M,217010312,,,,0,280,280,,,
57,,Chak No.97/M,217010313,,,,0,247,247,,,
57,,Chak No.97/M,217010314,,,,0,362,362,,,
57,,Chak No.97/M,217010315,,,,0,205,205,,,
Total,,,,,,,0,1618,1618,0,3,3
58,"Govt. Boys High School, Adam Wahin Part-I (Comb) (P)",Chak No.97/M,217010316,,,,287,250,537,2,2,4
58,,Chak No.97/M,217010317,,,,388,308,696,,,
58,,Chak No.97/M,217010318,,,,14,2,16,,,
Total,,,,,,,675,558,1249,2,2,4
59,"Govt. Girls High School Adam Wahin Part-I (Female)(P)",Adam Wahin,217010401,,,,0,988,988,0,3,3
59,,Adam Wahin,217010402,,,,0,93,93,,,
59,,Adam Wahin,217010405,,,,0,339,339,,,
Total,,,,,,,0,1420,1420,0,3,3
60,"Govt. Boys Primary School, Adam Wahin.(Male) (P)",Adam Wahin,217010401,,,,1158,0,1158,3,0,3
60,,Adam Wahin,217010402,,,,119,0,119,,,
60,,Adam Wahin,217010405,,,,396,0,396,,,
Total,,,,,,,1673,0,1673,3,0,3
61,Govt. Girls High School Adam Wahin Part-II (Comb) (P),Adam Wahin,217010403,,,,559,491,1050,2,2,4
61,,Adam Wahin,217010404,,,,252,211,463,,,
Total,,,,,,,811,702,1513,2,2,4
62,"Govt. Boys Primary School ,Dera Jand (Comb) (P)",Dera Jand,217010501,,,,271,238,509,2,1,3
62,,Dera Jand,217010502,,,,392,313,705,,,
62,,Gid pur,217010508,,,,41,35,76,,,
Total,,,,,,,704,586,1290,2,1,3
63,"Govt.Girls Primary School , Dera Jand (Comb) (P)",Dera Lakha,217010507,,,,152,154,306,1,1,2
63,,Dera Jand,217010503,,,,358,307,665,,,
Total,,,,,,,510,461,971,1,1,2
64,"Govt. Girls Primary School , Mehesh Wala (Comb) (P)",Lai Wahin,217010504,,,,300,196,496,2,2,4
64,,Lai Wahin,217010505,,,,317,274,591,,,
64,,Lai Wahin,217010506,,,,243,219,462,,,
Total,,,,,,,860,689,1549,2,2,4
65,"Govt. Boys Middle School ,Gidran (Comb) (P)",Hussain Abad,217010601,,,,502,350,852,2,2,4
65,,Hussain Abad,217010602,,,,417,296,713,,,
Total,,,,,,,919,646,1565,2,2,4
66,,Hussain Abad,217010604,,,,234,179,413,,,
Total,,,,,,,811,577,1388,2,1,3
67,"Govt. Model Primary School, Devani wala Part-I (Male)(P)",Hussain Abad,217010605,,,,387,0,387,3,0,3
67,,Hussain Abad,217010608,,,,29,0,29,,,
67,,Hussain Abad,217010606,,,,627,0,627,,,
67,,Hussain Abad,217010607,,,,512,0,512,,,
Total,,,,,,,1555,0,1555,3,0,3
68,"Govt. Model Primary School, Devani wala Part-II(Female) (P)",Hussain Abad,217010605,,,,0,310,310,0,2,2
68,,Hussain Abad,217010608,,,,0,31,31,,,
68,,Hussain Abad,217010606,,,,0,481,481,,,
68,,Hussain Abad,217010607,,,,0,462,462,,,
Total,,,,,,,0,1284,1284,0,2,2
69,"Govt. Girls Middle School,Havli Nasir Khan (Comb) (P)",Havli Nasir Khan,217010704,,,,598,481,1079,2,2,4
69,,Havli Nasir Khan,217010705,,,,384,356,740,,,
Total,,,,,,,982,837,1819,2,2,4
70,"Govt. Boys High  School,Havli Nasir Khan (Comb) (P)",Havli Nasir Khan,217010706,,,,465,370,835,1,1,2
Total,,,,,,,465,370,835,1,1,2
71,"Govt. Boys High School,Havli Nasir Khan (PrimaryPortion)(Comb)(P)",Dasti,217010707,,,,789,710,1499,2,2,4
Total,,,,,,,789,710,1499,2,2,4
72,"Govt.Boys Primary School ,Rizvi Abad (Comb) (P)",Khan Pur,217010701,,,,489,374,863,1,1,2
Total,,,,,,,489,374,863,1,1,2
73,"Govt.Boys Elementary School , Khanpur Part-I (Male)(P)",Khan Pur,217010702,,,,670,0,670,2,0,2
73,,Khan Pur,217010703,,,,549,0,549,,,
Total,,,,,,,1219,0,1219,2,0,2
74,"Govt.Boys Elementary School , Khanpur  Part-II(Female) (P)",Khan Pur,217010702,,,,0,552,552,0,2,2
74,,Khan Pur,217010703,,,,0,419,419,,,
Total,,,,,,,0,971,971,0,2,2
75,"Govt. Boys Middle School, Kotha Uttera (Comb) (P)",Kotha Uttera,217010802,,,,403,295,698,2,2,4
75,,Kotha Uttera,217010803,,,,420,339,759,,,
Total,,,,,,,823,634,1457,2,2,4
76,"Govt. Girls Primary School ,Khawaja Abad (Comb) (P)",Kotha Uttera,217010801,,,,621,511,1132,1,1,2
Total,,,,,,,621,511,1132,1,1,2
77,"Govt.Girls Community Elementary School,Kotha Uttera(Comb) (P)",Kotha Uttera,217010804,,,,408,302,710,2,2,4
77,,Kotha Uttera,217010805,,,,519,412,931,,,
Total,,,,,,,927,714,1641,2,2,4
78,"Govt. Boys Middle School, Kotha Uttera (Comb) (P)",Kotha Uttera,217010806,,,,391,303,694,1,1,2
Total,,,,,,,391,303,694,1,1,2
79,"Govt. Primary School , Chutti (Comb) (P)",Bhindi Nasir Khan,217010808,,,,34,25,59,1,1,2
79,,Chutti,217010807,,,,517,388,905,,,
Total,,,,,,,551,413,964,1,1,2
80,"Govt. Girls Primary School ,Dawnran (Comb) (P)",Dawnran,217011008,,,,247,212,459,2,2,4
80,,Dawnran,217011009,,,,648,594,1242,,,
Total,,,,,,,895,806,1701,2,2,4
81,,Dawnran,217011012,,,,252,209,461,,,
Total,,,,,,,622,493,1115,2,1,3
82,"Govt. Boys High School , Dawnran Part-II  (Comb) (P)",Dawnran,217011010,,,,183,152,335,2,1,3
82,,Dawnran,217011011,,,,238,175,413,,,
82,,Dawnran,217011013,,,,165,124,289,,,
Total,,,,,,,586,451,1037,2,1,3
83,"Govt. Boys High School, Dawnran (Primary Portion)(Comb) (P)",Dawnran,217011014,,,,445,358,803,2,1,3
83,,Dawnran,217011015,,,,236,175,411,,,
Total,,,,,,,681,533,1214,2,1,3
84,"Govt. Girls Elementary School, Haleem Wala (Comb)(P)",Mujaldi Wala,217011001,,,,402,347,749,2,2,4
84,,Mujaldi Wala,217011002,,,,371,299,670,,,
84,,Mujaldi Wala,217011003,,,,336,229,565,,,
Total,,,,,,,1109,875,1984,2,2,4
85,Union Council Office Danwran (Comb) (P),Mujaldi Wala,217011004,,,,225,161,386,2,2,4
85,,Mujaldi Wala,217011005,,,,167,122,289,,,
85,,Dawnran,217011006,,,,265,205,470,,,
85,,Dawnran,217011016,,,,203,156,359,,,
Total,,,,,,,860,644,1504,2,2,4
86,Govt Model Primary School Thadda Thahim (Comb) (P),Thada Thahim,217011105,,,,400,313,713,2,1,3
Total,,,,,,,400,313,713,2,1,3
87,Govt Girls Primary School Thadda Thahim (Comb) (P),Thada Thahim,217011107,,,,214,173,387,1,1,2
87,,Thada Thahim,217011108,,,,374,360,734,,,
Total,,,,,,,588,533,1121,1,1,2
88,"Govt Girls Primary School Rao Colony at New Basti(Comb) (P)",Thada Thahim,217011110,,,,214,145,359,2,2,4
Total,,,,,,,214,145,359,2,2,4
89,"Govt Boys Primary School, Dargha Pur (Comb) (P)",Dargha pur,217011112,,,,262,196,458,2,2,4
89,,Dargha pur,217011113,,,,641,568,1209,,,
Total,,,,,,,903,764,1667,2,2,4
90,"Govt Boys Primary School ,Durhatta Part-I (Comb) (P)",Durhatta,217011101,,,,346,308,654,1,1,2
90,,Durhatta,217011104,,,,134,110,244,,,
Total,,,,,,,480,418,898,1,1,2
91,"Govt Boys Primary School ,Durhatta Part-II (Comb) (P)",Durhatta,217011103,,,,715,551,1266,2,2,4
Total,,,,,,,715,551,1266,2,2,4
92,"Govt Girls Elementary School ,Kot Lal shah (Male ) (P)",Kot Lal Shah,217010901,,,,433,0,433,3,0,3
92,,Kot Lal Shah,217010902,,,,610,0,610,,,
92,,Kot Lal Shah,217010903,,,,369,0,369,,,
92,,Kot Lal Shah,217010904,,,,271,0,271,,,
Total,,,,,,,1683,0,1683,3,0,3
93,Basic Health Unit Kot Lal Shah (Female) (P),Kot Lal Shah,217010901,,,,0,325,325,0,2,2
93,,Kot Lal Shah,217010902,,,,0,440,440,,,
93,,Kot Lal Shah,217010903,,,,0,225,225,,,
93,,Kot Lal Shah,217010904,,,,0,217,217,,,
Total,,,,,,,0,1207,1207,0,2,2
94,,Bhuttaiji,217040802,,,,829,698,1527,,,
Total,,,,,,,840,703,1543,2,2,4
95,"Govt Boys Elementary School, Ghalwan Wala, BhutaijiPart-II (Comb) (P)",Bhuttaiji,217040803,,,,328,245,573,2,2,4
95,,Bhuttaiji,217040804,,,,418,338,756,,,
Total,,,,,,,746,583,1329,2,2,4
96,"Govt Girls Elementary School,Ghal wan Wala Bhutaiji(Comb) (P)",Bhuttaiji,217040805,,,,401,281,682,2,2,4
96,,Bhuttaiji,217040806,,,,389,349,738,,,
Total,,,,,,,790,630,1420,2,2,4
97,"Govt Girls Primary School, Mochian Wala (Comb) (P)",Isran Wali,217040807,,,,118,68,186,2,2,4
97,,Hajran Wali,217040808,,,,125,86,211,,,
97,,Mochian Wali,217040809,,,,349,300,649,,,
97,,Basti Sawan,217040810,,,,306,230,536,,,
Total,,,,,,,898,684,1582,2,2,4
98,"Govt. High School, Khanwah Ghal wah (Comb) (P)",Khanwah East,217040401,,,,452,321,773,1,1,2
98,,Khanwah East,217040402,,,,139,97,236,,,
Total,,,,,,,591,418,1009,1,1,2
99,"Govt. Girls High School, Khanwah Ghalwan (Comb) (P)",Khanwah East,217040403,,,,393,290,683,2,2,4
99,,Khanwah East,217040404,,,,439,357,796,,,
Total,,,,,,,832,647,1479,2,2,4
100,"Govt. Girls High School, Khanwah Ghalwan (Comb) (P)",Khanwah East,217040405,,,,461,376,837,2,2,4
100,,Khanwah East,217040406,,,,351,273,624,,,
Total,,,,,,,812,649,1461,2,2,4
101,"Govt. Girls Primary School Basti Risala Part-I (Comb)(P)",Khanwah East,217040408,,,,997,787,1784,2,2,4
Total,,,,,,,997,787,1784,2,2,4
102,"Govt. Gilrs Primary School, Basti Risala Part-II (Comb)(P)",Khanwah East,217040407,,,,330,283,613,2,2,4
102,,Khanwah East,217040409,,,,518,439,957,,,
Total,,,,,,,848,722,1570,2,2,4
103,"Improvised near the premises of Govt.Gilrs PrimarySchool, Basti Risala Part-III (Comb) (T)",Khanwah East,217040410,,,,222,156,378,2,1,3
103,,Khanwah East,217040411,,,,478,355,833,,,
Total,,,,,,,700,511,1211,2,1,3
104,"Govt. Boys Primary School, Bhatta Sadat (Comb) (P)",Khanwah East,217040412,,,,49,36,85,1,1,2
104,,Khanwah East,217040416,,,,108,101,209,,,
104,,Khanwah East,217040413,,,,206,182,388,,,
Total,,,,,,,363,319,682,1,1,2
105,"Govt Boys Primary School, Hayyat pur (Comb) (P)",Khanwah East,217040414,,,,312,267,579,2,2,4
105,,Khanwah East,217040415,,,,255,245,500,,,
105,,Khanwah East,217040417,,,,191,136,327,,,
Total,,,,,,,758,648,1406,2,2,4
106,"Govt. Girls Primary School, Malik Pur  (Comb) (P)",Malikpur,217040904,,,,62,21,83,2,1,3
106,,Malikpur,217040905,,,,567,496,1063,,,
Total,,,,,,,629,517,1146,2,1,3
107,"Govt Boys Primary School, Basti Malikpur (Comb) (P)",Malikpur,217040906,,,,26,30,56,2,2,4
107,,Malikpur,217040907,,,,1056,769,1825,,,
108,"Govt Boys Primary School, Hafiz  Wala (Comb) (P)",Dall wala,217040908,,,,130,84,214,2,1,3
108,,Hafiz Muhammad Wala,217040909,,,,587,378,965,,,
Total,,,,,,,717,462,1179,2,1,3
109,"Govt.Boys High School, Qureshi wala at Hafiz walaPart-I (Comb) (P)",Hafiz Muhammad Wala,217040910,,,,395,328,723,2,1,3
109,,Hafiz Muhammad Wala,217040912,,,,377,259,636,,,
Total,,,,,,,772,587,1359,2,1,3
110,"Govt.Boys High School,Qureshi wala at Hafiz  walaPart-II (Comb) (P)",Hafiz Muhammad Wala,217040911,,,,415,348,763,2,2,4
110,,Qureshi wala,217040902,,,,340,323,663,,,
Total,,,,,,,755,671,1426,2,2,4
111,"Govt.Boys High School,Qureshi wala at Hafiz  walaPart-III (Comb) (P)",Qureshi wala,217040903,,,,640,485,1125,2,1,3
Total,,,,,,,640,485,1125,2,1,3
112,"Govt.Girls Community Model  School Ali pur Assar(Comb) (P)",Jaal wala,217040901,,,,235,210,445,2,1,3
112,,Ali pur Asar,217040506,,,,235,198,433,,,
112,,Ali pur Asar,217040507,,,,71,51,122,,,
112,,Ali pur Asar,217040508,,,,175,117,292,,,
Total,,,,,,,716,576,1292,2,1,3
113,"Govt Boys Primary School,Tibbi Ghalwan (Comb) (P)",Tibbi Ghalwan,217040509,,,,200,163,363,1,1,2
113,,Tibbi Ghalwan,217040510,,,,392,314,706,,,
Total,,,,,,,592,477,1069,1,1,2
114,"Govt Boys Elementary  School, (Basti Araian) at Qaziwala ( Male )  (P)",Pugal Wari,217040501,,,,472,0,472,3,0,3
114,,Pugal Wari,217040502,,,,388,0,388,,,
114,,Pugal Wari,217040503,,,,709,0,709,,,
114,,Pugal Wari,217040504,,,,,,0,,,
Total,,,,,,,1569,0,1569,3,0,3
115,"Govt.Girls Primary  School, Qazi wala (Female) (P)",Pugal Wari,217040501,,,,0,437,437,0,3,3
115,,Pugal Wari,217040502,,,,0,354,354,,,
115,,Pugal Wari,217040503,,,,0,665,665,,,
115,,Pugal Wari,217040504,,,,,,0,,,
Total,,,,,,,0,1456,1456,0,3,3
116,"Govt.Boys Elementary School Balheem Abad (Comb)(P)",Pugal Wari,217040505,,,,416,362,778,1,1,2
Total,,,,,,,416,362,778,1,1,2
117,Govt.Boys Primary School Murradpur (Comb) (P),Murrad pur,217040601,,,,715,567,1282,2,2,4
117,,Naharr Wali,217040604,,,,55,35,90,,,
Total,,,,,,,770,602,1372,2,2,4
118,"Govt Girls Primary School, Jhok Uttera (Comb) (P)",Jhok Uttera,217040602,,,,537,508,1045,2,2,4
118,,Jhok Uttera,217040603,,,,291,225,516,,,
Total,,,,,,,828,733,1561,2,2,4
119,"Basic Health Unit, Hayyat pur( Combined ) (P)",Khanwah South,217040705,,,,287,218,505,2,2,4
119,,Khanwah South,217040706,,,,498,452,950,,,
119,,Khanwah South,217040707,,,,141,104,245,,,
Total,,,,,,,926,774,1700,2,2,4
120,"Govt Boys Elementry School,Chuttala  ( Male ) (P)",Chuttala,217040701,,,,228,0,228,3,0,3
120,,Chuttala,217040702,,,,411,0,411,,,
120,,Chuttala,217040703,,,,900,0,900,,,
120,,Chuttala,217040704,,,,,,0,,,
121,"Govt. Gilrs Primary School, Elahi Bakhsh at Chuttala(Female ) (P)",Chuttala,217040701,,,,0,240,240,0,3,3
121,,Chuttala,217040702,,,,0,327,327,,,
121,,Chuttala,217040703,,,,0,781,781,,,
121,,Chuttala,217040704,,,,,,0,,,
Total,,,,,,,0,1348,1348,0,3,3
122,"Govt.Girls Elementry School,Chak No.93/M  (Comb) (P)",Chak No.93/M,217040202,,,,530,422,952,2,2,4
122,,Chak No.92/M,217040203,,,,266,218,484,,,
Total,,,,,,,796,640,1436,2,2,4
123,"Govt.Girls Elementry School,Chak No.93/M  (Comb) (P)",Gagan Hatta,217040204,,,,376,255,631,2,2,4
123,,Chak No.94/M,217040201,,,,542,408,950,,,
Total,,,,,,,918,663,1581,2,2,4
124,"Govt.Boys High School, Chak 90/M (Comb) (P)",Chak No.89/M,217040101,,,,476,434,910,2,2,4
124,,Chak No.90/M,217040102,,,,513,433,946,,,
Total,,,,,,,989,867,1856,2,2,4
