Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
265,"Govt. Elementary School,Chak No.381/WB (Comb) (P)",Chak No.381/WB,219030801,,,,368,278,646,2,2,4
265,,Chak No.381/WB,219030802,,,,534,363,897,,,
Total,,,,,,,902,641,1543,2,2,4
266,"Govt.Girls High School,Chak No.377/W.B (Comb) (T)",Chak No.377/WB,219030803,,,,586,556,1142,1,1,2
Total,,,,,,,586,556,1142,1,1,2
267,,Chak No.382/WB,219030805,,,,333,267,600,,,
Total,,,,,,,780,628,1408,2,2,4
268,"Govt. Boys High School, Chak No.378/WB (Comb) (P)",Chak No.378/WB,219030601,,,,518,465,983,1,1,2
Total,,,,,,,518,465,983,1,1,2
269,"Govt Boys Middle  School,Chak No.379/WB (Comb) (P)",Chak No.379/WB,219030602,,,,418,348,766,2,2,4
269,,Chak No.379/WB,219030603,,,,392,291,683,,,
Total,,,,,,,810,639,1449,2,2,4
270,"Govt Girls Elementary School,Chak No.380/WB(Comb) (T)",Chak No.380/WB,219030604,,,,703,588,1291,2,1,3
Total,,,,,,,703,588,1291,2,1,3
271,"Govt Boys Primary School,354/WB (Comb) (P)",Chak No.354/WB,219030203,,,,636,518,1154,2,1,3
Total,,,,,,,636,518,1154,2,1,3
272,"Govt.Girls Model Elementary School, 354/WB (Comb)(P)",Chak No.354/WB,219030204,,,,522,403,925,1,1,2
Total,,,,,,,522,403,925,1,1,2
273,"Basic Health Unit, Chak No.353/WB (Comb) (P)",Chak No.353/WB,219030201,,,,416,323,739,2,2,4
273,,Chak No.353/WB,219030202,,,,590,550,1140,,,
273,,Chak No.352/WB,219030102,,,,15,5,20,,,
Total,,,,,,,1021,878,1899,2,2,4
274,"Govt.Girls Middle School, Chak No. 356/WB (Comb) (P)",Chak No.356/WB,219030205,,,,610,502,1112,2,1,3
Total,,,,,,,610,502,1112,2,1,3
275,"Govt.Boys High School,Chak No.356/WB Part-I(Comb) (P)",Chak No.356/WB,219030206,,,,465,373,838,1,1,2
Total,,,,,,,465,373,838,1,1,2
276,"Govt.Boys High School,Chak No.356/WB Part-II(Comb) (P)",Chak No.356/WB,219030207,,,,415,312,727,1,1,2
276,,Chak No.356/WB,219030208,,,,148,116,264,,,
Total,,,,,,,563,428,991,1,1,2
277,"Govt Girls Primary School, Chak No.374/WB (West)(Comb) (P)",Chak No.374/WB,219030504,,,,357,291,648,2,2,4
277,,Chak No.374/WB,219030505,,,,203,192,395,,,
277,,Chak No.373/WB,219030901,,,,224,191,415,,,
Total,,,,,,,784,674,1458,2,2,4
278,"Govt Boys Primary School, Dehssi wala (Comb) (P)",Dessi,219030905,,,,685,584,1269,2,1,3
Total,,,,,,,685,584,1269,2,1,3
279,"Basic Health Unit, Chak No.386/WB (Comb) (P)",Chak No.386/WB,219030902,,,,622,567,1189,2,1,3
Total,,,,,,,622,567,1189,2,1,3
280,"Govt. Girls Primary School, 386/WB (Comb) (P)",Chak No.386/WB,219030903,,,,562,464,1026,1,1,2
Total,,,,,,,562,464,1026,1,1,2
281,"Govt Girls Primary School, Chak No.387/WB (Comb)(P)",Chak No.387/WB,219030904,,,,460,409,869,1,1,2
Total,,,,,,,460,409,869,1,1,2
282,"Govt Boys Primary School,Chak No. 389/WB East(Comb) (P)",Chak No.389/WB East,219030907,,,,655,570,1376,2,2,4
Total,,,,,,,655,570,1376,2,2,4
283,"Govt Girls Primary School,Chak No. 389/WB West(Comb) (P)",Chak No.389/WB West,219030906,,,,698,678,1225,2,1,3
Total,,,,,,,698,678,1225,2,1,3
284,"Govt. Sharif Shaheed High School,Chak No. 376/WB(Comb) (P)",Chak No.376/WB,219030301,,,,409,350,759,2,1,3
284,,Chak No.375/WB,219030307,,,,57,44,101,,,
Total,,,,,,,636,511,1147,2,1,3
285,"Govt Boys Primary School ,Chak No. 370/WB (Comb)(P)",Chak No. 370/WB,219030306,,,,636,549,1185,2,1,3
Total,,,,,,,636,549,1185,2,1,3
286,"Govt Boys Primary School,Chak No. 371/WB (Comb)(P)",Chak No.371/WB,219030303,,,,510,470,980,1,1,2
Total,,,,,,,510,470,980,1,1,2
287,"Govt Girls Elementary School,Chak No. 371/WB(Comb) (P)",Chak No.371/WB,219030304,,,,479,389,868,1,1,2
287,,Chak No.371/WB,219030305,,,,,,,,,
Total,,,,,,,479,389,868,1,1,2
288,"Canal Rest House, Chak No. 368/WB Kot Missri (Male)(P)",Chak No. 368/WB,219030103,,,,892,0,892,3,0,3
288,,Chak No. 368/WB,219030104,,,,193,0,193,,,
Total,,,,,,,1085,0,1085,3,0,3
289,"Canal Rest House, Chak No. 368/WB Kot Missri(Female) (P)",Chak No. 368/WB,219030103,,,,0,757,757,0,2,2
289,,Chak No. 368/WB,219030104,,,,0,148,148,,,
Total,,,,,,,0,905,905,0,2,2
290,"Govt Girls Primary School, 368/WB (Comb) (P)",Chak No. 368/WB,219030105,,,,553,439,992,2,1,3
290,,Chak No. 368/WB,219030106,,,,79,65,144,,,
Total,,,,,,,632,504,1136,2,1,3
291,"Govt Girls Community Model School,Chak No.369/WB(Comb) (P)",Chak No.369/WB,219030101,,,,643,567,1210,2,1,3
Total,,,,,,,643,567,1210,2,1,3
292,"Govt Elementary School,Chak No. 360/WB (Comb) (P)",Chak No. 360/WB,219031203,,,,362,348,710,1,1,2
Total,,,,,,,362,348,710,1,1,2
293,"Govt Girls High  School, Chak No.360/WB (Comb) (P)",Chak No. 360/WB,219031204,,,,661,563,1224,2,1,3
Total,,,,,,,661,563,1224,2,1,3
294,"Govt. Girls Higher Secondary School,Chak No.365/WB(Comb) (P)",Chak No.365/WB,219031205,,,,433,387,820,2,1,3
294,,Chak No.365/WB,219031206,,,,246,204,450,,,
Total,,,,,,,679,591,1270,2,1,3
295,"Govt Boys Middle  School,Chak No.365/WB (Comb) (P)",Chak No.365/WB,219031207,,,,294,259,553,1,1,2
Total,,,,,,,294,259,553,1,1,2
296,"Govt Boys Middle School,Tahir Bhutta (Comb) (P)",Thair Bhutta,219031201,,,,432,395,827,2,2,4
296,,Thair Bhutta,219031202,,,,249,189,438,,,
Total,,,,,,,681,584,1265,2,2,4
297,"Govt. Boys High School, Chak No. 362/WB (Comb) (P)",Chak No.362/WB,219030508,,,,595,531,1126,2,2,4
297,,Chak No.362/WB,219030509,,,,409,356,765,,,
Total,,,,,,,1004,887,1891,2,2,4
298,"Govt Boys Middle  School,Chak No. 364/WB  (Comb)(P)",Chak No.364/WB,219030506,,,,724,624,1348,2,2,4
Total,,,,,,,724,624,1348,2,2,4
299,"Govt Girls Middle School, Chak No.364/WB (Comb) (P)",Chak No.364/WB,219030507,,,,511,470,981,1,1,2
Total,,,,,,,511,470,981,1,1,2
300,"Govt Girls Middle School, Chak No. 372/WB (Comb) (P)",Chak No.372/WB,219030501,,,,563,487,1050,2,2,4
300,,Chak No.372/WB,219030503,,,,395,311,706,,,
Total,,,,,,,958,798,1756,2,2,4
301,"Govt Model Primary School, 361/WB  (East) (Comb) (P)",Chak No.361/WB (East),219030403,,,,510,396,906,1,1,2
Total,,,,,,,510,396,906,1,1,2
