"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,CHAK NO 081/N.B,132030903,-,-,,0,384,384,,,
"",,CHAK NO 081/N.B,132030904,-,-,,0,631,631,,,
73 Total,,,,-,-,-,0,1478,1478,0,3,3
74,"Government Boys Higher SecondarySchool Chak No.82 N.B.(Combined)(P)",CHAK NO 082/N.B,132030905,-,-,,1197,0,1197,2,0,2
74 Total,,,,-,-,-,1197,0,1197,2,0,2
75,"(40) Government Boys HigherSecondary School Chak No.82N.B.(Combined)  (P)",CHAK NO 082/N.B,132030905,-,-,,0,992,992,0,2,2
75 Total,,,,-,-,-,0,992,992,0,2,2
76,"Govt.Girls Elementary School ChakNo.82 N.B.(Combined)  (T)",CHAK NO 082/N.B,132030906,-,-,,83,52,135,1,1,2
"",,CHAK NO 082/N.B,132030907,-,-,,255,183,438,,,
76 Total,,,,-,-,-,338,235,573,1,1,2
77,"Government Boys Primary SchoolSalar (Combined)(T)",SALAR,132031001,-,-,,464,378,842,1,1,2
77 Total,,,,-,-,-,464,378,842,1,1,2
CHAK NO 093/N.B,132031002,-,-,,767,0,767,,,,,
CHAK NO 093/N.B,132031003,-,-,,112,0,112,,,,,
78,No.93 N.B. Male (T),CHAK NO 093/N.B,132031010,-,-,,459,0,459,4,0,4
"",,CHAK NO 093/N.B,132031011,-,-,,148,0,148,,,
"",,CHAK NO 093/N.B,132031012,-,-,,238,0,238,,,
"",,CHAK NO 093/N.B,132031013,-,-,,115,0,115,,,
78 Total,,,,-,-,-,1916,0,1916,4,0,4
79,"Govt. Girls Elementary School ChakNo.93 N.B. Female (T)",CHAK NO 093/N.B,132031002,-,-,,0,619,619,0,3,3
"",,CHAK NO 093/N.B,132031003,-,-,,0,210,210,,,
"",,CHAK NO 093/N.B,132031004,-,-,,0,70,70,,,
"",,CHAK NO 093/N.B,132031010,-,-,,0,250,250,,,
"",,CHAK NO 093/N.B,132031011,-,-,,0,133,133,,,
"",,CHAK NO 093/N.B,132031012,-,-,,0,146,146,,,
"",,CHAK NO 093/N.B,132031013,-,-,,0,105,105,,,
79 Total,,,,-,-,-,0,1533,1533,0,3,3
80,"Govt. Boys Primary School chakNo.83/ NB (Combined) (T)",CHAK NO 083/N.B,132031005,-,-,,400,301,701,2,2,4
"",,CHAK NO 083/N.B,132031014,-,-,,502,406,908,,,
80 Total,,,,-,-,-,902,707,1609,2,2,4
81,"Govt.Boys Primary School ChakNo.190 N.B.(Combined)  (T)",CHAK NO 190/N.B,132031006,-,-,,279,208,487,2,2,4
"",,CHAK NO 190/N.B,132031007,-,-,,274,207,481,,,
"",,CHAK NO 190/N.B,132031015,-,-,,430,352,782,,,
81 Total,,,,-,-,-,983,767,1750,2,2,4
82,"Government Girls  Elementary SchoolChak No.190 N.B. Tarkota. (Combined)",CHAK NO 190/N.B,132031008,-,-,,534,469,1003,1,1,2
"",,CHAK NO 190/N.B,132031016,-,-,,94,47,141,,,
82 Total,,,,-,-,-,628,516,1144,1,1,2
83,"Government Girls Elementary SchoolChak No.188 N.B.(Combined)  (P)",CHAK NO 188/N.B,132031009,-,-,,492,386,878,1,1,2
83 Total,,,,-,-,-,492,386,878,1,1,2
84,"Government Boys High School ChakNo.101 N.B. (Male) (P)",CHAK NO 101/N.B,132031101,-,-,,475,0,475,4,0,4
"",,CHAK NO 101/N.B,132031102,-,-,,388,0,388,,,
"",,CHAK NO 101/N.B,132031103,-,-,,483,0,483,,,
"",,CHAK NO 101/N.B,132031104,-,-,,479,0,479,,,
"",,CHAK NO 101/N.B,132031105,-,-,,473,0,473,,,
84 Total,,,,-,-,-,2298,0,2298,4,0,4
85,"Government Girls  High School ChakNo.101 N.B. (Female ) (P)",CHAK NO 101/N.B,132031101,-,-,,0,435,435,0,4,4
"",,CHAK NO 101/N.B,132031102,-,-,,0,381,381,,,
"",,CHAK NO 101/N.B,132031103,-,-,,0,408,408,,,
"",,CHAK NO 101/N.B,132031104,-,-,,0,350,350,,,
"",,CHAK NO 101/N.B,132031105,-,-,,0,400,400,,,
85 Total,,,,-,-,-,0,1974,1974,0,4,4
86,"Govt.GirlsPrimarySchool Chak No.97N.B.(Combined)  (T)",CHAK NO 097/N.B,132031106,-,-,,433,344,777,2,2,4
"",,CHAK NO 097/N.B,132031107,-,-,,456,416,872,,,
86 Total,,,,-,-,-,889,760,1649,2,2,4
"",No.96 N.B.(Combined)  (P),CHAK NO 096/N.B,132031110,-,-,,784,0,784,,,
87 Total,,,,-,-,-,1387,0,1387,3,0,3
88,"(52) Government Girls High SchoolChak No.96 N.B.(Combined)  (P)",CHAK NO 096/N.B,132031108,-,-,,0,490,490,0,2,2
"",,CHAK NO 096/N.B,132031110,-,-,,0,569,569,,,
88 Total,,,,-,-,-,0,1059,1059,0,2,2
89,"Govt.Boys Elementary School ChakNo.96 N.B.(Combined)  (P)",CHAK NO 096/N.B,132031109,-,-,,264,156,420,1,1,2
89 Total,,,,-,-,-,264,156,420,1,1,2
96,"Government Girls Middle School ChakNo.43 S.B. (Combined)  (P)",CHAK NO 043/S.B,132050201,-,-,,590,486,1076,2,2,4
"",,CHAK NO 043/S.B,132050202,-,-,,399,273,672,,,
90 Total,,,,-,-,-,989,759,1748,2,2,4
97,"Govt. Boys  High  School ChakNo.44/S.B.   (EAST)  (Combined)  (P)",CHAK NO 044/S.B,132050203,-,-,,913,813,1726,2,2,4
91 Total,,,,-,-,-,913,813,1726,2,2,4
98,"Govt.Boys High School ChakNo.44S.B.(West)     (Combined) (P)",CHAK NO 044/S.B,132050204,-,-,,529,447,976,1,1,2
92 Total,,,,-,-,-,529,447,976,1,1,2
99,"Government Girls Primary SchoolColony Mubark Pura Chak No.45S.B.(Combined)(T)",CHAK NO 045/S.B,132050205,-,-,,568,392,960,1,1,2
93 Total,,,,-,-,-,568,392,960,1,1,2
100,"Government Boys  High School ChakNo.45 S.B. (EAST) (Combined) (P)",CHAK NO 045/S.B,132050207,-,-,,864,720,1584,2,2,4
94 Total,,,,-,-,-,864,720,1584,2,2,4
101,"(64) Government Boys  High SchoolChak No.45 S.B. (EAST) (Combined) (P)",CHAK NO 045/S.B,132050208,-,-,,400,344,744,1,1,2
95 Total,,,,-,-,-,400,344,744,1,1,2
102,"Govt. Boys  High School ChakNo.45S.B. (West)    (Combined (P)",CHAK NO 045/S.B,132050209,-,-,,339,279,618,2,1,3
"",,CHAK NO 045/S.B,132050210,-,-,,314,237,551,,,
"",,CHAK NO 045/S.B,132050211,-,-,,135,90,225,,,
96 Total,,,,-,-,-,788,606,1394,2,1,3
103,"Govt.Girls High School ChakNo.45S.B.(West)        (Combined) (T)",CHAK NO 045/S.B,132050206,-,-,,121,80,201,2,1,3
CHAK NO 045/S.B,132050212,-,-,,332,260,592,,,,,
CHAK NO 045/S.B,132050213,-,-,,217,165,382,,,,,
104,"Govt.Girls Higher Secondary SchoolChak No.105/S.B.(EAST)  (Combined)(P)",CHAK NO 105/S.B,132050301,-,-,,608,572,1180,1,1,2
98 Total,,,,-,-,-,608,572,1180,1,1,2
105,"Govt. Girls Higher Secondary SchoolChak No.105 S.B. (West ) (Combined)(P)",CHAK NO 105/S.B,132050302,-,-,,633,533,1166,1,1,2
99 Total,,,,-,-,-,633,533,1166,1,1,2
106,"Govt. Girls Middle School ChakNo.106/S.B.(Combined) (P)",CHAK NO 106/S.B,132050303,-,-,,603,506,1109,2,2,4
"",,CHAK NO 106/S.B,132050304,-,-,,334,261,595,,,
100 Total,,,,-,-,-,937,767,1704,2,2,4
107,"Govt.Girls High School ChakNo.107/S.B. (East)(Combined)  (P)",CHAK NO 107/S.B,132050305,-,-,,423,332,755,1,1,2
"",,CHAK NO 107/S.B,132050306,-,-,,220,217,437,,,
101 Total,,,,-,-,-,643,549,1192,1,1,2
108,"Government Girls High School ChakNo.107 S.B.(Combined)  (West) (P)",CHAK NO 107/S.B,132050307,-,-,,529,430,959,1,1,2
102 Total,,,,-,-,-,529,430,959,1,1,2
109,"(71) Government Girls High SchoolChak No.107 S.B.(Combined)  (West)",CHAK NO 107/S.B,132050308,-,-,,543,383,926,2,1,3
"",,CHAK NO 107/S.B,132050309,-,-,,236,203,439,,,
103 Total,,,,-,-,-,779,586,1365,2,1,3
110,"Govt. Girls High School ChakNo.107S.B.(North)(Combined) (P)",CHAK NO 107/S.B,132050310,-,-,,462,364,826,2,2,4
"",,CHAK NO 107/S.B,132050311,-,-,,439,349,788,,,
104 Total,,,,-,-,-,901,713,1614,2,2,4
111,"Govt. Boys High School Chak No.111S.B. (Male) (P)",CHAK NO 111/S.B,132050401,-,-,,121,0,121,3,0,3
"",,CHAK NO 111/S.B,132050402,-,-,,222,0,222,,,
"",,CHAK NO 111/S.B,132050403,-,-,,412,0,412,,,
"",,CHAK NO 111/S.B,132050404,-,-,,117,0,117,,,
"",,CHAK NO 111/S.B,132050405,-,-,,100,0,100,,,
"",,CHAK NO 111/S.B,132050406,-,-,,293,0,293,,,
105 Total,,,,-,-,-,1265,0,1265,3,0,3
112,"(73) Govt. Boys High School ChakNo.111 S.B. (Male) (P)",CHAK NO 111/S.B,132050407,-,-,,330,0,330,2,0,2
"",,CHAK NO 111/S.B,132050408,-,-,,170,0,170,,,
"",,CHAK NO 111/S.B,132050409,-,-,,116,0,116,,,
"",,CHAK NO 111/S.B,132050410,-,-,,215,0,215,,,
"",,CHAK NO 111/S.B,132050411,-,-,,115,0,115,,,
"",,CHAK NO 111/S.B,132050412,-,-,,72,0,72,,,
106 Total,,,,-,-,-,1018,0,1018,2,0,2
CHAK NO 111/S.B,132050401,-,-,,0,91,91,,,,,
CHAK NO 111/S.B,132050402,-,-,,0,157,157,,,,,
113,"Govt.Girls Middle  School Chak No.111S.B. (Female)   (P)",CHAK NO 111/S.B,132050404,-,-,,0,87,87,0,4,4
"",,CHAK NO 111/S.B,132050405,-,-,,0,72,72,,,
"",,CHAK NO 111/S.B,132050406,-,-,,0,235,235,,,
"",,CHAK NO 111/S.B,132050407,-,-,,0,238,238,,,
"",,CHAK NO 111/S.B,132050408,-,-,,0,113,113,,,
"",,CHAK NO 111/S.B,132050409,-,-,,0,93,93,,,
"",,CHAK NO 111/S.B,132050410,-,-,,0,144,144,,,
"",,CHAK NO 111/S.B,132050411,-,-,,0,94,94,,,
"",,CHAK NO 111/S.B,132050412,-,-,,0,47,47,,,
107 Total,,,,-,-,-,0,1671,1671,0,4,4
114,"Govt. Girls Middle School ChakNo.110S.B.(Combined)  (T)",CHAK NO 110/S.B,132050413,-,-,,854,741,1595,2,2,4
108 Total,,,,-,-,-,854,741,1595,2,2,4
115,"Govt. Boys Primary School ChakNo.110 S.B. Ahli Rawan (Combined)",CHAK NO 110/S.B,132050414,-,-,,59,61,120,1,1,2
"",,CHAK NO 110/S.B,132050417,-,-,,444,364,808,,,
109 Total,,,,-,-,-,503,425,928,1,1,2
116,"Govt. Girls  Primary School ChakNo.114 S.B.(Combined)  (T)",CHAK NO 114/S.B,132050415,-,-,,557,430,987,2,2,4
"",,CHAK NO 114/S.B,132050416,-,-,,381,303,684,,,
110 Total,,,,-,-,-,938,733,1671,2,2,4
127,"Government Boys High School ChakNo.54 S.B.(Combined)  (P)",CHAK NO 054/S.B,132050701,-,-,,503,399,902,1,1,2
111 Total,,,,-,-,-,503,399,902,1,1,2
128,"Government Boys High School ChakNo.54 S.B.(Combined)  (T)",CHAK NO 054/S.B,132050702,-,-,,517,406,923,2,2,4
"",,CHAK NO 054/S.B,132050703,-,-,,322,256,578,,,
112 Total,,,,-,-,-,839,662,1501,2,2,4
129,"Government Girls High School ChakNo.54  S.B. East (Male) (P)",CHAK NO 054/S.B,132050704,-,-,,168,0,168,2,0,2
"",,CHAK NO 054/S.B,132050705,-,-,,257,0,257,,,
"",,CHAK NO 054/S.B,132050706,-,-,,205,0,205,,,
"",,CHAK NO 054/S.B,132050707,-,-,,251,0,251,,,
"",,CHAK NO 054-A/S.B,132050708,-,-,,97,0,97,,,
113 Total,,,,-,-,-,978,0,978,2,0,2
130,"Government Girls High School ChakNo.54  S.B.  West (Female) (P)",CHAK NO 054/S.B,132050704,-,-,,0,154,154,0,2,2
"",,CHAK NO 054/S.B,132050705,-,-,,0,171,171,,,
"",,CHAK NO 054/S.B,132050706,-,-,,0,148,148,,,
"",,CHAK NO 054/S.B,132050707,-,-,,0,209,209,,,
"",,CHAK NO 054-A/S.B,132050708,-,-,,0,67,67,,,
114 Total,,,,-,-,-,0,749,749,0,2,2
131,"Government Boys Middle School ChakNo.52 S.B. (Combined)  (P)","CHAK NO (051/S.B) 052N.B",132050709,-,-,,541,425,966,1,1,2
115 Total,,,,-,-,-,541,425,966,1,1,2
"",Jodh(Combined)  (P),CHAK JODH,132050802,-,-,,500,468,968,,,
116 Total,,,,-,-,-,1014,877,1891,2,2,4
133,"Govt. Girls Middle School Chak No.53S.B.(Combined)  (P)",CHAK NO 053/S.B,132050803,-,-,,254,166,420,1,1,2
"",,CHAK NO 053/S.B,132050804,-,-,,122,82,204,,,
"",,CHAK NO 053/S.B,132050805,-,-,,162,119,281,,,
117 Total,,,,-,-,-,538,367,905,1,1,2
134,"Government Community ModelSchool Chak No.53 S.B. East (Male) (P)",CHAK NO 053/S.B,132050806,-,-,,506,0,506,3,0,3
"",,CHAK NO 053/S.B,132050807,-,-,,94,0,94,,,
"",,CHAK NO 053/S.B,132050808,-,-,,553,0,553,,,
"",,CHAK NO 053/S.B,132050809,-,-,,256,0,256,,,
"",,CHAK NO 053/S.B,132050810,-,-,,18,0,18,,,
118 Total,,,,-,-,-,1427,0,1427,3,0,3
135,"Government Community ModelSchool Chak No.53 S.B. West (Female)(P)",CHAK NO 053/S.B,132050806,-,-,,0,459,459,0,2,2
"",,CHAK NO 053/S.B,132050807,-,-,,0,57,57,,,
"",,CHAK NO 053/S.B,132050808,-,-,,0,478,478,,,
"",,CHAK NO 053/S.B,132050809,-,-,,0,186,186,,,
"",,CHAK NO 053/S.B,132050810,-,-,,0,16,16,,,
119 Total,,,,-,-,-,0,1196,1196,0,2,2
136,"Government Girls High School ChakNo.55 S.B(Combined) (P).",CHAK NO 055/S.B,132050901,-,-,,775,611,1386,2,2,4
"",,CHAK NO 055/S.B,132050902,-,-,,308,235,543,,,
120 Total,,,,-,-,-,1083,846,1929,2,2,4
137,"Govt. Girls Middle School Chak No.56S.B.(Combined)  (P)",CHAK NO 056/S.B,132050903,-,-,,665,493,1158,2,1,3
121 Total,,,,-,-,-,665,493,1158,2,1,3
138,"Govt. Boys Primary School Chak 56a/SB (Combined)(T)",CHAK NO 056-A/S.B,132050904,-,-,,360,309,669,1,1,2
122 Total,,,,-,-,-,360,309,669,1,1,2
139,"Govt. Girls Primary School Chak 57S.B.(Combined)  (T)",CHAK NO 057/S.B,132050905,-,-,,564,432,996,1,1,2
123 Total,,,,-,-,-,564,432,996,1,1,2
140,"Government Boys High School ChakNO.95 S.B.(Combined) (P)",CHAK NO 095/S.B,132060401,-,-,,800,678,1478,2,2,4
124 Total,,,,-,-,-,800,678,1478,2,2,4
141,"Govt. Girls Middle   School Chak NO.96S.B.(Combined)  (P)",CHAK NO 096/S.B,132060402,-,-,,443,376,819,2,2,4
"",,CHAK NO 096/S.B,132060403,-,-,,560,476,1036,,,
125 Total,,,,-,-,-,1003,852,1855,2,2,4
142,"Govt. Girls Middle   School Chak NO.97S.B.(Combined) (P)",CHAK NO 097/S.B,132060404,-,-,,156,131,287,1,1,2
"",,CHAK NO 097/S.B,132060405,-,-,,473,387,860,,,
126 Total,,,,-,-,-,629,518,1147,1,1,2
143,No.89 S.B.(Combined)  (P),CHAK NO 089/S.B,132060506,-,-,,445,379,824,2,2,4
"",,CHAK NO 089/S.B,132060507,-,-,,160,123,283,,,
127 Total,,,,-,-,-,882,756,1638,2,2,4
144,"Govt.Boys Primary School Chak No.89S.B.(Combined) (T)",CHAK NO 089/S.B,132060502,-,-,,243,225,468,1,1,2
"",,CHAK NO 089/S.B,132060503,-,-,,356,269,625,,,
128 Total,,,,-,-,-,599,494,1093,1,1,2
145,"Govt. Boys Primary School Chak No 92S.B.(Combined)  (T)",CHAK NO 092/S.B,132060504,-,-,,276,149,425,2,1,3
"",,CHAK NO 092/S.B,132060508,-,-,,306,333,639,,,
"",,CHAK NO 092/S.B,132060509,-,-,,220,121,341,,,
129 Total,,,,-,-,-,802,603,1405,2,1,3
146,"Govt. Girls Middle School Chak No 94S.B.(Combined) (P)",CHAK NO 094/S.B,132060505,-,-,,676,532,1208,2,1,3
130 Total,,,,-,-,-,676,532,1208,2,1,3
147,"Govt. Girls High School Chak No100S.B. East (Male) (P)",CHAK NO 100/S.B,132060601,-,-,,486,0,486,3,0,3
"",,CHAK NO 100/S.B,132060602,-,-,,471,0,471,,,
"",,CHAK NO 100/S.B,132060605,-,-,,361,0,361,,,
131 Total,,,,-,-,-,1318,0,1318,3,0,3
148,"Government Girls High School ChakNo100 S.B. East (Female)  (P)",CHAK NO 100/S.B,132060601,-,-,,0,423,423,0,2,2
"",,CHAK NO 100/S.B,132060602,-,-,,0,340,340,,,
"",,CHAK NO 100/S.B,132060605,-,-,,0,319,319,,,
132 Total,,,,-,-,-,0,1082,1082,0,2,2
149,"Govt. Boys High School Chak No.101S.B.(Combined) (P)",CHAK NO 101/S.B,132060603,-,-,,766,611,1377,2,1,3
133 Total,,,,-,-,-,766,611,1377,2,1,3
150,"Government Girls High School ChakNo102 S.B. (P)(Combined)",CHAK NO 102/S.B,132060604,-,-,,331,275,606,2,2,4
"",,CHAK NO 102/S.B,132060606,-,-,,611,520,1131,,,
134 Total,,,,-,-,-,942,795,1737,2,2,4
151,"Govt.Girls High School Chak No.36S.B.East(Combined) (P)",CHAK NO 036/S.B,132060801,-,-,,555,455,1010,1,1,2
135 Total,,,,-,-,-,555,455,1010,1,1,2
152,"Govt. Girls High School Chak No.36S.B. West (Combined)  (T)",CHAK NO 036/S.B,132060802,-,-,,564,491,1055,2,2,4
"",,CHAK NO 036/S.B,132060803,-,-,,322,261,583,,,
136 Total,,,,-,-,-,886,752,1638,2,2,4
153,"Government Boys High School ChakNo.36 S.B.(Combined) (P)",CHAK NO 036/S.B,132060804,-,-,,424,364,788,2,1,3
"",,CHAK NO 036/S.B,132060805,-,-,,281,239,520,,,
137 Total,,,,-,-,-,705,603,1308,2,1,3
154,"Govt.Girls Middle School Chak NO.98S.B.(Combined)(P)",CHAK NO 098/S.B,132060806,-,-,,626,511,1137,2,2,4
"",,CHAK NO 098/S.B,132060807,-,-,,541,448,989,,,
138 Total,,,,-,-,-,1167,959,2126,2,2,4
CHAK NO 090/S.B,132060808,-,-,,535,540,1075,,,,,
139 Total,,,,-,-,-,932,876,1808,2,2,4
156,"Govt. Girls High School Chak No 90S.B.West (Combined) (P)",CHAK NO 090/S.B,132060810,-,-,,408,349,757,1,1,2
140 Total,,,,-,-,-,408,349,757,1,1,2
157,"Govt. Boys Primary School Chak NO.39S.B. (Male)  (T)",CHAK NO 039/S.B,132060901,-,-,,577,0,577,3,0,3
"",,CHAK NO 039/S.B,132060902,-,-,,363,0,363,,,
"",,CHAK NO 039/S.B,132060905,-,-,,335,0,335,,,
141 Total,,,,-,-,-,1275,0,1275,3,0,3
158,"Government Girls Primary School ChakNO.39 S.B. (Female)  (T)",CHAK NO 039/S.B,132060901,-,-,,0,465,465,0,2,2
"",,CHAK NO 039/S.B,132060902,-,-,,0,313,313,,,
"",,CHAK NO 039/S.B,132060905,-,-,,0,302,302,,,
142 Total,,,,-,-,-,0,1080,1080,0,2,2
159,"Government Boys High School ChakNo 40 S.B. East (Male) (P)",CHAK NO 040/S.B,132060903,-,-,,539,0,539,3,0,3
"",,CHAK NO 040/S.B,132060904,-,-,,699,0,699,,,
143 Total,,,,-,-,-,1238,0,1238,3,0,3
160,"Government Boys High School ChakNo 40 S.B.West (Female) (P)",CHAK NO 040/S.B,132060903,-,-,,0,642,642,0,2,2
"",,CHAK NO 040/S.B,132060904,-,-,,0,435,435,,,
144 Total,,,,-,-,-,0,1077,1077,0,2,2
161,"Government Boys High School ChakNo 42 S.B.East (Male) (P)",CHAK NO 042/S.B,132061001,-,-,,541,0,541,4,0,4
"",,CHAK NO 042/S.B,132061002,-,-,,727,0,727,,,
"",,CHAK NO 042/S.B,132061003,-,-,,623,0,623,,,
145 Total,,,,-,-,-,1891,0,1891,4,0,4
162,"Government Boys High School ChakNo 42 S.B.West (Male) (P)",CHAK NO 042/S.B,132061004,-,-,,339,0,339,1,0,1
"",,CHAK NO 042/S.B,132061005,-,-,,287,0,287,,,
146 Total,,,,-,-,-,626,0,626,1,0,1
163,"Government Girls  Higher SecondarySchool Chak No 42  S.B.East (Female)(P)",CHAK NO 042/S.B,132061001,-,-,,0,401,401,0,3,3
"",,CHAK NO 042/S.B,132061002,-,-,,0,586,586,,,
"",,CHAK NO 042/S.B,132061003,-,-,,0,545,545,,,
147 Total,,,,-,-,-,0,1532,1532,0,3,3
164,"Government Girls  Higher SecondarySchool Chak No 42 S.B.West  (Female)",CHAK NO 042/S.B,132061004,-,-,,0,272,272,0,1,1
"",,CHAK NO 042/S.B,132061005,-,-,,0,194,194,,,
148 Total,,,,-,-,-,0,466,466,0,1,1
165,"Govt. Boys Elementary School ChakNo 37 S.B.(Combined) (P)",CHAK NO 037/S.B,132061006,-,-,,435,379,814,1,1,2
149 Total,,,,-,-,-,435,379,814,1,1,2
166,"Govt.Girls  Primary  School Chak No 37S.B.(Combined) (P)",CHAK NO 037/S.B,132061007,-,-,,498,470,968,2,2,4
"",,CHAK NO 037/S.B,132061008,-,-,,513,406,919,,,
150 Total,,,,-,-,-,1011,876,1887,2,2,4
167,"Government Girls High School ChakNo.41 S.B. East (male) (P)",CHAK NO 041/S.B,132061009,-,-,,961,0,961,2,0,2
"",,CHAK NO 041/S.B,132061010,-,-,,17,0,17,,,
151 Total,,,,-,-,-,978,0,978,2,0,2
"",No.41 S.B. West (Female) (P),CHAK NO 041/S.B,132061010,-,-,,0,10,10,,,
152 Total,,,,-,-,-,0,823,823,0,2,2
169,"Govt. Girls High School Chak No.98N.B. East (Combined) (P)",CHAK NO 098/N.B,132080101,-,-,,551,441,992,2,2,4
"",,CHAK NO 098/N.B,132080102,-,-,,461,390,851,,,
153 Total,,,,-,-,-,1012,831,1843,2,2,4
170,"Govt. Girls High School Chak No.98N.B. West(Combined) (P)",CHAK NO 098/N.B,132080103,-,-,,471,381,852,2,2,4
"",,CHAK NO 098/N.B,132080104,-,-,,424,371,795,,,
154 Total,,,,-,-,-,895,752,1647,2,2,4
171,"Government Boys High School ChakNo.99 N.B.(Combined)  (P)",CHAK NO 099/N.B,132080105,-,-,,238,0,238,3,0,3
"",,CHAK NO 099/N.B,132080106,-,-,,664,0,664,,,
"",,CHAK NO 099/N.B,132080107,-,-,,439,0,439,,,
155 Total,,,,-,-,-,1341,0,1341,3,0,3
172,"(154) Government Boys High SchoolChak No.99 N.B.(Combined)  (P)",CHAK NO 099/N.B,132080105,-,-,,0,223,223,0,2,2
"",,CHAK NO 099/N.B,132080106,-,-,,0,465,465,,,
"",,CHAK NO 099/N.B,132080107,-,-,,0,368,368,,,
156 Total,,,,-,-,-,0,1056,1056,0,2,2
173,"Govet. Girls High School Chak No.109S.B.  ( Male) (P)",CHAK NO 109/N.B,132080108,-,-,,799,0,799,4,0,4
"",,CHAK NO 109/N.B,132080109,-,-,,454,0,454,,,
"",,CHAK NO 109/N.B,132080110,-,-,,701,0,701,,,
157 Total,,,,-,-,-,1954,0,1954,4,0,4
174,"Govt. Boys  Higher Secondary SchoolChak No.109 S.B.   (Female) (P)",CHAK NO 109/N.B,132080108,-,-,,0,679,679,0,3,3
"",,CHAK NO 109/N.B,132080109,-,-,,0,449,449,,,
"",,CHAK NO 109/N.B,132080110,-,-,,0,450,450,,,
158 Total,,,,-,-,-,0,1578,1578,0,3,3
175,"Girl Middle School Chak NO.100 N.B.East (Male) (P)",CHAK NO 100/N.B,132080111,-,-,,348,0,348,3,0,3
"",,CHAK NO 100/N.B,132080112,-,-,,392,0,392,,,
"",,CHAK NO 100/N.B,132080113,-,-,,521,0,521,,,
159 Total,,,,-,-,-,1261,0,1261,3,0,3
176,"Govt.Girl Middle School Chak NO.100N.B.  West  (Female)  (T)",CHAK NO 100/N.B,132080111,-,-,,0,307,307,0,2,2
"",,CHAK NO 100/N.B,132080112,-,-,,0,278,278,,,
"",,CHAK NO 100/N.B,132080113,-,-,,0,406,406,,,
160 Total,,,,-,-,-,0,991,991,0,2,2
177,"Govt.Boys High School Chak NO.104S.B.(Combined)(T)",CHAK NO.104/S.B,132080201,-,-,,473,354,827,1,1,2
161 Total,,,,-,-,-,473,354,827,1,1,2
178,"(159) Govt.Boys High School ChakNO.104 S.B.(Combined)(T)",CHAK NO.104/S.B,132080202,-,-,,806,664,1470,2,2,4
162 Total,,,,-,-,-,806,664,1470,2,2,4
CHAK NO.104/S.B,132080203,-,-,,473,0,473,,,,,
CHAK NO.104/S.B,132080204,-,-,,53,0,53,,,,,
CHAK NO.104/S.B,132080205,-,-,,173,0,173,,,,,
"",,CHAK NO.104/S.B,132080207,-,-,,336,0,336,,,
163 Total,,,,-,-,-,1409,0,1409,3,0,3
180,"Govt. Girls High School Chak NO.104S.B.  West (Female) (P)",CHAK NO.104/S.B,132080203,-,-,,0,360,360,0,2,2
"",,CHAK NO.104/S.B,132080204,-,-,,0,34,34,,,
"",,CHAK NO.104/S.B,132080205,-,-,,0,143,143,,,
"",,CHAK NO.104/S.B,132080206,-,-,,0,316,316,,,
"",,CHAK NO.104/S.B,132080207,-,-,,0,213,213,,,
164 Total,,,,-,-,-,0,1066,1066,0,2,2
181,"Govt.Girls High School Chak NO.108S.B. (Combined)(P)",CHAK NO. 108/S.B,132080208,-,-,,647,501,1148,2,2,4
"",,CHAK NO. 108/S.B,132080209,-,-,,403,299,702,,,
"",,CHAK NO. 108/S.B,132080214,-,-,,111,74,185,,,
165 Total,,,,-,-,-,1161,874,2035,2,2,4
182,"Govt. Boys Middle School ChakNO.142 S.B East (Combined) (P)",CHAK NO 142/S.B,132080210,-,-,,452,346,798,1,1,2
"",,RAKH KARANA (PURANA),132080213,-,-,,4,6,10,,,
166 Total,,,,-,-,-,456,352,808,1,1,2
183,"Government Boys Middle School ChakNO.142 S.B. west (Male)  (P)",CHAK NO 142/S.B,132080211,-,-,,1003,0,1003,4,0,4
"",,CHAK NO 142/S.B,132080212,-,-,,685,0,685,,,
167 Total,,,,-,-,-,1688,0,1688,4,0,4
184,"Government Girls  High School ChakNO.142 S.B.  Female (P)",CHAK NO 142/S.B,132080211,-,-,,0,808,808,0,3,3
"",,CHAK NO 142/S.B,132080212,-,-,,0,534,534,,,
168 Total,,,,-,-,-,0,1342,1342,0,3,3
185,"Government Boys High School ChakNo.88 N.B. East Male (P)",CHAK NO 088/N.B,132080301,-,-,,329,0,329,4,0,4
"",,CHAK NO 088/N.B,132080302,-,-,,577,0,577,,,
"",,CHAK NO 088/N.B,132080303,-,-,,346,0,346,,,
"",,CHAK NO 088/N.B,132080304,-,-,,309,0,309,,,
"",,CHAK NO 088/N.B,132080305,-,-,,238,0,238,,,
169 Total,,,,-,-,-,1799,0,1799,4,0,4
186,"Government Boys High School ChakNo.88 N.B. West  Female (P)",CHAK NO 088/N.B,132080301,-,-,,0,279,279,0,3,3
"",,CHAK NO 088/N.B,132080302,-,-,,0,483,483,,,
"",,CHAK NO 088/N.B,132080303,-,-,,0,306,306,,,
