"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
126,"GOVERNMENTBOYS ELEMENTRYSCHOOL, ALI PUR SYEDAN (MALE) (P)",ALI PUR,263050403,-,-,,71,0,71,4,0,4
"",,ALI PUR,263050404,-,-,,32,0,32,,,
"",,ALI PUR,263050405,-,-,,802,0,802,,,
"",,ALI PUR,263050406,-,-,,760,0,760,,,
36 Total,,,,-,-,-,1665,0,1665,4,0,4
127,"GOVERNMENTGIRLS ELEMENTRYSCHOOL, ALI PUR SYEDAN (FEMALE)(P)",ALI PUR,263050403,-,-,,0,66,66,0,3,3
"",,ALI PUR,263050404,-,-,,0,33,33,,,
"",,ALI PUR,263050405,-,-,,0,687,687,,,
"",,ALI PUR,263050406,-,-,,0,629,629,,,
37 Total,,,,-,-,-,0,1415,1415,0,3,3
128,"GOVERNMENT MODEL PRIMARYSCHOOL BATHUNI (T)",GULLU WALA,263050501,-,-,,142,91,233,2,2,4
NOTHIAN,263050502,-,-,,512,424,936,,,,,
BATHUNI,263050503,-,-,,411,308,719,,,,,
129,"GOVERNMENT MODEL PRIMARYSCHOOL BONGA SURKHRU (T)",BONGA SURKHRU,263050504,-,-,,632,579,1211,1,1,2
39 Total,,,,-,-,-,632,579,1211,1,1,2
130,"GOVERNMENT MODEL PRIMARYSCHOOL UTMAN SAID PUR (T)",UTMAN SAID PUR,263050505,-,-,,410,310,720,1,1,2
40 Total,,,,-,-,-,410,310,720,1,1,2
131,"GOVERNMENT GIRLS ELEMENTARYPRIMARY SCHOOL   WAZIDI (T)",WAZIDI,263050506,-,-,,374,269,643,1,1,2
"",,WAZIDI,263050507,-,-,,189,154,343,,,
41 Total,,,,-,-,-,563,423,986,1,1,2
132,"GOVERNMENT MODEL PRIMARYSCHOOL   KOTLI ALI AHMED (T)",KOTLI ALI AHMED,263050508,-,-,,345,266,611,1,1,2
42 Total,,,,-,-,-,345,266,611,1,1,2
133,"GOVERNMENT BOYS PRIMARYSCHOOL JAHANWALA (T)",JAHANY WALA,263050601,-,-,,494,363,857,1,1,2
"",,KALAKA,263050602,-,-,,149,116,265,,,
43 Total,,,,-,-,-,643,479,1122,1,1,2
134,"GOVERNMENT BOYS PRIMARYSCHOOL TATRI  (T)",LARYALA,263050603,-,-,,66,46,112,2,1,3
"",,TATRI,263050604,-,-,,655,523,1178,,,
44 Total,,,,-,-,-,721,569,1290,2,1,3
135,"GOVERNMENT BOYS ELEMENTARYSCHOOL CHAWA ( MALE ) (P)",CHAWA,263050704,-,-,,828,0,828,3,0,3
"",,CHAWA,263050705,-,-,,514,0,514,,,
45 Total,,,,-,-,-,1342,0,1342,3,0,3
136,"GOVERNMENT BOYS ELEMENTARYSCHOOL CHAWA ( FEMALE ) (P)",CHAWA,263050704,-,-,,0,604,604,0,2,2
"",,CHAWA,263050705,-,-,,0,363,363,,,
46 Total,,,,-,-,-,0,967,967,0,2,2
137,"GOVERNMENTGIRLS PRIMARYSCHOOL DEENPUR (T)",CHAWA,263050701,-,-,,863,0,863,3,0,3
"",,CHAWA,263050702,-,-,,230,0,230,,,
"",,CHAWA,263050703,-,-,,148,0,148,,,
47 Total,,,,-,-,-,1241,0,1241,3,0,3
138,"(125) GOVERNMENT GIRLS PRIMARYSCHOOL CHAWA",CHAWA,263050701,-,-,,0,598,598,0,2,2
"",,CHAWA,263050702,-,-,,0,148,148,,,
"",,CHAWA,263050703,-,-,,0,120,120,,,
48 Total,,,,-,-,-,0,866,866,0,2,2
139,"GOVERNMENT BOYS HIGH SCHOOLSARDAR PUR NOON (MALE) (P)",CHAWA,263050706,-,-,,454,0,454,3,0,3
"",,CHAWA,263050707,-,-,,529,0,529,,,
"",,CHAWA,263050708,-,-,,349,0,349,,,
49 Total,,,,-,-,-,1332,0,1332,3,0,3
140,"(126) GOVERNMENT BOYS HIGHSCHOOL SARDAR PUR NOON (MALE)",CHAWA,263050709,-,-,,539,0,539,2,0,2
"",,CHAWA,263050710,-,-,,355,0,355,,,
50 Total,,,,-,-,-,894,0,894,2,0,2
CHAWA,263050706,-,-,,0,335,335,,,,,
141,SARDAR PUR NOON  (FEMALE) (P),CHAWA,263050708,-,-,,0,276,276,0,4,4
"",,CHAWA,263050709,-,-,,0,385,385,,,
"",,CHAWA,263050710,-,-,,0,261,261,,,
51 Total,,,,-,-,-,0,1725,1725,0,4,4
142,"GOVERNMENT BOYS PRIMARYSCHOOL,  JHADA (Male) (T)",JHADA,263050802,-,-,,775,0,775,3,0,3
"",,JHADA,263050803,-,-,,358,0,358,,,
"",,JHADA,263050804,-,-,,486,0,486,,,
52 Total,,,,-,-,-,1619,0,1619,3,0,3
143,"GOVERNMENT GIRLS PRIMARYSCHOOL,  JHADA (Female) (T)",JHADA,263050802,-,-,,0,623,623,0,3,3
"",,JHADA,263050803,-,-,,0,248,248,,,
"",,JHADA,263050804,-,-,,0,361,361,,,
53 Total,,,,-,-,-,0,1232,1232,0,3,3
144,"GOVERNMENT BOYS  HIGH SCHOOLSHEER MUHAMMAD WALA (P)",SHER MOHD WALA,263050901,-,-,,523,409,932,1,1,2
"",,SHER MOHD WALA,263050902,-,-,,104,84,188,,,
54 Total,,,,-,-,-,627,493,1120,1,1,2
145,"GOVERNMENT MODEL  PRIMARYSCHOOL NOOR PUR NOON (MALE) (T)",NOOR PUR,263050903,-,-,,210,0,210,2,0,2
"",,NOOR PUR,263050904,-,-,,381,0,381,,,
"",,NOOR PUR,263050905,-,-,,573,0,573,,,
55 Total,,,,-,-,-,1164,0,1164,2,0,2
146,"(131) GOVERNMENT GIRLSELEMENTARY SCHOOL SARDAR PURNOON",NOOR PUR,263050906,-,-,,307,0,307,2,0,2
"",,NOOR PUR,263050907,-,-,,384,0,384,,,
"",,NOOR PUR,263050908,-,-,,288,0,288,,,
56 Total,,,,-,-,-,979,0,979,2,0,2
147,"GOVERNMENT MODEL PRIMARYSCHOOL NOOR PUR NOON (FEMALE)(T)",NOOR PUR,263050903,-,-,,0,165,165,0,3,3
"",,NOOR PUR,263050904,-,-,,0,332,332,,,
"",,NOOR PUR,263050905,-,-,,0,439,439,,,
"",,NOOR PUR,263050906,-,-,,0,219,219,,,
"",,NOOR PUR,263050907,-,-,,0,297,297,,,
"",,NOOR PUR,263050908,-,-,,0,188,188,,,
57 Total,,,,-,-,-,0,1640,1640,0,3,3
148,"GOVERNMENT GIRLS PRIMARYSCHOOL KOT MUMIANA (T)",KOT MUMIANA,263051001,-,-,,597,489,1086,1,1,2
58 Total,,,,-,-,-,597,489,1086,1,1,2
149,"GOVERNMENT BOYS PRIMARYSCHOOL, KOT HAKIM KHAN (T)",KOT HAKIM KHAN,263051002,-,-,,599,448,1047,2,1,3
"",,KOT HAKIM KHAN,263051003,-,-,,173,121,294,,,
59 Total,,,,-,-,-,772,569,1341,2,1,3
150,"GOVERNMENT BOYS HIGHSCHOOL,KHAN MUHAMMAD WALA(P)","KHAN MUHAMMADWALA",263010101,-,-,,321,159,480,2,1,3
"KHAN MUHAMMADWALA",263010102,-,-,,453,291,744,,,,,
"KHAN MUHAMMADWALA",263010113,-,-,,163,162,325,,,,,
151,"GOVERNMENT BOYS HIGHSCHOOL,KHAN MUHAMMAD WALA(P)","KHAN MUHAMMADWALA",263010103,-,-,,400,324,724,2,1,3
"",,"KHAN MUHAMMADWALA",263010104,-,-,,361,266,627,,,
61 Total,,,,-,-,-,761,590,1351,2,1,3
152,"GOVERNMENT GIRLS ELEMENTRYSCHOOL,KHAN MUHAMMAD WALA(P)","KHAN MUHAMMADWALA",263010105,-,-,,530,366,896,2,2,4
"",,"KHAN MUHAMMADWALA",263010106,-,-,,482,372,854,,,
62 Total,,,,-,-,-,1012,738,1750,2,2,4
153,"BASIC HEALTH CENTRE            HATHIWIND (MALE) (T)",HATHI WIND,263010107,-,-,,652,0,652,2,0,2
63 Total,,,,-,-,-,652,0,652,2,0,2
154,"(138) BASIC HEALTH CENTREHATHI WIND (MALE) (T)",HATHI WIND,263010108,-,-,,753,0,753,3,0,3
"",,HATHI WIND,263010114,-,-,,619,0,619,,,
64 Total,,,,-,-,-,1372,0,1372,3,0,3
155,"BASIC HEALTH CENTRE            HATHIWIND (FEMALE)  (T)",HATHI WIND,263010107,-,-,,0,527,527,0,3,3
"",,HATHI WIND,263010108,-,-,,0,582,582,,,
"",,HATHI WIND,263010114,-,-,,0,443,443,,,
65 Total,,,,-,-,-,0,1552,1552,0,3,3
156,"GOVERNMENT BOYS PRIMARYSCHOOL, HATHI WIND  (T)",HATHI WIND,263010109,-,-,,271,187,458,2,1,3
"",,HATHI WIND,263010110,-,-,,237,138,375,,,
"",,HATHI WIND,263010111,-,-,,239,151,390,,,
66 Total,,,,-,-,-,747,476,1223,2,1,3
157,"GOVERNMENT GIRLS PRIMARYSCHOOL, CHAK MISRAN  (T)",CHAK MISRAN,263010112,-,-,,660,529,1189,2,1,3
67 Total,,,,-,-,-,660,529,1189,2,1,3
158,"GOVERNMENT BOYS PRIMARYSCHOOL, KHAWAJA SALAH  (T)",KHAWAJA SALAH,263010201,-,-,,458,380,838,2,2,4
"",,KHAWAJA SALAH,263010202,-,-,,312,239,551,,,
"",,KHAWAJA SALAH,263010203,-,-,,304,243,547,,,
68 Total,,,,-,-,-,1074,862,1936,2,2,4
159,"GOVERNMENT MODEL PRIMARYSCHOOL,JEHAN PUR DAHAR (T)",JAHANPUR DAHAR,263010204,-,-,,475,385,860,2,1,3
"",,JAHANPUR DAHAR,263010205,-,-,,393,263,656,,,
69 Total,,,,-,-,-,868,648,1516,2,1,3
160,"GOVERNMENT MODEL PRIMARYSCHOOL,CHAK QAZI (T)",CHAK QAZI,263010206,-,-,,271,198,469,2,1,3
"",,CHAK QAZI,263010207,-,-,,512,390,902,,,
70 Total,,,,-,-,-,783,588,1371,2,1,3
161,"GOVERNMENT MODEL PRIMARYSCHOOL SHAH HUSSAIN (T)",BEER BARAN,263010301,-,-,,76,81,157,2,2,4
"",,MALKU PUR,263010302,-,-,,244,205,449,,,
"",,BEER BARAN,263010306,-,-,,533,418,951,,,
71 Total,,,,-,-,-,853,704,1557,2,2,4
DEWAN PUR,263010303,-,-,,382,259,641,,,,,
72 Total,,,,-,-,-,880,604,1484,2,1,3
163,"GOVERNMENT BOYS PRIMARYSCHOOL   RAKH CHARA GAH(MALE)(T)",RAKH CHIRAGH BEHRA,263010401,-,-,,285,0,285,4,0,4
"",,RAKH CHIRAGH BEHRA,263010402,-,-,,467,0,467,,,
"",,RAKH CHIRAGH BEHRA,263010403,-,-,,453,0,453,,,
"",,RAKH CHIRAGH BEHRA,263010404,-,-,,525,0,525,,,
"",,AMRA,263010405,-,-,,157,0,157,,,
73 Total,,,,-,-,-,1887,0,1887,4,0,4
164,"GOVERNMENT GIRLS ELEMENTRYSCHOOL   RAKH CHARA GAH (FEMALE)(T)",RAKH CHIRAGH BEHRA,263010401,-,-,,0,247,247,0,3,3
"",,RAKH CHIRAGH BEHRA,263010402,-,-,,0,363,363,,,
"",,RAKH CHIRAGH BEHRA,263010403,-,-,,0,291,291,,,
"",,RAKH CHIRAGH BEHRA,263010404,-,-,,0,469,469,,,
"",,AMRA,263010405,-,-,,0,108,108,,,
74 Total,,,,-,-,-,0,1478,1478,0,3,3
165,"GOVERNMENT BOYS HIGH SCHOOLMELOWAL (MALE) (P)",MELOWAL,263010501,-,-,,427,0,427,3,0,3
"",,MELOWAL,263010502,-,-,,455,0,455,,,
"",,MELOWAL,263010503,-,-,,336,0,336,,,
"",,MELOWAL,263010504,-,-,,317,0,317,,,
75 Total,,,,-,-,-,1535,0,1535,3,0,3
166,"(149) GOVERNMENT BOYS HIGHSCHOOL   MELOWAL (MALE) (P)",MELOWAL,263010505,-,-,,472,0,472,2,0,2
"",,RAKH MELOWAL,263010506,-,-,,233,0,233,,,
76 Total,,,,-,-,-,705,0,705,2,0,2
167,"GOVERNMENT BOYS HIGH SCHOOLMELOWAL (FEMALE) (P)",MELOWAL,263010501,-,-,,0,330,330,0,4,4
"",,MELOWAL,263010502,-,-,,0,347,347,,,
"",,MELOWAL,263010503,-,-,,0,221,221,,,
"",,MELOWAL,263010504,-,-,,0,224,224,,,
"",,MELOWAL,263010505,-,-,,0,404,404,,,
"",,RAKH MELOWAL,263010506,-,-,,0,188,188,,,
77 Total,,,,-,-,-,0,1714,1714,0,4,4
168,"GOVERNMENT MODEL PRIMARYSCHOOL   MANWAIS  (T)",MANWAIS,263010507,-,-,,230,182,412,2,1,3
"",,MANWAIS,263010508,-,-,,404,294,698,,,
"",,AHLI DHABIANI,263010512,-,-,,179,132,311,,,
78 Total,,,,-,-,-,813,608,1421,2,1,3
169,"GOVERNMENT BOYS PRIMARYSCHOOL TARA SING  ( CHAK SAHIBKHAN)  (T)",CHAK SAHIB KHAN,263010509,-,-,,475,301,776,2,2,4
"",,CHAK SAHIB KHAN,263010510,-,-,,203,261,464,,,
"",,RAKH BHED PUR,263010511,-,-,,228,189,417,,,
79 Total,,,,-,-,-,906,751,1657,2,2,4
170,"GOVERNMENTBOYS HIGH SCHOOL,HAZOOR PUR (MALE) (P)",HAZOOR PUR,263010601,-,-,,397,0,397,0,0,0
"",,HAZOOR PUR,263010604,-,-,,0,0,0,,,
"",,HAZOOR PUR,263010605,-,-,,394,0,394,,,
80 Total,,,,-,-,-,791,0,791,0,0,0
171,"(153) GOVERNMENTBOYS HIGHSCHOOL, HAZOOR PUR (MALE) (P)",HAZOOR PUR,263010602,-,-,,318,0,318,2,0,2
"",,HAZOOR PUR,263010603,-,-,,667,0,667,,,
81 Total,,,,-,-,-,985,0,985,2,0,2
172,"GOVERNMENT GIRLS HIGH SCHOOL,HAZOOR PUR (FEMALE)  (P)",HAZOOR PUR,263010602,-,-,,0,265,265,0,0,0
"",,HAZOOR PUR,263010603,-,-,,0,558,558,,,
"",,HAZOOR PUR,263010604,-,-,,0,0,0,,,
"",,HAZOOR PUR,263010605,-,-,,0,347,347,,,
82 Total,,,,-,-,-,0,1504,1504,0,0,0
