"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",,"9-11/WBMuhammadibakeri",205090101,559,0,559,,,,,,,
"",,"9-11/WB imambargah",205090102,479,0,479,,,,,,,
"",,"9-11/WB jangharcinema",205090103,270,0,270,,,,,,,
"",,"9-11/WB KachiAbadi",205090104,282,0,282,,,,,,,
2,"Girls Community Model School 9-11/WB (Male)           (P)",,,"9-11/WB KachiAbadi",205090108,,240,0,240,2,0,2
"",,,"9-11/WB watertang ki",205090109,327,0,327,,,,,
"",,,"9-11/WB threemarla schemeMakka town",205090110,395,0,395,,,,,
"",,,,TOTAL,962,0,962,,,,,
3,"Girls Higher Secondary School (High Portion) 9-11/WB (Female) (P)",,,"9-11/WBMuhammadibakeri",205090101,,0,450,450,0,2,2
"",,,"9-11/WB imambargah",205090102,0,394,394,,,,,
"",,,"9-11/WB jangharcinema",205090103,0,203,203,,,,,
"",,,"9-11/WB KachiAbadi",205090104,0,179,179,,,,,
"",,,,TOTAL,0,1226,1226,,,,,
4,"Girls Higher Secondary School (High Portion) 9-11/WB (Female) (P)",,,"9-11/WB KachiAbadi",205090108,,0,245,245,0,1,1
"",,"9-11/WB watertang ki",205090109,0,288,288,,,,,,
"",,"9-11/WB threemarla schemeMakka town",205090110,0,321,321,,,,,,
"",,,TOTAL,0,854,854,,,,,,
"",,"9-11/WB  gousiamasjid",205090106,1165,0,1165,,,,,,
5,"Boys Pry. School 11/WB MakkaTown (Male) Numberdar Wala (P)",,,"9-11/WB threemarla schemeMakka town",205090107,,369,0,369,2,0,2
"",,,,TOTAL,1534,0,1534,,,,,
6,"Girls Middle School 11/WB MakkaTown (Female)Numberdar Wala (P)",,,"9-11/WB  gousiamasjid",205090106,,0,887,887,0,2,2
"",,,"9-11/WB threemarla schemeMakka town",205090107,0,288,288,,,,,
"",,,,TOTAL,0,1175,1175,,,,,
7,"Civil Rest House Vehari (Male)(P)",,,"9-11/WB Murtazaabad Pani walitanki",205090105,,421,0,421,2,0,2
"",,,"Mohallah jugiawala basti khajoorwali 9-11",205090201,339,0,339,,,,,
"",,,"Mohallah jugiawala purana lariada 9-11",205090202,432,0,432,,,,,
"",,,,TOTAL,1192,0,1192,,,,,
8,"Civil Rest House Vehari (Male)(P)",,,Masjid Zikki shah,205090203,,282,0,282,2,0,2
"",,Khajoor wali,205090204,430,0,430,,,,,,
"",,Bilal town,205090205,390,0,390,,,,,,
"",,,TOTAL,1102,0,1102,,,,,,
"",,"9-11/WB Murtazaabad Pani walitanki",205090105,0,322,322,,,,,,
9,"Boys Pry. School 9/WB (East)Female (P)",,,"Mohallah jugiawala basti khajoorwali 9-11",205090201,,0,312,312,0,3,3
"",,,,"Mohallah jugiawala purana lariada 9-11",205090202,0,359,359,,,,
"",,,,Masjid Zikki shah,205090203,0,237,237,,,,
"",,,,Khajoor wali,205090204,0,338,338,,,,
"",,,,Bilal town,205090205,0,351,351,,,,
"",,,,,,0,1919,1919,,,,
10,"Office of the Assistant DirectorAgriculture (Vehari) Male (P)",,,"Masjid ShamasPSO depo",205090301,,336,0,336,2,0,2
"",,,,"Masjid ShamasFarooqia",205090302,326,0,326,,,,
"",,,,Rest house,205090303,533,0,533,,,,
"",,,,,,1195,0,1195,,,,
11,"Office of the Assistant DirectorAgriculture (Vehari) Male (P)",,,Christian colony,205090304,,489,0,489,2,0,2
"",,Alam chock,205090305,377,0,377,,,,,,
"",,,,866,0,866,,,,,,
"",,Uncha Mohallah,205090501,554,433,987,,,,,,
"","Education Officer (EE-W), Vehari",,,,,,554,433,987,,,
13,"Office of the Deputy DistrictEducation Officer (EE-W) Vehari(Female) (P)",,,"Masjid ShamasPSO depo",205090301,,0,264,264,0,3,3
"",,,,"Masjid ShamasFarooqia",205090302,0,254,254,,,,
"",,,,Rest house,205090303,0,449,449,,,,
"",,,,Christian colony,205090304,0,423,423,,,,
"",,,,Alam chock,205090305,0,320,320,,,,
"",,,,,,0,1710,1710,,,,
14,"Boys Pry. School 9/WB West (Male)(P)",,,Railway Station,205090401,,523,0,523,3,0,3
"",,"9-11 wb Puranaada",205090402,234,0,234,,,,,,
"",,"9-11 wb Puranaada",205090403,240,0,240,,,,,,
"",,"9-11/WB Imtiazchowk",205090404,455,0,455,,,,,,
"",,"9-11/WB boysSchool",205090405,456,0,456,,,,,,
"",,,,1908,0,1908,,,,,,
"",,Railway Station,205090401,0,413,413,,,,,,
"","Girls Pry. School 9/WB (NearDispensary) Female (P)",,,"9-11 wb Puranaada",205090402,,0,186,186,0,2,2
"",,,,"9-11 wb Puranaada",205090403,0,182,182,,,,
"",,,,"9-11/WB Imtiazchowk",205090404,0,350,350,,,,
"",,,,"9-11/WB boysSchool",205090405,0,397,397,,,,
"",,,,,,0,1528,1528,,,,
16,"Govt. Pry. School Lala zar (Male)(P)",,,District Jail,205090502,,130,0,130,2,0,2
"",,Lala Zar Colony,205090503,261,0,261,,,,,,
"",,Lala Zar Colony,205090504,285,0,285,,,,,,
"",,"Muslim townjunobi",205090505,450,0,450,,,,,,
"",,anwara abad,205090506,479,0,479,,,,,,
"",,,,1605,0,1605,,,,,,
"",,anwara abad,205090507,435,0,435,,,,,,
"",,Uncha Mohallah,205090508,692,0,692,,,,,,
"",,anwara abad,205090509,89,0,89,,,,,,
"",,,,,,,1216,0,1216,,,
18,"Govt. Girls Middle School Lala Zar3 Marla (P)",,,"Muslim town shanchowk",205090601,,182,0,182,3,0,3
"",,Muslim town,205090602,415,0,415,,,,,,
"",,Muslim town,205090603,248,0,248,,,,,,
"",,"Muslim town bastiAriaya",205090604,515,0,515,,,,,,
"",,Ashraf Town,205090605,180,0,180,,,,,,
"",,Ghafoor Town,205090606,331,0,331,,,,,,
"",,,,1871,0,1871,,,,,,
"",,District Jail,205090502,0,83,83,,,,,,
"",,Lala Zar Colony,205090503,0,236,236,,,,,,
"",,Lala Zar Colony,205090504,0,230,230,,,,,,
"",,"Muslim townjunobi",205090505,0,363,363,,,,,,
"",,anwara abad,205090506,0,443,443,,,,,,
20,"Grils High School Anwar Abad(High Portion)  (Female) (P)",,,anwara abad,205090507,,0,427,427,0,2,2
"",,,,Uncha Mohallah,205090508,0,674,674,,,,
"",,,,anwara abad,205090509,0,46,46,,,,
"",,,,,,0,1147,1147,,,,
21,"Grils High School Anwar Abad(Middle Portion)  (Female) (P)",,,"Muslim town shanchowk",205090601,,0,165,165,0,2,2
"",,Muslim town,205090602,0,348,348,,,,,,
"",,Muslim town,205090603,0,207,207,,,,,,
"",,"Muslim town bastiAriaya",205090604,0,375,375,,,,,,
"",,Ashraf Town,205090605,0,157,157,,,,,,
"",,Ghafoor Town,205090606,0,258,258,,,,,,
"",,,,0,1510,1510,,,,,,
"",,Officer Colony,2  0  5  1  0  0  3  0  4,202,0,202,,,,,,
"",,Sharqi Colony,205100501,492,0,492,,,,,,
"",,Bhatta Akram,205100502,432,0,432,,,,,,
"",Campus (Male) (East) (P),,,"Bhatta AkramNew SharqiColony",205100503,,292,0,292,,,
"",,,,Rehmat Colony,205100504,342,0,342,,,,
"",,,,,,1760,0,1760,,,,
23,"Govt. Post Graduate College ForWomen Vehari Male (P)",,,"Tariq Bin ZaidColony",205100601,,183,0,183,2,0,2
"",,Rizwan Colony,205100602,282,0,282,,,,,,
"",,"Bhatta ShadiKhan",205100603,460,0,460,,,,,,
"",,"Bhatta ShadiKhan",205100604,458,0,458,,,,,,
"",,"Bhatta ShadiKhan",205100605,163,0,163,,,,,,
"",,,,1546,0,1546,,,,,,
"",,Officer Colony,2  0  5  1  0  0  3  0  4,0,172,172,,,,,,
"",,Sharqi Colony,205100501,0,455,455,,,,,,
"",,Bhatta Akram,205100502,0,355,355,,,,,,
"",,"Bhatta AkramNew SharqiColony",205100503,0,269,269,,,,,,
"",,Rehmat Colony,205100504,0,281,281,,,,,,
"",,,,,,,0,1532,1532,,,
25,"Govt. Collage For Women InterBlock Female (P)",,,"Tariq Bin ZaidColony",205100601,,0,200,200,0,2,2
"",,,,Rizwan Colony,205100602,0,261,261,,,,
"",,,,"Bhatta ShadiKhan",205100603,0,382,382,,,,
"",,,,"Bhatta ShadiKhan",205100604,0,397,397,,,,
"",,,,"Bhatta ShadiKhan",205100605,0,132,132,,,,
"",,,,,,0,1372,1372,,,,
26,"Govt. Vocational Training InstituteDanewal (Male) (P)",,,Danewal,205100701,,256,0,256,2,0,2
"",,Danewal,205100702,368,0,368,,,,,,
"",,Danewal,205100703,625,0,625,,,,,,
"",,,,1249,0,1249,,,,,,
"",,Danewal,205100704,753,0,753,,,,,,
"",,Danewal,205100705,278,0,278,,,,,,
28,"Grils High School Danewal (Female)(P)",,,Danewal,205100701,,0,280,280,0,2,2
"",,,,Danewal,205100702,0,314,314,,,,
"",,,,Danewal,205100703,0,587,587,,,,
"",,,,,,0,1181,1181,,,,
29,"Grils High School Danewal (Female)(P)",,,Danewal,205100704,,0,648,648,0,2,2
"",,Danewal,205100705,0,234,234,,,,,,
"",,,,0,882,882,,,,,,
"",,Club Road,205100101,23,0,23,,,,,,
"",,"C, Block",205100102,64,0,64,,,,,,
"",,"B,C  Block",205100103,45,0,45,,,,,,
"",,C  Block,205100104,196,0,196,,,,,,
"",,C  Block,205100105,86,0,86,,,,,,
"",,C  Block,205100106,178,0,178,,,,,,
"",,C  Block,205100107,60,0,60,,,,,,
Vehari (male),,,Sabzi Mandi,205100201,,19,0,19,,,
"",,Bus stand,205100202,1,0,1,,,,,
"",,D block,205100203,464,0,464,,,,,
"",,D block,205100204,162,0,162,,,,,
"",,D block,205100205,249,0,249,,,,,
"",,H Block,205100206,237,0,237,,,,,
"",,,,1784,0,1784,,,,,
"",,Club Road,205100101,0,15,15,,,,,
"",,"C, Block",205100102,0,50,50,,,,,
"",,"B,C  Block",205100103,0,37,37,,,,,
"",,C  Block,205100104,0,151,151,,,,,
"",,C  Block,205100105,0,63,63,,,,,
"",,C  Block,205100106,0,138,138,,,,,
"",,C  Block,205100107,0,55,55,,,,,
"",Block Vehari Female,,,Sabzi Mandi,205100201,,0,18,18,,,
"",,,,Bus stand,205100202,0,2,2,,,,
"",,,,D block,205100203,0,396,396,,,,
"",,,,D block,205100204,0,170,170,,,,
"",,,,D block,205100205,0,246,246,,,,
"",,,,H Block,205100206,0,233,233,,,,
"",,,,,,0,1574,1574,,,,
32,"Govt. Model High School Pry.Saction (Male) (P)",,,G Block,205100301,,339,0,339,2,0,2
"",,G Block,205100302,316,0,316,,,,,,
"",,"G, Block",205100303,333,0,333,,,,,,
"",,,,988,0,988,,,,,,
"",,G Block,205100301,0,279,279,,,,,,
"",,G Block,205100302,0,284,284,,,,,,
"",,"G, Block",205100303,0,291,291,,,,,,
"",,,,,,,0,854,854,,,
34,"District Health Office Vehari Male(P)",,,Masani Baag,205100401,,491,0,491,2,0,2
"",,,,"Sharqi Colony Nblock",205100402,295,0,295,,,,
"",,,,"Sharqi Colony Nblock",205100403,257,0,257,,,,
"",,,,Sharqi Colony,205100404,263,0,263,,,,
"",,,,,,1306,0,1306,,,,
35,"Govt. Girls College Newcampus(Female) (P)",,,Masani Baag,205100401,,0,465,465,0,2,2
"",,"Sharqi Colony Nblock",205100402,0,290,290,,,,,,
"",,"Sharqi Colony Nblock",205100403,0,248,248,,,,,,
"",,Sharqi Colony,205100404,0,274,274,,,,,,
"",,,,0,1277,1277,,,,,,
"",,"F, Block",205080101,490,0,490,,,,,,
"",,"E, Block",205080105,227,0,227,,,,,,
"",,Sarband Colony,205080106,317,0,317,,,,,,
"",,,,,,,1034,0,1034,,,
37,"Girls Pry. School Market CommitteeE, Block (Female) (P)",,,"F, Block",205080101,,0,443,443,0,2,2
"",,,"E, Block",205080105,0,195,195,,,,,
"",,,Sarband Colony,205080106,0,308,308,,,,,
"",,,,,0,946,946,,,,,
38,"Govt. Islamia High School A, BlockVehari (Male) (P)",,,"B, Block Galamandi",205080102,,210,0,210,1,0,1
"",,,Club Road,205080103,17,0,17,,,,,
"",,,"A, Block Galamandi",205080104,306,0,306,,,,,
"",,,,,533,0,533,,,,,
39,"Governmnet Islamia High SchoolVehari (High Block) Female",,,"B, Block Galamandi",205080102,,0,215,215,0,1,1
"",,Club Road,205080103,0,9,9,,,,,,
"",,"A, Block Galamandi",205080104,0,239,239,,,,,,
"",,,,0,463,463,,,,,,
"",,"Collage Town,Gujjar Colony",205080603,355,0,355,,,,,,
40,"Govt. Post Graduate College Vehari(Male) (P)",,,"Iqbal TownCollage Town,",205080604,,437,0,437,2,0,2
"",,,,"Iqbal TownCollage Town,",205080605,476,0,476,,,,
"",,,,,,1268,0,1268,,,,
41,"Govt. Post Graduate College Vehari(Combined) (P)",,,"Khanewal RoadService Pump,",205080601,,234,166,400,1,1,2
"",,,,"Collage Town,Khurshid AnwarStadium",205080602,424,347,771,,,,
"",,,,,,658,513,1171,,,,
42,"Grils Pry. School Stadium Town(Female) (P)",,,"Collage Town,Gujjar Colony",205080603,,0,307,307,0,2,2
"",,"Iqbal TownCollage Town,",205080604,0,356,356,,,,,,
"",,"Iqbal TownCollage Town,",205080605,0,363,363,,,,,,
"",,,,0,1026,1026,,,,,,
"",,Railway Phatak,205080201,375,0,375,,,,,,
"",,Rehmania Colony,205080204,397,0,397,,,,,,
"",,Faisal Town,205080307,232,0,232,,,,,,
"",,Faisal Town,205080308,332,0,332,,,,,,
"",,,,,,,1772,0,1772,,,
44,"Govt. College of Commerce,(Western Portion (Female) (P)",,,Railway Phatak,205080201,,0,318,318,0,2,2
"",,,,Rehmania Colony,205080204,0,378,378,,,,
"",,,,Faisal Town,205080307,0,247,247,,,,
"",,,,Faisal Town,205080308,0,281,281,,,,
"",,,,,,,,,,,,
"",,,,,,0,1603,1603,,,,
45,"Govt. High School Temoor ShaheedColony Vehari High Portation(Male) (P)",,,People Colony,205080401,,460,0,460,2,0,2
"",,"People Colony Ublock",205080402,153,0,153,,,,,,
"",,"People Colony U Vblock",205080403,727,0,727,,,,,,
"",,,,1340,0,1340,,,,,,
"",,"People Colony Zblock",205080404,518,0,518,,,,,,
"",,"People Colony Zblock",205080405,642,0,642,,,,,,
"",,"People Colony Ublock",205080406,592,0,592,,,,,,
"",,,,,,,1752,0,1752,,,
47,"Girls Middle School V, Block(Female) (P)",,,People Colony,205080401,,0,455,455,0,2,2
"",,,"People Colony Ublock",205080402,0,180,180,,,,,
"",,,"People Colony U Vblock",205080403,0,600,600,,,,,
"",,,"People Colony Ublock",205080406,0,407,407,,,,,
"",,,,,0,1235,1235,,,,,
48,"General Post Office Peoples ColonyVehari Female",,,"People Colony Zblock",205080404,,0,392,392,0,2,2
"",,,"People Colony Zblock",205080405,0,547,547,,,,,
"",,,,,0,939,939,,,,,
49,"Boys Middle School Liaquat Pura43/WB (Male) (P)",,,"Liaquat PuraKachi Mandi",205080202,,1053,0,1053,3,0,3
"",,"Liaquat PuraKachi Mandi",205080203,550,0,550,,,,,,
"",,,,1603,0,1603,,,,,,
"",,Madina Colony,205080205,512,0,512,,,,,,
"",,"Liaquat PuraSharqi",205080206,522,0,522,,,,,,
"",,,,,,,1034,0,1034,,,
51,"Girls Middle School Liaquat Pura(Female) (P)",,,"Liaquat PuraKachi Mandi",205080202,,0,788,788,0,2,2
"",,,"Liaquat PuraKachi Mandi",205080203,0,478,478,,,,,
"",,,,,0,1266,1266,,,,,
52,"Girls Middle School Liaquat Pura(Female) (P)",,,Madina Colony,205080205,,0,474,474,0,2,2
"",,,"Liaquat PuraSharqi",205080206,0,499,499,,,,,
"",,,,,0,973,973,,,,,
53,"Girls High School X, Block (PrimaryPortion) (Male) (P)",,,"X, Block janobo",205080304,,783,0,783,3,0,3
"",,"Y, Block",205080305,700,0,700,,,,,,
"",,"Y, Block ZafarColony",205080306,178,0,178,,,,,,
"",,"Y, Block ZafarColony",205080309,436,0,436,,,,,,
"",,,,2097,0,2097,,,,,,
"",,"X, Block janobo",205080304,0,637,637,,,,,,
"",,"Y, Block",205080305,0,611,611,,,,,,
54,"Girls High School X, Block (MiddlePortion) (Female) (P)",,,"Y, Block ZafarColony",205080306,,0,169,169,0,2,2
"",,,,"Y, Block ZafarColony",205080309,0,379,379,,,,
"",,,,,,0,1417,1417,,,,
55,"Boys Pry. School Z, Block (Male) (P)",,,W block shumali,205080301,,501,0,501,2,0,2
"",,,,"W, Block(Gunobi)",205080302,479,0,479,,,,
"",,,,"X, Block shumali",205080303,577,0,577,,,,
"",,,,,,1557,0,1557,,,,
56,"Municipal Unani Dispensary W,Block (Female) (P)",,,W block shumali,205080301,,0,379,379,0,2,2
"",,"W, Block(Gunobi)",205080302,0,404,404,,,,,,
"",,"X, Block shumali",205080303,0,511,511,,,,,,
"",,,,0,1294,1294,,,,,,
"",,"Pir Murad 3Marla Scheme",205080501,315,0,315,,,,,,
"",,"Bilal Masjid bastiparian( perrMurad)",205080502,393,0,393,,,,,,
"",,"Pir MuradMohalla Gujjar",205080503,526,0,526,,,,,,
"",,,,Pir Murad,205080504,,424,0,424,,,
"",,,,,1658,0,1658,,,,,
58,"Boys Middle. School Pir Murad(Combined) (P)",,,Pir Murad,205080505,,295,247,542,1,1,2
"",,,Pir Murad,205080506,376,326,702,,,,,
"",,,,,671,573,1244,,,,,
59,"Girls Elementary. School Pir Murad(Female) (P)",,,"Pir Murad 3Marla Scheme",205080501,,0,208,208,0,3,3
"",,,"Bilal Masjid bastiparian( perrMurad)",205080502,0,310,310,,,,,
"",,,"Pir MuradMohalla Gujjar",205080503,0,440,440,,,,,
"",,,Pir Murad,205080504,0,342,342,,,,,
"",,,,,0,1300,1300,,,,,
60,Boys Middle School 5/WB (Male) (P),5/WB,205010306,,,,323,0,323,2,0,2
5/WB,205010307,,,515,0,515,,,,,,
"",,,,838,0,838,,,,,,
5/WB,205010308,,,830,0,830,,,,,,
61,Boys Middle School 5/WB (Male) (P),5/WB,205010309,,,,391,0,391,2,0,2
"",,,,,,1221,0,1221,,,,
62,"Girls Middle School 5/WB (Female)(P)",5/WB,205010306,,,,0,223,223,0,2,2
"",,5/WB,205010307,,,0,369,369,,,,
"",,5/WB,205010308,,,0,619,619,,,,
"",,5/WB,205010309,,,0,313,313,,,,
"",,,,,,0,1524,1524,,,,
63,Girls Pry. School 7/WB (Male) (P),7/WB,205010303,,,,529,0,529,2,0,2
7/WB,205010304,,,149,0,149,,,,,,
7/WB,205010305,,,980,0,980,,,,,,
"",,,,1658,0,1658,,,,,,
7/WB,205010303,,,0,478,478,,,,,,
7/WB,205010304,,,0,88,88,,,,,,
7/WB,205010305,,,0,805,805,,,,,,
"",,,,,,,0,1371,1371,,,
65,"Boys Pry. School, 25/WB",25/WB,205010301,,,,449,346,795,2,1,3
"",,25/WB,205010302,,,446,320,766,,,,
"",,,,,,895,666,1561,,,,
66,"Boys Pry. School, 37/WB",37/WB,205010207,,,,398,306,704,2,1,3
"",,37/WB,205010208,,,522,417,939,,,,
"",,,,,,920,723,1643,,,,
67,"Boys Pry. School, 37/WB",37/WB,205010209,,,,350,286,636,1,1,2
"",,37/WB,205010210,,,199,156,355,,,,
"",,,,,,549,442,991,,,,
68,"Boys Pry. School, 39/WB (Male) (P)",39/WB,205010205,,,,803,0,803,2,0,2
39/WB,205010206,,,280,0,280,,,,,,
"",,,,1083,0,1083,,,,,,
39/WB,205010203,,,435,325,760,,,,,,
69,"Boys Pry. School, 39/WB(Combined) (P)",39/WB,205010204,,,,449,331,780,2,0,2
"",,,,,,884,656,1540,,,,
70,"Girls Middle School 39/WB (Female)(P)",39/WB,205010205,,,,0,603,603,0,1,1
"",,39/WB,205010206,,,0,227,227,,,,
"",,,,,,0,830,830,,,,
71,U. C. Office 41/WB (P),41/WB,205010201,,,,475,340,815,2,1,3
"",,41/WB,205010202,,,431,379,810,,,,
"",,,,,,906,719,1625,,,,
72,"Boys Pry. School, 47/WB  (P)",47/WB,205020509,,,,440,378,818,1,1,2
"",,,,,,440,378,818,,,,
73,Girls Middle. School 47/WB (P),47/WB,2  0  5  020510,,,,608,569,1177,1,1,2
47/WB,2  0  5  020511,,,223,174,397,,,,,,
"",,,,831,743,1574,,,,,,
47/WB,2  0  5  020512,,,448,326,774,,,,,,
74,Girls Middle. School 47/WB (P),47/WB,2  0  5  020513,,,,215,180,395,1,1,2
"",,,,,,663,506,1169,,,,
75,"Govt Pry School 43/WB Seed Form(P)",43/WB,205010101,,,,267,232,499,1,1,2
"",,43/WB,205010102,,,181,180,361,,,,
"",,,,,,448,412,860,,,,
76,Boys Middle School 49/WB (P),49/WB,205020507,,,,709,608,1317,1,1,2
"",,,,,,709,608,1317,,,,
77,Boys Middle School 49/WB (P),49/WB,205020508,,,,428,318,746,1,1,2
"",,,,,,428,318,746,,,,
78,"Boys Pry. School, 51/WB  (P)",51/WB,205020401,,,,645,533,1178,2,1,3
51/WB,205020402,,,302,200,502,,,,,,
"",,,,947,733,1680,,,,,,
57/WB,205020403,,,513,360,873,,,,,,
80,Boys Pry. School 57/WB (P),57/WB,205020404,,,,674,481,1155,1,1,2
"",,,,,,674,481,1155,,,,
81,Govt. Middle School 53/WB (P),53/WB,205020405,,,,205,181,386,2,1,3
"",,53/WB,205020406,,,70,36,106,,,,
"",,53/WB,205020407,,,758,566,1324,,,,
"",,,,,,1033,783,1816,,,,
82,Boys High School 59/WB (P),59/WB,205020408,,,,621,458,1079,2,1,3
"",,59/WB,205020409,,,349,316,665,,,,
"",,,,,,970,774,1744,,,,
83,Govt. Model Pry. School 61/WB,61/WB,205020201,,,,674,438,1112,1,1,2
"",,,,674,438,1112,,,,,,
63/WB,205020207,,,824,613,1437,,,,,,
67/WB,205020208,,,37,34,71,,,,,,
85,Girls Middle School 63/WB (P),63/WB,205020209,,,,145,114,259,1,1,2
"",63/WB,2  0  5  0  2  0  2  0  6,,,379,300,679,,,,,
"",,,,,524,414,938,,,,,
86,Boys Pry. School 65/WB (Male) (P),65/WB,205020202,,,,228,0,228,2,0,2
"",65/WB,205020203,,,260,0,260,,,,,
"",65/WB,205020204,,,786,0,786,,,,,
"",65/WB,205020205,,,418,0,418,,,,,
"",,,,,1692,0,1692,,,,,
87,"Girls High School 65/WB (Female)(P)",65/WB,205020202,,,,0,175,175,0,2,2
65/WB,205020203,,,0,223,223,,,,,,
65/WB,205020204,,,0,679,679,,,,,,
65/WB,205020205,,,0,305,305,,,,,,
"",,,,0,1382,1382,,,,,,
9/WB,205010401,,,771,564,1335,,,,,,
"",,,,,,,771,564,1335,,,
89,Boys Pry. School 9/WB  (P),9/WB,205010402,,,,442,347,789,1,1,2
"",,,,,,442,347,789,,,,
90,Girls Pry. School 9/WB  (P),9/WB,205010403,,,,458,337,795,1,1,2
"",,,,,,458,337,795,,,,
91,Boys Pry. School 13/WB (P),13/WB,205010501,,,,250,214,464,1,1,2
"",,13/WB,205010502,,,305,273,578,,,,
"",,,,,,555,487,1042,,,,
92,Boys Pry. School 13/WB (P),13/WB,205010503,,,,326,283,609,1,1,2
"",,13/WB,205010505,,,307,197,504,,,,
"",,,,,,633,480,1113,,,,
93,Boys Pry. School 13/WB (P),13/WB,205010504,,,,459,368,827,1,1,2
"",,,,459,368,827,,,,,,
75/WB,205010507,,,152,89,241,,,,,,
94,Boys Pry. School 75/WB (P),75/WB,205010508,,,,378,334,712,1,1,2
"",,,,,530,423,953,,,,,
95,Boys Pry. School 75/WB (P),75/WB,205010506,,,,282,209,491,1,1,2
"",75/WB,205010509,,,356,268,624,,,,,
"",,,,,638,477,1115,,,,,
96,Boys Pry. School 77/WB (P),"11/WB MurtazaAbad",205010404,,,,113,93,206,2,1,3
"",77/WB,2  0  5  0 10510,,,405,324,729,,,,,
"",77/WB,2  0  5  0 10515,,,409,280,689,,,,,
"",,,,,927,697,1624,,,,,
97,Boys High School 79/WB (P),79/WB,205010511,,,,277,206,483,1,1,2
79/WB,205010514,,,173,181,354,,,,,,
"",,,,450,387,837,,,,,,
79/WB,205010512,,,527,371,898,,,,,,
79/WB,205010513,,,167,126,293,,,,,,
"",,,,,,,694,497,1191,,,
99,"Girls Model Community Middle.School 45/WB (P)",45/WB,205020503,,,,215,182,397,1,1,2
"",,45/WB,205020506,,,603,515,1118,,,,
"",,,,,,818,697,1515,,,,
100,"Girls Model Community Middle.School 45/WB (P)",45/WB,205020504,,,,231,173,404,1,1,2
"",,45/WB,205020505,,,542,428,970,,,,
"",,,,,,773,601,1374,,,,
101,Girls Middle School 55/WB (P),55/WB,205020501,,,,562,437,999,2,1,3
"",,55/WB,205020502,,,303,223,526,,,,
"",,,,,,865,660,1525,,,,
102,Girls Middle School 91/WB (P),91/WB,205020306,,,,432,317,749,1,1,2
91/WB,205020307,,,307,262,569,,,,,,
"",,,,739,579,1318,,,,,,
93/WB,205020301,,,596,435,1031,,,,,,
"",,,,,,,596,435,1031,,,
104,Girls Middle School 93/WB (P),93/WB,205020302,,,,518,393,911,1,1,2
"",,,,,,518,393,911,,,,
105,Boys Pry.  School 95/WB (P),95/WB,205020303,,,,482,0,482,2,0,2
"",,95/WB,205020304,,,272,0,272,,,,
"",,95/WB,205020305,,,812,0,812,,,,
"",,,,,,1566,0,1566,,,,
106,Pry.  School 95/WB (Female (P),95/WB,205020303,,,,0,349,349,0,2,2
"",,95/WB,205020304,,,0,190,190,,,,
"",,95/WB,205020305,,,0,604,604,,,,
"",,,,,,0,1143,1143,,,,
107,Girls High School 97/WB (P),97/WB,205020308,,,,687,544,1231,1,1,2
"",,,,687,544,1231,,,,,,
97/WB,205020309,,,491,380,871,,,,,,
"",,,,,,,491,380,871,,,
109,"Boys Pry. School Naseemabad QadirWah (P)",Qadir Wah,205020102,,,,227,206,433,1,1,2
"",,Qadir Wah,205020103,,,250,224,474,,,,
"",,,,,,477,430,907,,,,
110,"Boys Pry. School Naseemabad QadirWah (P)",Qadir Wah,205020101,,,,744,543,1287,1,1,2
"",,,,,,744,543,1287,,,,
111,"Girls Pry. School Sheen Mar QadirWah",Qadir Wah,205020104,,,,241,168,409,1,1,2
"",,Qadir Wah,205020106,,,120,83,203,,,,
"",,Qadir Wah,205020107,,,232,135,367,,,,
"",,,,,,593,386,979,,,,
112,"Girls Pry. School Sheen Mar QadirWah",Qadir Wah,205020105,,,,645,446,1091,1,1,2
"",,,,645,446,1091,,,,,,
Alam Pur,207040702,,,560,346,906,,,,,,
Alam Pur,207040704,,,474,400,874,,,,,,
"",,,,,,,1034,746,1780,,,
114,Girls Pry School Alam Pur (Male),Alam Pur,207040703,,,,826,0,826,2,0,2
"",,Alam Pur,207040701,,,740,0,740,,,,
"",,,,,,1566,0,1566,,,,
115,Girls Pry School Alam Pur (Female),Alam Pur,207040703,,,,0,694,694,0,1,1
"",,Alam Pur,207040701,,,0,483,483,,,,
"",,,,,,0,694,694,,,,
116,"Govt. Girls Elementary School HariChand  (Famale) Britway addaharichand","Malik Wahin(Basti Harichand)",207040802,,,,0,193,193,0,2,2
"Malik Wahin(Basti Harichand)",207040803,,,0,446,446,,,,,,
"MalikWahin(Bago walibhani, adaharichand)",207040801,,,0,317,317,,,,,,
"",,,,0,956,956,,,,,,
"MalikWahin(chaadhorywala)",207040806,,,245,165,410,,,,,,
"MalikWahin(gamy walibasti)",207040805,,,533,351,884,,,,,,
