"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,,,"Masoom ShahColony",206140202,,565,0,565,,,
"",,,,,"Masoom ShahColony",206140205,,182,0,182,,,
"",,,,,"Masoom ShahColony",206140308,,278,0,278,,,
"",,,,,,TOTAL,,1285,0,1285,,,
"",72,BTM Boys High School (Female)(P),,,"Masoom ShahColony",206140201,,0,174,174,0,2,2
"",,"Masoom ShahColony",206140202,,0,412,412,,,,,,
"",,"Masoom ShahColony",206140205,,0,134,134,,,,,,
"",,"Masoom ShahColony",206140308,,0,184,184,,,,,,
"",,,TOTAL,,0,904,904,,,,,,
"",,Yousaf Abad,206140301,,332,0,332,,,,,,
"",,Yousaf Abad,206140304,,166,0,166,,,,,,
"",,"BTM OfficerColony",206140305,,48,0,48,,,,,,
"",,Yousaf Abad,206140307,,321,0,321,,,,,,
"",74,BTM Boys High School (Male)(P),,,Yousaf Abad,206140302,,339,0,339,2,0,2
"",,,,,Yousaf Abad,206140303,,838,0,838,,,
"",,,,,,TOTAL,,1177,0,1177,,,
"",75,BTM Boys High School (Female)(P),,,Yousaf Abad,206140301,,0,247,247,0,2,2
"",,,,,Yousaf Abad,206140302,,0,238,238,,,
"",,,,,Yousaf Abad,206140303,,0,592,592,,,
"",,,,,Yousaf Abad,206140304,,0,217,217,,,
"",,,,,"BTM OfficerColony",206140305,,0,46,46,,,
"",,,,,Yousaf Abad,206140307,,0,259,259,,,
"",,,,,,TOTAL,,0,1599,1599,,,
"",76,Office of the U.C. 447/EB (Male)(P),,,447/EB,206130101,,466,0,466,2,0,2
"",,,,,447/EB,206130102,,864,0,864,,,
"",,,,,,TOTAL,,1330,0,1330,,,
"",77,Office of the U.C. 447/EB (Male)(P),,,447/EB,206130103,,601,0,601,2,0,2
"",,,,,Bsti Awan Wali,206140306,,465,0,465,,,
"",,,,,,TOTAL,,1066,0,1066,,,
"",78,Girls High School 447/EB (Female)(P),,,447/EB,206130101,,0,338,338,0,3,3
"",,,,,447/EB,206130102,,0,640,640,,,
"",,,,,447/EB,206130103,,0,471,471,,,
"",,,,,Bsti Awan Wali,206140306,,0,278,278,,,
"",,,,,,TOTAL,,0,1727,1727,,,
"",79,BTM Boys High School(P),,,Babar Cenima,206140501,,90,61,151,1,1,2
"",,,,,Chamra Mandi,206140502,,82,82,164,,,
"",,,,,BTM Colony,206140503,,57,39,96,,,
"",,,,,,TOTAL,,229,182,411,,,
"",80,"Boys Pry. School 445/EB (EastPortion) (Male)(P)",,,Zahid Abad,206130201,,602,0,602,3,0,3
"",,Chak No. 445/EB,206130202,,620,0,620,,,,,,
"",,Chak No. 445/EB,206130203,,462,0,462,,,,,,
"",,,TOTAL,,1684,0,1684,,,,,,
"",,Chak No. 445/EB,206130204,,454,0,454,,,,,,
"",,Chak No. 445/EB,206130205,,609,0,609,,,,,,
"",,Chak No. 445/EB,206130206,,716,0,716,,,,,,
"",82,Girls High. School 445/EB  (Female)(P),,,Zahid Abad,206130201,,0,490,490,0,2,2
"",,,,,Chak No. 445/EB,206130202,,0,477,477,,,
"",,,,,Chak No. 445/EB,206130203,,0,354,354,,,
"",,,,,,TOTAL,,0,1321,1321,,,
"",83,Girls High School 445/EB  (Female)(P),,,Chak No. 445/EB,206130204,,0,326,326,0,2,2
"",,,,,Chak No. 445/EB,206130205,,0,454,454,,,
"",,,,,Chak No. 445/EB,206130206,,0,547,547,,,
"",,,,,,TOTAL,,0,1327,1327,,,
"",84,"Boys Pry. School Mujahid Colony(Male)(P)",,,Amjad Town,206130301,,420,0,420,2,0,2
"",,,,,Amjad Town,206130302,,159,0,159,,,
"",,,,,Amjad Town,206130311,,215,0,215,,,
"",,,,,Amjad Town,206130312,,267,0,267,,,
"",,,,,,TOTAL,,1061,0,1061,,,
"",85,"Girls Pry. School Basti Aiwana Wali(Female)(P)",,,Amjad Town,206130301,,0,322,322,0,2,2
"",,,,,Amjad Town,206130302,,0,144,144,,,
"",,,,,Amjad Town,206130311,,0,156,156,,,
"",,,,,Amjad Town,206130312,,0,197,197,,,
"",,,,,,TOTAL,,0,819,819,,,
"",86,"Girls Pry. School Mujahid Colony(Female)(P)",,,Mujahid Colony,206130405,,622,0,622,2,0,2
"",,,,,Mujahid Colony,206130406,,285,0,285,,,
"",,,,,Mujahid Colony,206130407,,313,0,313,,,
"",,,,,Mujahid Colony,206130504,,308,0,308,,,
"",,,,,,TOTAL,,1528,0,1528,,,
"",87,"Boys Pry. School Mujahid Colony(Male)(P)",,,Mujahid Colony,206130405,,0,551,551,0,2,2
"",,,,,Mujahid Colony,206130406,,0,232,232,,,
"",,,,,Mujahid Colony,206130407,,0,269,269,,,
"",,,,,Mujahid Colony,206130507,,0,257,257,,,
"",,,,,,TOTAL,,0,1309,1309,,,
"",88,Grils Pry School Mujahid Colony (P),,,Mujahid Colony,206130303,,578,472,1050,1,1,2
"",,,,,Mujahid Colony,206130310,,54,42,96,,,
"",,,,,,TOTAL,,632,514,1146,,,
"",89,Grils Pry School Mujahid Colony (P),,,Mujahid Colony,206130304,,456,356,812,2,2,4
"",,,,,Mujahid Colony,206130503,,461,413,874,,,
"",,,,,,TOTAL,,917,769,1686,,,
"",90,"Govt. Girls Primary School MujahidColony (Female)(P)",,,Mujahid Colony,206130305,,0,249,249,0,2,2
"",,Mujahid Colony,206130306,,0,194,194,,,,,,
"",,Mujahid Colony,206130307,,0,79,79,,,,,,
"",,Mujahid Colony,206130308,,0,148,148,,,,,,
"",,Mujahid Colony,206130506,,0,232,232,,,,,,
"",,Mujahid Colony,206130507,,0,104,104,,,,,,
"",,Mujahid Colony,206130505,,0,151,151,,,,,,
"",,,TOTAL,,0,1157,1157,,,,,,
"",,Shah Faiz Park,206130401,,0,313,313,,,,,,
"",,Shah Faiz Park,206130402,,0,385,385,,,,,,
"",,Mujahid Colony,206130403,,0,446,446,,,,,,
"",,Mujahid Colony,206130404,,0,222,222,,,,,,
"",,Mujahid Colony,206130408,,0,384,384,,,,,,
"",92,"Govt. Scool for Special Childern CanalRoad (Male)(P)",,,Shah Faiz Park,206130401,,366,0,366,4,0,4
"",,,,,Shah Faiz Park,206130402,,499,0,499,,,
"",,,,,Mujahid Colony,206130403,,569,0,569,,,
