"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
"",,-,-,عسکری7,112040204,,321,,321,0,0,0
"",,-,-,ڈھوک جمعہ,112040205,,415,,415,0,0,0
"",,-,-,مبارک لین، کٹھانہ,112040211,,374,,374,0,0,0
"",,-,-,کٹھانہ,112040214,,665,,665,0,0,0
Total,,,,,,,1945,,"1,945",4,0,4
6,"Hera Public School, opp.Mani CNGKhawaja Corporation Chowk, AdyalaRoad, Rwp (M)",-,-,"الممتازکالونی، ڈھوککلہور",112040206,,406,,406,0,0,0
"",,-,-,"الممتازکالونی، ڈھوککلہور",112040210,,244,,244,0,0,0
"",,-,-,"الممتازکالونی، ڈھوککلہور",112040212,,152,,152,0,0,0
"",,-,-,"الممتازکالونی، ڈھوککلہور",112040215,,269,,269,0,0,0
"",,-,-,"مبارک لین، ڈھوککلہور",112040207,,528,,528,0,0,0
Total,,,,,,,1599,,"1,599",3,0,3
7,"ASIF PUBLIC SCHOOL ADYALA ROADRWP(FM)",-,-,عسکری7,112040203,,,180,180,0,0,0
"",,-,-,عسکری7,112040204,,,328,328,0,0,0
"",,-,-,ڈھوک جمعہ,112040205,,,349,349,0,0,0
"",,-,-,مبارک لین، کٹھانہ,112040211,,,336,336,0,0,0
"",,-,-,کٹھانہ,112040214,,,562,562,0,0,0
Total,,,,,,,,1755,"1,755",0,3,3
"-",-,"الممتازکالونی، ڈھوککلہور",112040206,,,398,398,0,0,0,,
"-",-,"الممتازکالونی، ڈھوککلہور",112040210,,,176,176,0,0,0,,
"-",-,"الممتازکالونی، ڈھوککلہور",112040212,,,129,129,0,0,0,,
"",,-,-,"مبارک لین، ڈھوککلہور",112040207,,,472,472,0,0,0
Total,,,,,,,,1383,"1,383",0,2,2
9,"Fauji Foundation Model School 88/48Tulsa Road Opposite Adil Market Lalazar(Male)(P)",-,-,"ظفراکبرروڈ/مظہرالقیوم روڈ ،لالہ زار",112040301,,340,0,340,0,0,0
"",,-,-,تلسہ گاؤں۔ لالہ زار,112040302,,598,0,598,0,0,0
"",,-,-,"لین نمبر ،5 حامد ٹاؤن ،شیر زمان کالونی",112040303,,388,0,388,0,0,0
Total,,,,,,,1326,0,"1,326",2,0,2
10,"Fauji Foundation Model School 88/48Tulsa Road Opposite Adil Market Lalazar(Male)(P)",-,-,"شیر زمان کالونی ،لین ،6،8 لالہ زار",112040304,,372,0,372,0,0,0
"",,-,-,"لین نمبر ،5 شیر زمانکالونی",112040305,,267,0,267,0,0,0
"",,-,-,"لین نمبر ،5 شیر زمانکالونی",112040306,,196,0,196,0,0,0
Total,,,,,,,835,0,835,2,0,2
11,"Fauji Foundation Model School 88/48Tulsa Road Opposite Adil Market Lalazar(Female)(P)",-,-,"ظفراکبرروڈ/مظہرالقیوم روڈ ،لالہ زار",112040301,,0,328,328,0,0,0
"",,-,-,تلسہ گاؤں۔ لالہ زار,112040302,,0,552,552,0,0,0
"",,-,-,"لین نمبر ،5 حامد ٹاؤن ،شیر زمان کالونی",112040303,,0,401,401,0,0,0
Total,,,,,,,0,1281,"1,281",0,2,2
12,"Fauji Foundation Model School 88/48Tulsa Road Opposite Adil Market Lalazar(Female)(P)",-,-,"شیر زمان کالونی ،لین ،6،8 لالہ زار",112040304,,0,344,344,0,0,0
"",,-,-,"لین نمبر ،5 شیر زمانکالونی",112040305,,0,256,256,0,0,0
"",,-,-,"لین نمبر ،5 شیر زمانکالونی",112040306,,0,194,194,0,0,0
Total,,,,,,,0,794,794,0,2,2
13,"Fauji foundation college new lalazar(Male)(P).",-,-,"کالٹیکس روڈ/ روز لین،3،4،5،6 نیو لالہ زار",112040401,,490,0,490,0,0,0
"",,-,-,"کالٹیکس روڈ، لین  2نیو لالہ زار",112040402,,224,0,224,0,0,0
"",,-,-,"کواٹرز  /502 شائیگانکالونی/ راہ امن",112040403,,475,0,475,0,0,0
Total,,,,,,,1189,0,"1,189",2,0,2
14,"Fauji foundation college new lalazar(Male)(P).",-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040405,,699,0,699,0,0,0
"",,-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040406,,212,0,212,0,0,0
"",,-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040407,,403,0,403,0,0,0
Total,,,,,,,1512,0,"1,512",3,0,3
15,"Fauji foundation college newlalazar(Female)(P).",-,-,"کالٹیکس روڈ/ روز لین،3،4،5،6 نیو لالہ زار",112040401,,0,447,447,0,0,0
"",,-,-,"کالٹیکس روڈ، لین  2نیو لالہ زار",112040402,,0,222,222,0,0,0
"",,-,-,"کواٹرز  /502 شائیگانکالونی/ راہ امن",112040403,,0,464,464,0,0,0
Total,,,,,,,0,1133,"1,133",0,2,2
16,"Fauji foundation college newlalazar(Female)(P).",-,-,"جنوبی عسکری  /7 راہامن/کالٹیکس روڈ",112040404,,0,218,218,0,0,0
"",,-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040405,,0,662,662,0,0,0
"",,-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040406,,0,273,273,0,0,0
"",,-,-,"ڈیفنس روڈ، نادرسٹریٹ، کالٹیکس روڈ ،عسکری،14 سیکٹراے بی",112040407,,0,305,305,0,0,0
Total,,,,,,,0,1458,"1,458",0,3,3
17,"Govt Boys Elementary Gorakh pur (Male)(P)",گورکھ پور,110060101,-,-,,511,0,511,0,0,0
"",,گورکھ پور,110060102,-,-,,252,0,252,0,0,0
Total,,,,,,,763,0,763,2,0,2
18,"Govt Girls High School Gorakh pur(Female) (p)",گورکھ پور,110060101,-,-,,0,487,487,0,0,0
"",,گورکھ پور,110060102,-,-,,0,245,245,0,0,0
Total,,,,,,,,732,732,0,2,2
19,"Govt Boys Elementary Gorakh pur (Male)(P)",گورکھ پور,110060103,-,-,,754,0,754,0,0,0
"گورکھ پور",110060104,-,-,,571,0,571,0,0,0,,
20,"Govt Girls High School Gorakh pur(Female) (p)",گورکھ پور,110060103,-,-,,0,645,645,0,0,0
"",,گورکھ پور,110060104,-,-,,0,505,505,0,0,0
Total,,,,,,,0,1150,1150,0,2,2
21,Barani Training institute Dhagal (Male) (P),دئیگل,110060107,-,-,,114,0,114,0,0,0
"",,دئیگل,110060108,-,-,,298,0,298,0,0,0
"",,دئیگل,110060109,-,-,,53,0,53,0,0,0
"",,دئیگل,110060110,-,-,,667,,667,0,0,0
Total,,,,,,,1132,0,"1,132",2,0,2
22,"Barani Training institute Dhagal (Female)(P)",دئیگل,110060107,-,-,,0,80,80,0,0,0
"",,دئیگل,110060108,-,-,,0,220,220,0,0,0
"",,دئیگل,110060109,-,-,,0,42,42,0,0,0
"",,دئیگل,110060110,-,-,,,583,583,0,0,0
Total,,,,,,,0,925,925,0,2,2
23,"Govt. Boys Primary School, Gali(combined)(P)",گلی,110060105,-,-,,74,44,118,0,0,0
"",,گلی,110060111,-,-,,23,23,46,0,0,0
"",,گلی,110060112,-,-,,23,25,48,0,0,0
"",,گلی,110060113,-,-,,17,24,41,0,0,0
"",,گلی,110060114,-,-,,25,23,48,0,0,0
"",,گلی,110060115,-,-,,22,23,45,0,0,0
"",,گلی,110060116,-,-,,22,24,46,0,0,0
"",,گلی,110060117,-,-,,25,20,45,0,0,0
"",,گلی,110060118,-,-,,19,18,37,0,0,0
"",,گلی,110060119,-,-,,24,12,36,0,0,0
"",,گلی,110060120,-,-,,25,15,40,0,0,0
"",,گلی,110060121,-,-,,10,21,31,0,0,0
"",,گلی,110060122,-,-,,9,13,22,0,0,0
Total,,,,,,,318,285,603,1,1,2
24,"Govt. Boys Primary School, Shah PurSaydian (combined)(P)",شاہ پور,110060106,-,-,,111,119,230,0,0,0
"",,شاہ پور,110060123,-,-,,95,95,190,0,0,0
"",,شاہ پور,110060124,-,-,,91,99,190,0,0,0
"",,شاہ پور,110060125,-,-,,75,23,98,0,0,0
Total,,,,,,,372,336,708,1,1,2
25,"Govt. Boys High School, Kharkan(Male)(P)",سوہاوہ,110060201,-,-,,283,0,283,0,0,0
"",,کھڑکن,110060202,-,-,,356,0,356,0,0,0
"",,کھڑکن,110060203,-,-,,216,0,216,0,0,0
"",,لڑی ملانہ,110010405,-,-,,156,0,156,0,0,0
Total,,,,,,,1011,0,1011,2,0,2
"سوہاوہ",110060201,-,-,,0,258,258,0,0,0,,
"کھڑکن",110060202,-,-,,0,320,320,0,0,0,,
"کھڑکن",110060203,-,-,,0,185,185,0,0,0,,
Total,,,,,,,0,913,913,0,2,2
27,"Govt. Boys Primery School, Sanghara(combined)(P)",موہڑہ لنگر,110060204,-,-,,108,101,209,0,0,0
"",,موہڑہ بگیال,110060205,-,-,,67,51,118,0,0,0
"",,سانگرہ,110060206,-,-,,136,128,264,0,0,0
Total,,,,,,,311,280,591,1,1,2
28,"Govt. Boys Middle School, Bagh(combined)(P)",باغ راجگان,110060207,-,-,,650,640,"1,290",0,0,0
Total,,,,,,,650,640,"1,290",1,1,2
29,"Basic Health Unit, Chapper (combined)(P)",چھپر,110060301,-,-,,229,186,415,0,0,0
"",,ان پور,110060302,-,-,,442,413,855,0,0,0
Total,,,,,,,671,599,"1,270",1,1,2
30,"Govt Girls Elementary School, JabbarMiana (combined)(P)",ٹھٹھہ گد پور,110060304,-,-,,443,393,836,0,0,0
"",,جبر میانہ,110060305,-,-,,253,203,456,0,0,0
Total,,,,,,,696,596,1292,1,1,2
31,"Govt. Eliat high School, Morgah, Rwp(combined)(P)","گلشن آباد، جھامرہ، ٹی اینٹی کالونی، مورگاہ",110020601,-,-,,437,391,828,0,0,0
Total,,,,,,,437,391,828,1,1,2
32,"Govt Girls Elementry School, AOCColony, Morgah, Rwp (Combined)(P)","ڈھوک نواز، پیر دیولغازی آباد، مورگاہ",110020602,-,-,,677,657,"1,334",0,0,0
"",,"راجہ یوسف کالونی، جناعسٹریٹ، مورگاہ",110020606,-,-,,631,604,"1,235",0,0,0
Total,,,,,,,1308,1261,"2,569",2,0,2
33,"Govt. Girls Elementary School ARLColony  Morgah, (combined)(P)",اےآر-ایل کالونی، مورگاہ,110020603,-,-,,374,337,711,0,0,0
"",,اےآر-ایل کالونی، مورگاہ,110020613,-,-,,82,78,160,0,0,0
Total,,,,,,,456,415,871,1,1,2
34,"Govt. Eliat High School, Morgah, Rwp(combined)(P)","نئی آبادی ڈھوک مستریاں ،مورگاہ",110020604,-,-,,483,424,907,0,0,0
Total,,,,,,,483,424,907,1,1,2
35,"F.G Boys High School, Officer Colony,Morgah, Rwp (combined)(P)","ڈی ایچ اے،آفیسر کالونی ،محلہ جہانگیر آباد، مورگاہ",110020608,-,-,,558,522,"1,080",0,0,0
Total,,,,,,,558,522,"1,080",1,1,2
36,"Worker Welfare School for Boys, Morgah,Rwp (combined)(T)","آفیسر کالونی، راجہ یوسفکالونی، مورگاہ",110020607,-,-,,1308,1218,"2,526",0,0,0
Total,,,,,,,1308,1218,"2,526",2,2,4
37,"Worker Welfare School for Girls, Morgah,Rwp (combined)(T)",مورگاہ,110020609,-,-,,702,564,"1,266",0,0,0
"",,مورگاہ,110020619,-,-,,239,272,511,0,0,0
Total,,,,,,,941,836,"1,777",2,2,4
38,"Govt. Eliat high School, Morgah, Rwp(combined)(P)","جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020605,-,-,,527,573,"1,100",0,0,0
"جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020614,-,-,,283,268,551,0,0,0,,
39,"Govt. Eliat high School, Morgah, Rwp(combined)(P)","جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020615,-,-,,277,243,520,0,0,0
"",,"جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020616,-,-,,185,168,353,0,0,0
"",,"جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020617,-,-,,208,162,370,0,0,0
"",,"جبار کالونی، نئی آبادی ،ڈھوک بھٹیاں،مورگاہ",110020618,-,-,,178,170,348,0,0,0
Total,,,,,,,848,743,1591,2,2,4
40,"Govt Girls  Primery School, Morgah, Rwp(combined)(P)","ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020611,-,-,,66,54,120,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020612,-,-,,25,25,50,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020620,-,-,,28,26,54,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020621,-,-,,28,27,55,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020622,-,-,,34,29,63,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020623,-,-,,28,20,48,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020624,-,-,,29,30,59,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020625,-,-,,36,21,57,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020626,-,-,,23,15,38,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020627,-,-,,15,14,29,0,0,0
"",,"ڈھوک سید محمد، ڈھوکبستی خان مورگاہ",110020628,-,-,,16,22,38,0,0,0
Total,,,,,,,328,283,611,1,1,2
41,"Govt. Girls Higher Secondary School,AOC, Morgah,  (combined)(P)","اے آر ایل کالونی، کوٹھہکلاں",110020901,-,-,,866,747,"1,613",0,0,0
"",,"نئی آبادی، اپری باڑیکوٹھہ کلاں",110020902,-,-,,712,624,"1,336",0,0,0
Total,,,,,,,1578,1371,"2,949",3,2,5
42,"Govt. Girls Elementry School, KothaKalan,  (combined)(P)","بنہ موہڑہ، اپرہ موہڑہ ،کوٹھہ کلاں",110020903,-,-,,614,608,"1,222",0,0,0
"",,موہڑہ ڈھیری، کوٹھہ کلاں,110020908,-,-,,434,433,867,0,0,0
Total,,,,,,,1048,1041,"2,089",2,2,4
43,"Govt. Boys High School, AOC, Morgah,(combined)(P)","یو سی آفس، محلہ بڑین ،ڈھوک میرا، کوٹھہ کلاں",110020904,-,-,,486,436,922,0,0,0
"ڈھوک میرا، بڑین روڈ ،ایکسائز کالونی، کوٹھہکلاں",110020905,-,-,,276,243,519,0,0,0,,
44,"Govt. Girls Higher Secondary School,Morgah, (combined)(P)","ڈھوک قائم خان، شاد مانکالونی، عباسی آباد",110020906,-,-,,739,665,"1,404",0,0,0
Total,,,,,,,739,665,"1,404",2,1,3
45,"Govt. Boys High School AOC Morgah,(combined)(P)",رابیعہ بنگلور، ڈھوک بڑین,110020907,-,-,,617,567,"1,184",0,0,0
Total,,,,,,,617,567,"1,184",1,1,2
46,"Govt Sec.School ForSpecial EducationHIC GT Road, Swan Camp, Rwp(combined)(P)","ڈی ایچ اے، فیز،1 شارونکالونی، ایس او ایس سکول",110020909,-,-,,860,780,"1,640",0,0,0
"",,"ڈی ایچ اے، فیز،1سواںاڈہ، فوجی فاونڈیشن ہسپتال،",110020910,-,-,,258,246,504,0,0,0
Total,,,,,,,1118,1026,"2,144",2,2,4
47,"Rawal Cadet College Rasool TownGulraiz  (combined)(T)","بوستان کالونی، سٹی ولاز ،ایسٹرج کالونی، چوہدریمحبت کالونی، ہائی کورٹ",110020911,-,-,,463,404,867,0,0,0
Total,,,,,,,463,404,867,1,1,2
48,"Rising Pakistan Montessori School,Gulrez Phase-III High Court Road (The",فیز 4،5،6، گلریز سکیم,110020913,-,-,,754,727,"1,481",0,0,0
Total,,,,,,754,727,"1,481",2,2,4,
49,"Govt. Boys Elementary School, DhokeChoudhrian Near Car Chowk, Rwp(combined)(P)","محلہ ڈھوک چوہدریاں ،اے بلاک کار چوک ،سفاری ولاز، ممتاز کالونی",110020914,-,-,,1395,1149,"2,544",0,0,0
Total,,,,,,,1395,1149,2544,2,2,4
50,"Govt. Boys Elementary School, DhokeChoudhrian Near Car Chowk, Rwp(combined)(P)","محلہ ڈھوک چوہدریاں، بیبلاک",110020915,-,-,,540,490,"1,030",0,0,0
Total,,,,,,,540,490,1030,1,1,2
51,"Ali Trust School, Dhoke Chaudhrian DBlock, Rwp (combined)(T)","محلہ ڈھوک چوہدریاں ،ڈی بلاک سفاری ولاز",110020916,-,-,,1992,1679,"3,671",0,0,0
Total,,,,,,,1992,1679,"3,671",3,3,6
52,"Uc Kotha Kalan TCF School, C BlockDhoke Chaudhrian, Rwp (combined)(T)","محلہ ڈھوک چوہدریاں ،سی بلاک",110020917,-,-,,919,739,"1,658",0,0,0
Total,,,,,,,919,739,1658,2,2,4
53,"Uc Kotha Kalan TCF School, C BlockDhoke Chaudhrian, Rwp (combined)(T)","یوسف کالونی، ای بلاک ،ڈھوک چوہدریاں، کوٹھہکلاں",110020918,-,-,,423,366,789,0,0,0
Total,,,,,,,423,366,789,1,1,2
"بحریہ ٹاؤن فیز  1-",110020919,-,-,,58,40,98,0,0,0,,
"بحریہ ٹاؤن فیز  1-",110020920,-,-,,42,32,74,0,0,0,,
"بحریہ ٹاؤن فیز  2-",110020921,-,-,,34,19,53,0,0,0,,
"بحریہ ٹاؤن فیز  2-",110020958,-,-,,7,15,22,0,0,0,,
"بحریہ ٹاؤن فیز  2-",110020959,-,-,,9,14,23,0,0,0,,
54,"Rising Pakistan Montessori High School,Phase-III Gulrez, Rwp (combined)(T)",بحریہ ٹاؤن فیز  2-,110020922,-,-,,36,31,67,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020961,-,-,,19,23,42,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020962,-,-,,19,9,28,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020923,-,-,,14,13,27,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020963,-,-,,8,2,10,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020964,-,-,,6,0,6,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020924,-,-,,18,9,27,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020965,-,-,,10,6,16,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020966,-,-,,6,9,15,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020967,-,-,,9,7,16,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020925,-,-,,34,26,60,0,0,0
"",,بحریہ ٹاؤن فیز  2-,110020968,-,-,,18,24,42,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020926,-,-,,41,24,65,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020969,-,-,,18,24,42,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020970,-,-,,21,19,40,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020971,-,-,,11,11,22,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020972,-,-,,6,12,18,0,0,0
"",,"بحریہ ٹاؤن سفاری ویلاز  -3",110020973,-,-,,12,16,28,0,0,0
"",,بحریہ ٹاؤن فیز 3-,110020927,-,-,,17,14,31,0,0,0
"",,بحریہ ٹاؤن فیز 3-,110020974,-,-,,6,8,14,0,0,0
"",,بحریہ ٹاؤن فیز 3-,110020975,-,-,,9,4,13,0,0,0
Total,,,,,,,501,413,914,1,1,2
55,"Rawal Cadet College, Rasool TownGulrez, Rwp (combined)(P)","رسول نگر، فیز3،2 گلریزسکیم",110020912,-,-,,1096,970,"2,066",0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020928,-,-,,41,34,75,0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020976,-,-,,18,19,37,0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020929,-,-,,36,35,71,0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020977,-,-,,11,14,25,0,0,0
Total,,,,,,,1202,1072,"2,274",2,2,4
"بحریہ ٹاؤن فیز  3-",110020930,-,-,,41,30,71,0,0,0,,
"بحریہ ٹاؤن فیز  3-",110020931,-,-,,53,58,111,0,0,0,,
"ایگزیکٹیو لاجز بحریہ ٹاؤن",110020932,-,-,,54,59,113,0,0,0,,
"بحریہ ٹاؤن فیز  3-",110020933,-,-,,31,27,58,0,0,0,,
"بحریہ ٹاؤن فیز  3-",110020934,-,-,,60,53,113,0,0,0,,
"بحریہ ٹاؤن فیز  3-",110020935,-,-,,36,34,70,0,0,0,,
"بحریہ ٹاؤن فیز  3-",110020936,-,-,,26,33,59,0,0,0,,
56,"Rawal Cadet College, Rasool TownGulrez, Rwp (combined)(P)",بحریہ ٹاؤن فیز  3-,110020938,-,-,,21,0,21,0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020978,-,-,,0,18,18,0,0,0
"",,بحریہ ٹاؤن فیز  3-,110020939,-,-,,42,39,81,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020940,-,-,,50,58,108,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020941,-,-,,37,37,74,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020942,-,-,,52,43,95,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020943,-,-,,61,68,129,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020944,-,-,,57,59,116,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020945,-,-,,54,46,100,0,0,0
"",,بحریہ ٹاؤن فیز 4-,110020946,-,-,,39,38,77,0,0,0
"",,بحریہ ٹاؤن فیز 5-,110020947,-,-,,17,6,23,0,0,0
"",,بحریہ ٹاؤن فیز 5-,110020948,-,-,,40,36,76,0,0,0
"",,بحریہ ٹاؤن فیز 5-,110020949,-,-,,25,31,56,0,0,0
"",,"ڈھوک مانی نواب بحریہٹاؤن فیز 5-",110020950,-,-,,10,10,20,0,0,0
"",,بحریہ ٹاؤن فیز 5-,110020951,-,-,,65,70,135,0,0,0
"",,بحریہ ٹاؤن فیز 6-,110020952,-,-,,41,36,77,0,0,0
"",,بحریہ ٹاؤن فیز 6-,110020953,-,-,,40,35,75,0,0,0
"",,بحریہ ٹاؤن فیز 6-,110020954,-,-,,10,12,22,0,0,0
Total,,,,,,,1541,1486,"3,027",3,3,6
57,"Govt. Boys Primary School, Gali, Rwp(combined)(P)","بحریہ ٹاؤن فیز 7- سفاریویلاز 2-",110020955,-,-,,40,26,66,0,0,0
"",,بحریہ ٹاؤن فیز 7-,110020956,-,-,,166,138,304,0,0,0
"",,بحریہ ٹاؤن فیز 8-,110020957,-,-,,484,464,948,0,0,0
Total,,,,,,,690,628,"1,318",1,1,2
58,Educator  Chaklala Campus (Male)(T),خیابان تنویر، اسلم ایونیو,110021101,-,-,,250,0,250,0,0,0
"",,جان کالونی,110021102,-,-,,152,0,152,0,0,0
"",,افضل ٹاؤن,110021103,-,-,,33,,33,0,0,0
"",,یوسف کالونی، نیئر کالونی,110021104,-,-,,104,0,104,0,0,0
"",,یوسف کالونی، نیئر کالونی,110021107,-,-,,49,0,49,0,0,0
"",,یوسف کالونی، نیئر کالونی,110021108,-,-,,59,0,59,0,0,0
"",,ایوب کالونی، کیانی سٹریٹ,110021105,-,-,,259,0,259,0,0,0
"",,"الممتاز کالونی، چوہدریپیربخش خان چوک",110021106,-,-,,272,0,272,0,0,0
Total,,,,,,,1178,0,"1,178",2,0,2
"خیابان تنویر، اسلم ایونیو",110021101,-,-,,0,252,252,0,0,0,,
"جان کالونی",110021102,-,-,,0,137,137,0,0,0,,
"افضل ٹاؤن",110021103,-,-,,,20,20,0,0,0,,
59,Educator  Chaklala Campus (Female)(T),یوسف کالونی، نیئر کالونی,110021107,-,-,,0,51,51,0,0,0
"",یوسف کالونی، نیئر کالونی,110021108,-,-,,0,46,46,0,0,0,
"",ایوب کالونی، کیانی سٹریٹ,110021105,-,-,,0,257,257,0,0,0,
"","الممتاز کالونی، چوہدریپیربخش خان چوک",110021106,-,-,,0,232,232,0,0,0,
Total,,,,,,,0,1111,"1,111",0,2,2
60,"Trace World School Shah Faisal Colony(combined)(P)",شاہ فیصل کالونی، چکلالہ,110020337,-,-,,312,298,610,,,0
"",شاہ فیصل کالونی، چکلالہ,110020338,-,-,,293,300,593,,,0,
"",شاہ فیصل کالونی، چکلالہ,110020339,-,-,,212,161,373,,,0,
Total,,,,,,,817,759,1576,2,2,4
61,"Govt Boys Primery School, Chaklala,(Male)(P)",نورانی محلہ,110020354,-,-,,729,0,729,,,0
"",اجمیری محلہ,110020355,-,-,,373,0,373,,,0,
"",اجمیری محلہ,110020356,-,-,,144,0,144,,,0,
"",اجمیری محلہ,110020384,-,-,,59,0,59,,,0,
Total,,,,,,,1305,0,1305,2,0,2
62,"Govt Boys Primery School, Chaklala,(Male)(P)",بغدادی محلہ، چکلالہ,110020358,-,-,,604,0,604,,,0
"",بغدادی محلہ، چکلالہ,110020359,-,-,,275,0,275,,,0,
Total,,,,,,,879,0,879,2,0,2
63,"Al Faisal Public School, Chaklala, Rwp(Female)(T)",نورانی محلہ,110020354,-,-,,0,606,606,,,0
"",اجمیری محلہ,110020355,-,-,,0,279,279,,,0,
"",اجمیری محلہ,110020356,-,-,,0,80,80,,,0,
"",اجمیری محلہ,110020384,-,-,,0,72,72,,,0,
Total,,,,,,,0,1037,1037,0,2,2
64,"Al Faisal Public School, Chaklala, Rwp(Female)(T)",بغدادی محلہ، چکلالہ,110020358,-,-,,0,563,563,,,0
"",بغدادی محلہ، چکلالہ,110020359,-,-,,0,218,218,,,0,
Total,,,,,,,0,781,781,0,2,2
65,"Linkin Hall Public School Near Utility StoreSch. No.1 (combined)(P)",محلہ فاروقیہ، چکلالہ,110020360,-,-,,414,334,748,,,0
"",محلہ فاروقیہ، چکلالہ,110020385,-,-,,104,151,255,,,0,
"",محلہ غوثیہ، محلہ اجمیری,110020357,-,-,,544,466,1010,,,0,
Total,,,,,,,1062,951,2013,2,2,4
"محلہ جیلانی آباد، چکلالہ",110020351,-,-,,54,53,107,,,0,,
"محلہ جیلانی آباد، چکلالہ",110020381,-,-,,49,47,96,,,0,,
"محلہ جیلانی آباد، چکلالہ",110020382,-,-,,24,15,39,,,0,,
"محلہ جیلانی آباد، چکلالہ",110020383,-,-,,13,12,25,,,0,,
"کیانی مارکیٹ، چکلالہ",110020361,-,-,,46,44,90,,,0,,
"کیانی مارکیٹ، چکلالہ",110020386,-,-,,43,35,78,,,0,,
"چکلالہ ریلوے سکیم",110020362,-,-,,120,116,236,,,0,,
"چکلالہ ریلوے سکیم",110020387,-,-,,99,75,174,,,0,,
"",,چکلالہ ریلوے سکیم,110020389,-,-,,102,91,193,,,0
Total,,,,,,,654,557,1211,1,1,2
67,"House of Education Dhok Hafiz, Chaklala(Male)(T)","،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020346,-,-,,286,0,286,,,0
"",,"،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020347,-,-,,240,0,240,,,0
"",,"،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020380,-,-,,215,0,215,,,0
"",,"ڈھوک راجہ محمد خان، شاہ خالدکالونی، چکلالہ",110020348,-,-,,376,0,376,,,0
Total,,,,,,,1117,0,1117,2,0,2
