"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
Total,,,,,,,638,532,"1,170",1,1,2
36,"Govt Boys Primary School, Numb Romal.",نمب رومال,118010212,-,-,,636,453,"1,089",0,0,0
Total,,,,,,,636,453,"1,089",1,1,2
37,"Govt  Primary School,Geathal.",نمب رومال,118010213,-,-,,447,340,787,0,0,0
Total,,,,,,,447,340,787,1,1,2
38,"Govt Boys Primary School, Sehana.",سہنہ,118010311,-,-,,719,618,"1,337",0,0,0
Total,,,,,,,719,618,"1,337",2,1,3
39,"Govt Boys Primary School, Sehana.",سہنہ,118010312,-,-,,364,291,655,0,0,0
Total,,,,,,,364,291,655,1,1,2
"علیوٹ",118010301,-,-,,514,446,960,0,0,0,,
Total,,,,,,,950,839,"1,789",2,2,4
41,Govt Girls Primary School Aliot.,علیوٹ,118010303,-,-,,456,350,806,0,0,0
Total,,,,,,,456,350,806,1,1,2
42,Union  Council Office Aliot.,علیوٹ,118010304,-,-,,382,291,673,0,0,0
Total,,,,,,,382,291,673,1,1,2
43,Union  Council Office Aliot.,علیوٹ,118010305,-,-,,660,655,"1,315",0,0,0
Total,,,,,,,660,655,"1,315",1,1,2
44,G.Girls Primary School Sui Potha Sharif.,پوٹھہ,118010306,-,-,,618,525,"1,143",0,0,0
"",,پوٹھہ,118010307,-,-,,468,390,858,0,0,0
Total,,,,,,,"1,086",915,"2,001",2,2,4
45,Govt Boys High School Potha Sharif.,پوٹھہ,118010308,-,-,,501,362,863,0,0,0
"",,پوٹھہ,118010309,-,-,,587,444,"1,031",0,0,0
Total,,,,,,,"1,088",806,"1,894",2,2,4
46,Govt Boys High School Potha Sharif.,پوٹھہ,118010310,-,-,,419,380,799,0,0,0
"",,رکھ کہوٹی,118010313,-,-,,0,0,0,0,0,0
"",,رکھ پوٹھہ,118010314,-,-,,0,0,0,0,0,0
Total,,,,,,,419,380,799,1,1,2
47,Govt Boys Middle School Ghel.,گہل,118020201,-,-,,532,415,947,0,0,0
"",,گہل,118020202,-,-,,287,257,544,0,0,0
Total,,,,,,,819,672,"1,491",2,1,3
48,Govt Boys Middle School Ghel.,گہل,118020203,-,-,,999,835,"1,834",0,0,0
Total,,,,,,,999,835,"1,834",2,2,4
49,Govt Boys Middle School Ghel.,گہل,118020204,-,-,,413,392,805,0,0,0
Total,,,,,,,413,392,805,1,1,2
50,Govt Pri.School Mahwala.,دیگل,118020109,-,-,,121,80,201,0,0,0
"",,گہل,118020205,-,-,,378,314,692,0,0,0
Total,,,,,,,499,394,893,1,1,2
51,Govt Primary School Mahwala.,ڈھانڈی,118020206,-,-,,437,364,801,0,0,0
"",,ڈھانڈی,118020207,-,-,,61,53,114,0,0,0
"",,ماہولہ,118020208,-,-,,288,250,538,0,0,0
Total,,,,,,,786,667,"1,453",2,1,3
52,Govt Boys High School Kakrahi.,کاکڑائی,118020103,-,-,,279,210,489,0,0,0
"",,کاکڑائی,118020104,-,-,,572,434,"1,006",0,0,0
"",,بڈھار,118020108,-,-,,207,166,373,0,0,0
Total,,,,,,,"1,058",810,"1,868",2,2,4
53,Govt Boys Primary School Bhanatti.,بھنتی,118020105,-,-,,492,382,874,0,0,0
"",,بھنتی,118020106,-,-,,166,116,282,0,0,0
"",,بھنتی,118020107,-,-,,272,229,501,0,0,0
Total,,,,,,,930,727,"1,657",2,2,4
"کہوٹی",118020101,-,-,,269,193,462,0,0,0,,
Total,,,,,,,564,455,"1,019",1,1,2
55,Govt Boys Primary School Kaiya.,کائیاہ,118010506,-,-,,186,139,325,0,0,0
"",,کائیاہ,118010507,-,-,,473,497,970,0,0,0
Total,,,,,,,659,636,"1,295",1,1,2
56,Govt Girls Primary School Kaiya.,کائیاہ,118010508,-,-,,481,458,939,0,0,0
Total,,,,,,,481,458,939,1,1,2
57,Govt Boys Primary School Talot,اوچھا,118010503,-,-,,693,604,"1,297",0,0,0
"",,اوچھا,118010504,-,-,,272,236,508,0,0,0
"",,رکھ اوچھا,118010510,-,-,,0,0,0,0,0,0
Total,,,,,,,965,840,"1,805",2,2,4
58,"Govt. Boys Primary School, Talot",اوچھا,118010505,-,-,,269,229,498,0,0,0
Total,,,,,,,269,229,498,1,1,2
59,Govt Boys High School Rawat.,روات,118010501,-,-,,565,448,"1,013",0,0,0
"",,رکھ الف بھوربن,118010509,-,-,,0,0,0,0,0,0
Total,,,,,,,565,448,"1,013",1,1,2
60,Govt Boys High School Rawat.,روات,118010502,-,-,,"1,169",1079,"2,248",0,0,0
Total,,,,,,,"1,169",1079,"2,248",2,2,4
61,"Govt Boys High School KashmiriBazar.(Male)",موہڑہ عیسوال,118010601,-,-,,474,0,474,0,0,0
"",,موہڑہ عیسوال,118010602,-,-,,597,0,597,0,0,0
Total,,,,,,,"1,071",0,"1,071",2,0,2
62,"Govt Boys High School Kashmiri Bazar.(Female)",موہڑہ عیسوال,118010601,-,-,,0,352,352,0,0,0
"",,موہڑہ عیسوال,118010602,-,-,,0,529,529,0,0,0
Total,,,,,,,0,881,881,0,2,2
63,"Govt Boys Elementry School MalotDhandon.",موہڑہ ڈھونڈاں,118010603,-,-,,479,479,958,0,0,0
"",,موہڑہ ڈھونڈاں,118010604,-,-,,26,23,49,0,0,0
Total,,,,,,,505,502,"1,007",1,1,2
64,Govt Boys Primary School Bandi.,بانڈی,118010605,-,-,,373,345,718,0,0,0
Total,,,,,,,373,345,718,1,1,2
65,Govt Girls Primary School Hadote.,سہربگلہ,118010403,-,-,,352,321,673,0,0,0
"",,سہربگلہ,118010404,-,-,,587,492,"1,079",0,0,0
Total,,,,,,,939,813,"1,752",2,2,4
66,Govt Riaz M.H.School Sehr Bagla.,سہربگلہ,118010401,-,-,,361,268,629,0,0,0
"",,سہربگلہ,118010402,-,-,,392,330,722,0,0,0
Total,,,,,,,753,598,"1,351",2,1,3
67,Govt Boys Primary School Beer Gran.,بیر گراں,118010405,-,-,,177,164,341,0,0,0
