1,2,3,,4,5,6,,7,,8,9,,10,,11,
"",,,,1154,0,1154,,,
42,"Govt Girls Elementary School,",Abbasia Town,239090704,0,86,86,0,2,2
"","Bindra, Bahawalpur (Female) 109",Usman Town,239090801,0,19,19,,,
"",,Ashgar Colony,239090802,0,158,158,,,
"",,"Ashar Colony,",239090803,0,93,93,,,
"",,Usman Town,,,,,,,
"",,Abbasia Town,239090804,0,128,128,,,
"",,Abbasia Town,239090805,0,56,56,,,
"",,"Alam Colony,",239090806,0,221,221,,,
"",,Small Industries,,,,,,,
"",,"Alam Colony,",239090807,0,94,94,,,
"",,Small Industries,,,,,,,
"",,,,0,855,855,,,
43,"Govt Girls Elementary School,","Saadat, Bindra",239090501,0,621,621,0,2,2
"","Bindra, Bahawalpur (Female) 109",Saadat,239090504,0,97,97,,,
"",,Abbasia Town,239090701,0,95,95,,,
"",,Abbasia Town,239090702,0,161,161,,,
"",,,,0,974,974,,,
44,"Office Unior Council No.10, Nazir","Saadat, Bindra",239090501,758,0,758,2,0,2
"","Abad Colony, Bahawalpur (Male).",Saadat,239090504,121,0,121,,,
"",108,,,,,,,,
"",,Abbasia Town,239090701,114,0,114,,,
"",,Abbasia Town,239090702,181,0,181,,,
"",,,,1174,0,1174,,,
45,"Govt Moudab Primary School,",Ghareeb Abad,239080606,384,0,384,3,0,3
"","Basti Bindra, Bahawalpur (Male)",Ghareeb Abad,239080611,336,0,336,,,
"",110,,,,,,,,
"",,Basti Bindra,239090601,150,0,150,,,
"",,Basti Bindra,239090602,891,0,891,,,
"",,,,1761,0,1761,,,
46,"Govt Girls Elementary School,",Ghareeb Abad,239080606,0,270,270,0,3,3
"","Bindra, Bahawalpur (Female) 109",Ghareeb Abad,239080611,0,229,229,,,
"",,Basti Bindra,239090601,0,123,123,,,
"",,Basti Bindra,239090602,0,728,728,,,
"",,,,0,1350,1350,,,
47,"Govt Girls Elementary School,",Al-Shams,239080601,0,104,104,0,2,2
"","Bindra, Bahawalpur (Female)  109","Colony, Farooq",,,,,,,
"",,Abad,,,,,,,
"",,Al-Shams,239080602,0,444,444,,,
"",,"Colony, Sabir",,,,,,,
"",,Colony,,,,,,,
"",,Sabir Colony,239080603,0,129,129,,,
"",,,,0,677,677,,,
48,"Govt Moudab Primary School,",Al-Shams,239080601,132,0,132,2,0,2
"","Basti Bindra, Bahawalpur (Male)","Colony, Farooq",,,,,,,
"",110,Abad,,,,,,,
"",,Al-Shams,239080602,547,0,547,,,
"",,"Colony, Sabir",,,,,,,
"",,Colony,,,,,,,
"",,Sabir Colony,239080603,182,0,182,,,
"",,,,861,0,861,,,
49,"Govt Moudab Primary School,","Nadeem Abad,",239080103,138,0,138,1,0,1
