Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
Total,,,,936,0,936,2,0,2,,,
303,"Govt. Boys H/S ChakNo. 181/RB Keri Bheit(Female)",Chak No. 181/RB Keri Bhet,203010707,,,,0,396,396,0,2,2
"",,Chak No. 181/RB Keri Bhet,203010708,,,,0,433,433,,,
"",,Chak No. 181/RB Keri Bhet,203010709,,,,0,56,56,,,
Total,,,,0,885,885,0,2,2,,,
304,"Govt. Girls M/S ChakNo. 183/RB (Male)",Chak No. 183/RB,203010710,,,,359,0,359,2,0,2
"",,,203010711,,,,416,0,416,,,
"",,,203010712,,,,274,0,274,,,
Total,,,,1049,0,1049,2,0,2,,,
305,"Govt. Girls M/S ChakNo. 183/RB (Female)",Chak No. 183/RB,203010710,,,,0,291,291,0,2,2
"",,,203010711,,,,0,320,320,,,
"",,,203010712,,,,0,180,180,,,
Total,,,,0,791,791,0,2,2,,,
306,"Govt. Boys HighSchool Abu-ul-Khair(Male)",,,Atthad Colony.,203020101,,367,0,367,3,0,3
"",,,,Atthad Colony.,203020102,,228,0,228,,,
"",,,,Raja Colony.,203030101,,337,0,337,,,
"",,,,Wapda Cololny,203030104,,101,0,101,,,
"",,,,Bismalla Ghulshan Colony.,203030103,,282,0,282,,,
Total,,,,1315,0,1315,3,0,3,,,
307,"Govt. Boys HighSchool Abu-ul-Khair(Female)",,,Atthad Colony.,203020101,,0,307,307,0,2,2
"",,,,Atthad Colony.,203020102,,0,191,191,,,
"",,,,Raja Colony.,203030101,,0,295,295,,,
"",,,,Wapda Cololny,203030104,,0,63,63,,,
"",,,,Bismalla Ghulshan Colony.,203030103,,0,178,178,,,
Total,,,,0,1034,1034,0,2,2,,,
308,"Govt. Boys E SchoolNew College roadShah Kot  (Male)",,,Ghusa Sadgar Colony.,203020103,,545,0,545,4,0,4
"",,,,Mohallah Ghusia.,203020104,,311,0,311,,,
"",,,,Mohallah Ghusia.,203020105,,559,0,559,,,
"",,,,Abadi Arrian.,203020301,,244,0,244,,,
Total,,,,1659,0,1659,4,0,4,,,
309,"Govt. Boys E/M/HSchool New Collegeroad Shah Kot(Female)",,,Ghusa Sadgar Colony.,203020103,,0,489,489,0,3,3
"",,Mohallah Ghusia.,203020104,,0,277,277,,,,,
"",,Mohallah Ghusia.,203020105,,0,454,454,,,,,
"",,Abadi Arrian.,203020301,,0,210,210,,,,,
310,"Govt. Boys HighSchool No.-1 ShahKot   (Male)",,,Iftekhar Colony.,203020201,,260,0,260,2,0,2
"",,,,Iftekhar Colony.,203020202,,545,0,545,,,
"",,,,Iftekhar Colony.,203020203,,376,0,376,,,
Total,,,,1181,0,1181,2,0,2,,,
311,"Govt. Boys HighSchool No.-1 ShahKot   (Female)",,,Iftekhar Colony.,203020201,,0,191,191,0,2,2
"",,,,Iftekhar Colony.,203020202,,0,438,438,,,
"",,,,Iftekhar Colony.,203020203,,0,251,251,,,
Total,,,,0,880,880,0,2,2,,,
312,"Govt. Boys HighSchool No.-1 Shah",,,Purana Ward No. 2,203020302,,500,0,500,3,0,3
"",,,,Purana Ward No. 1,203020303,,721,0,721,,,
Total,,,,1221,0,1221,3,0,3,,,
313,"Govt. Boys HighSchool No.-1 Shah",,,Purana Ward No. 2,203020302,,0,410,410,0,2,2
"",,,,Purana Ward No. 1,203020303,,0,615,615,,,
Total,,,,0,1025,1025,0,2,2,,,
314,"Govt. Boys HighSchool No.-1 Shah",,,Purana Ward No. 4,203020304,,463,0,463,3,0,3
"",,,,Purana Ward No. 3,203020305,,576,0,576,,,
Total,,,,1039,0,1039,3,0,3,,,
315,"Govt. Boys HighSchool No.-1 Shah",,,Purana Ward No. 4,203020304,,0,388,388,0,2,2
"",,,,Purana Ward No. 3,203020305,,0,468,468,,,
Total,,,,0,856,856,0,2,2,,,
316,"Govt. G/E/S No.2 nearAgri Office Shah Kot.(Male)",,,Alam Chowk.,203030301,,344,0,344,3,0,3
"",,,,Sheikh Aslam Gali.,203030302,,376,0,376,,,
"",,,,Dera Sheikh Mehmood.,203030303,,437,0,437,,,
Total,,,,1157,0,1157,3,0,3,,,
317,"Govt. Boys P/S No.4Shah Kot. (Female)",,,Alam Chowk.,203030301,,0,276,276,0,2,2
"",,,,Sheikh Aslam Gali.,203030302,,0,310,310,,,
"",,,,Dera Sheikh Mehmood.,203030303,,0,344,344,,,
Total,,,,0,930,930,0,2,2,,,
318,"Govt. G/E/S No.2 nearAgri Office Shah Kot.",,,Sangla Bazar.,203030304,,407,339,746,2,2,4
"",,,,Hakim Khrait Ali.,203030306,,327,261,588,,,
Total,,,,734,600,1334,2,2,4,,,
319,"Govt. Boys P/S No. 4(Mohallah Bilal Pura)",,,Bilal Pura.,203020401,,494,415,909,2,2,4
"",,,,Bilal Pura.,203020402,,186,156,342,,,
"",,,,Sayed Hassan Jalil Gali.,203030305,,176,126,302,,,
Total,,,,856,697,1553,2,2,4,,,
320,"Govt. G/M/S ChakNo.88 RB (Male)",,,Madina Colony.,203030501,,857,0,857,4,0,4
"",,,,Jaranwala Road.,203030504,,359,0,359,,,
"",,,,,203030507,,446,0,446,,,
Total,,,,1662,0,1662,4,0,4,,,
321,"Govt. G/M/S ChakNo.88 RB (Female)",,,Madina Colony.,203030501,,0,619,619,0,3,3
"",,Jaranwala Road.,203030504,,0,291,291,,,,,
"",,,203030507,,0,353,353,,,,,
322,"Govt. G/M/S ChakNo.88 RB (Male)",,,Momon Pura.,203020505,,183,0,183,3,0,3
"",,,,,203020506,,301,0,301,,,
"",,,,Purana Ward No. 5,203020403,,376,0,376,,,
"",,,,Ghulshan Colony.,203020404,,446,0,446,,,
Total,,,,1306,0,1306,3,0,3,,,
323,"Govt. G/M/S ChakNo.88 RB (Female)",,,Momon Pura.,203020505,,0,152,152,0,2,2
"",,,,,203020506,,0,144,144,,,
"",,,,Purana Ward No. 5,203020403,,0,324,324,,,
"",,,,Ghulshan Colony.,203020404,,0,395,395,,,
Total,,,,0,1015,1015,0,2,2,,,
324,"Govt. Girls P/S AbadiDoltan Shah Kot(Male)",,,Mohalah Islamabad.,203030201,,277,0,277,3,0,3
"",,,,Mohalah Islamabad.,203030202,,209,0,209,,,
"",,,,Abadi doltan.,203030203,,313,0,313,,,
"",,,,Abadi doltan.,203030204,,331,0,331,,,
Total,,,,1130,0,1130,3,0,3,,,
325,"Govt. Girls P/S AbadiDoltan Shah Kot(Female)",,,Mohalah Islamabad.,203030201,,0,259,259,0,2,2
"",,,,Mohalah Islamabad.,203030202,,0,180,180,,,
"",,,,Abadi doltan.,203030203,,0,229,229,,,
"",,,,Abadi doltan.,203030204,,0,257,257,,,
Total,,,,0,925,925,0,2,2,,,
326,"Govt. Girls P/S AbadiDoltan Shah Kot",,,Abadi doltan.,203030205,,536,447,983,4,0,4
"",,,,Abadi doltan.,203030206,,486,400,886,,,
Total,,,,1022,847,1869,4,0,4,,,
327,"Govt. Boys P/S No.2Shah Kot (Male)",,,Purani Chungi,203030401,,335,0,335,3,0,3
"",,,,Abadi darbar wali,203030402,,377,0,377,,,
"",,,,Mohalah Darbar,203030403,,544,0,544,,,
Total,,,,1256,0,1256,3,0,3,,,
328,"Govt. Boys P/S No.2Shah Kot (Female)",,,Purani Chungi,203030401,,0,281,281,0,2,2
"",,,,Abadi darbar wali,203030402,,0,333,333,,,
"",,,,Mohalah Darbar,203030403,,0,532,532,,,
Total,,,,0,1146,1146,0,2,2,,,
329,"Govt. Boys P/S No.2Shah Kot",,,Hussaini Bhag.,203030307,,415,215,630,,,
"",,,,,203030308,,171,438,609,,,
"",,,,,203030309,,298,13,311,,,
Total,,,,884,666,1550,0,0,0,,,
330,"Govt. B/P/S Tara kotShah Kot (Male)",,,Shadman Colony.,203030404,,201,0,201,3,0,3
"",,,203030405,,361,0,361,,,,,
"",,Mohallah Tibi.,203030502,,124,0,124,,,,,
"",,,203030505,,162,0,162,,,,,
"",,,203030506,,386,0,386,,,,,
331,"Govt. B/P/S Tara kotShah Kot (Female)",,,Shadman Colony.,203030404,,0,132,132,0,2,2
"",,,203030405,,0,307,307,,,,,
"",,Mohallah Tibi.,203030502,,0,219,219,,,,,
"",,,203030505,,0,42,42,,,,,
"",,,203030506,,0,261,261,,,,,
""
""
""
""
""
332,"Govt. B/P/S Tara kotShah Kot",,,Dera Mian Father.,203030503,,496,438,934,1,1,2
Total,,,,496,438,934,1,1,2,,,
333,"Govt. Girls HigherSecondary SchoolShah Kot. (Male)",,,Abadi Sialkotian.,203020501,,364,0,364,3,0,3
"",,,,Abadi Arrian.,203020502,,286,0,286,,,
"",,,,Faiz Colony.,203020503,,275,0,275,,,
"",,,,Faiz Colony.,203020504,,315,0,315,,,
Total,,,,1240,0,1240,3,0,3,,,
334,"Govt. Girls HigherSecondary SchoolShah Kot. (Female)",,,Abadi Sialkotian.,203020501,,0,340,340,0,3,3
"",,Abadi Arrian.,203020502,,0,242,242,,,,,
"",,Faiz Colony.,203020503,,0,227,227,,,,,
"",,Faiz Colony.,203020504,,0,293,293,,,,,
Total,,,,0,1102,1102,0,3,3,,,
