"",1,2,3,4,5,6,7,8,9,10,11,12,13,
"",,,MAL SIPRA,255020113,-,-,,462,358,820,,,,
"",,,,,-,-,,994,778,1772,,,,
93,47,Government Modal Primary School Berhmanawala,ABBAS NAGAR,255020202,-,-,,522,375,897,2,2,4,Combined
"",,,THTHI ALAM SHAH,255020204,-,-,,285,196,481,,,,
"",,,THATTI  KHUDA YAR,255010705,-,-,,193,146,339,,,,
"",,,,,-,-,,1000,717,1717,,,,
93,48,Government Model Primary School Hussainabad,DHUHAMI,255020201,-,-,,343,264,607,2,2,4,Combined
"",,,WAD SYEDIAN,255020203,-,-,,501,400,901,,,,
"",,,,,-,-,,844,664,1508,,,,
93,49,Government Elementary School Thata Chandu Klan,THATTA CHANDOO KALAN,255020302,-,-,,676,503,1179,2,1,3,Combined
"",,,THATTA CHANDOO KHURD,255020303,-,-,,103,94,197,,,,
"",,,,,-,-,,779,597,1376,,,,
93,50,Government Model Primary School Yakoo Wala,BODHRAN WALA,255020301,-,-,,178,135,313,2,1,3,Combined
"",,,JAKOO WALA,255020304,-,-,,179,131,310,,,,
"",,,JAGOKAY,255020305,-,-,,402,309,711,,,,
"",,,,,-,-,,759,575,1334,,,,
93,51,Government Model Primary School Bakhshwala,BAKHSH WALA,255020401,-,-,,415,286,701,1,1,2,Combined
"",,,DHAN HARLAN,255020403,-,-,,130,85,215,,,,
"",,,,,-,-,,545,371,916,,,,
93,52,Government High School Hast Khiwa,BANWRE,255020402,-,-,,205,0,205,2,0,2,Male
"",,,CHANI KHIZAR,255020404,-,-,,50,0,50,,,,
"",,,HUST KHEWA,255020405,-,-,,109,0,109,,,,
"",,,HUST KHEWA,255020406,-,-,,795,0,795,,,,
"",,,,,-,-,,1159,0,1159,,,,
93,53,Government Girls Primary School Hast Khiwa,BANWRE,255020402,-,-,,0,136,136,0,2,2,Female
"",,,CHANI KHIZAR,255020404,-,-,,0,15,15,,,,
"",,,HUST KHEWA,255020405,-,-,,0,55,55,,,,
"",,,HUST KHEWA,255020406,-,-,,0,596,596,,,,
"",,,,,-,-,,0,802,802,,,,
93,54,Government Boy Primary School Iccharwal,ICCHER WAL,255020501,-,-,,444,372,816,2,2,4,Combined
JAND HASSAN QATAL,255020502,-,-,,295,260,555,,,,,,,
"",,-,-,,739,632,1371,,,,,,,
CHAK SARKAR Bahiwal,255020503,-,-,,134,0,134,,,,,,,
"",55,Government Elementary School Bahiwal,BAHIWAL,255020901,-,-,,741,0,741,3,0,3,Male
"",,,BAHIWAL,255020902,-,-,,333,0,333,,,,
"",,,,,-,-,,1345,0,1345,,,,
93,56,Government Girls Primary School Bahiwal,CHAK SARKAR Bahiwal,255020503,-,-,,0,95,95,0,2,2,Female
"",,,KRIM PUR,255020504,-,-,,0,91,91,,,,
"",,,BAHIWAL,255020901,-,-,,0,576,576,,,,
"",,,BAHIWAL,255020902,-,-,,0,226,226,,,,
"",,,,,-,-,,0,988,988,,,,
93,57,Government  Primary School Glotranwala,GLOTHRAN WALA,255020601,-,-,,422,329,751,1,1,2,Combined
"",,,BURJ ALI,255020602,-,-,,16,15,31,,,,
"",,,,,-,-,,438,344,782,,,,
93,58,Government Boys Primary School Jodh,BURALI,255020603,-,-,,96,81,177,2,2,4,Combined
"",,,JODH,255020604,-,-,,501,421,922,,,,
"",,,JODH,255020605,-,-,,180,140,320,,,,
"",,,,,-,-,,777,642,1419,,,,
93,59,Government Boys Primary School Kot Qazi,KOT QAZI,255020606,-,-,,564,493,1057,2,1,3,Combined
"",,,KOT QAZI,255020607,-,-,,118,90,208,,,,
"",,,,,-,-,,682,583,1265,,,,
93,60,Government Boys Primary School Kot Rehmun,KOT RAHMUN,255020608,-,-,,305,255,560,1,1,2,Combined
"",,,,,-,-,,305,255,560,,,,
93,61,Government Model School Hamboana,HAMBOO ANA,255020701,-,-,,428,335,763,2,1,3,Combined
"",,,HAMBOO ANA,255020702,-,-,,117,84,201,,,,
"",,,GADHLAN WALI,255020708,-,-,,106,76,182,,,,
"",,,,,-,-,,651,495,1146,,,,
93,62,Government Girls Primary School Kot Aliana,BURJ MALAKA,255020703,-,-,,41,27,68,1,1,2,Combined
"",,,CHANI CHUHAR,255020704,-,-,,77,56,133,,,,
"",,,KOT ALYANA,255020705,-,-,,96,61,157,,,,
"",,,SARDAREY WALA,255020706,-,-,,35,36,71,,,,
"",,,CHANI KHEWA,255020707,-,-,,134,122,256,,,,
"",,,,,-,-,,383,302,685,,,,
93,63,Government Model Primary School Pilowal Siddiqa,PILLOW SIDDIQUA,255020801,-,-,,420,336,756,1,1,2,Combined
"",,,PILLOW SIDDIQUA,255020802,-,-,,41,26,67,,,,
"",,,,,-,-,,461,362,823,,,,
93,64,Government Girls Primary School Chak Bahadur  Kot  Ismaeel,CHAK BAHADAR,255020803,-,-,,309,234,543,2,2,4,Combined
"",,,CHAK BAHADAR,255020804,-,-,,504,401,905,,,,
"",,,,,-,-,,813,635,1448,,,,
93,65,Government Model Primary School Khokhran Wala,KHOKHRAN WALA,255020805,-,-,,441,363,804,1,1,2,Combined
"",,,,,-,-,,441,363,804,,,,
