"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
"",,,,,553,376,929,,,
131,"Government Boys High SchoolDhanser Pain (Combined)",DHENSAR PAIN,167020403,,369,298,667,2,2,4
DHENSAR PAIN,167020404,,459,324,783,,,,,
DHENSAR PAIN,167020405,,196,136,332,,,,,
"",,,1024,758,1782,,,,,
1,2,3,4,5,6,7,8,9,10,11
132,"Government Boys Primary SchoolDhainsar Bala (Combined)",DENSAR BALA,167020406,,739,557,1296,1,1,2
"",,,,,739,557,1296,,,
133,"Government Boys Primary SchoolGilgatti (Combined)",Gilgitti,167020501,,663,487,1150,1,1,2
"",,,,,663,487,1150,,,
134,"Government Boys ElementrySchool Madhrianwala (Combined)",Madhrian wala,167020502,,760,675,1435,1,1,2
"",,,,,760,675,1435,,,
135,"Government Elementry SchoolKotli Maharan (Combined)","KOTLIMAHARAN",167020503,,407,321,728,2,1,3
"",,"KOTLIMAHARAN",167020504,,449,350,799,,,
"",,,,,856,671,1527,,,
136,"Government Boys High SchoolSukhana Bajwa (Combined)",Sukhana Bajwa,167020601,,834,660,1494,2,2,4
"",,Sattu,167020602,,102,69,171,,,
"",,Inayat Pur,167020603,,71,44,115,,,
"",,,,,1007,773,1780,,,
137,"Govt Girls Elementry SchoolNadha (Combined)",Nadha,167020701,,915,718,1633,2,2,4
"",,Kotli Bary Khan,167020702,,195,120,315,,,
"",,,,,1110,838,1948,,,
138,"Government Boys Primary SchoolRangla (Combined)",Kotli Aima,167020703,,121,92,213,1,1,2
"",,Rangla,167020704,,310,236,546,,,
"",,Tong Bucha,167020705,,336,202,538,,,
"",,,,,767,530,1297,,,
139,"Government Boys Primary SchoolQahar Wali (Combined)",Qaher Wali,167020801,,343,284,627,2,2,4
"",,Qaher Wali,167020802,,607,516,1123,,,
"",,,,,950,800,1750,,,
140,"Government Girls ElementrySchool Thapnala",Thapnala,167020803,,694,540,1234,1,1,2
"",,,,,694,540,1234,,,
141,"Government Girls Primary SchoolMohan Pur (Combined)",Mohan Pur,167020901,,1028,718,1746,1,1,2
"",,,,,1028,718,1746,,,
142,"Government Boys ElementrySchool Haidrabad (Thatha GulabSingh) (Combined)","Haider Abad(Thatha GhulabSingh)",167020902,,575,366,941,1,1,2
"",,,,,575,366,941,,,
143,"Government Boys Primary SchoolBhoopar (Combined)",Bhoopar,167021001,,631,465,1096,1,1,2
"",,,,,631,465,1096,,,
144,"Government Boys ElementrySchool Chak Ramdas (Combined)","Chak RamdasNau",167021002,,556,450,1006,1,1,2
"",,,,,556,450,1006,,,
145,"Government Model Primary SchoolBaqa Pur (Combined)",Baqa Pur,167021003,,453,284,737,1,1,2
"",,,,,453,284,737,,,
146,"Government Model Primary SchoolUppal Sansi (Combined)",Uppal Sansi,167021101,,422,284,706,1,1,2
Uppal Muslim,167021103,,206,128,334,,,,,
"",,,628,412,1040,,,,,
1,2,3,4,5,6,7,8,9,10,11
147,"Government Boys Primary SchoolShatay Viran   (Combined)",Shehtey Viran,167021104,,266,197,463,1,1,2
"",,Kotli Pakki,167021105,,233,144,377,,,
"",,,,,499,341,840,,,
148,"Government Boys High SchoolHameed Pur Kalan","Hameed PurKalan",167021102,,752,533,1285,2,1,3
"",,Kot Kirpa Ram,167021106,,399,198,597,,,
"",,,,,1151,731,1882,,,
149,"Government Boys ElementrySchool School Uggo Bhindar(Combined)",Uggo Bhindar,167021201,,434,349,783,2,2,4
"",,Uggo Bhindar,167021202,,273,214,487,,,
"",,Uggo Bhindar,167021203,,278,244,522,,,
"",,,,,985,807,1792,,,
150,"Government Boys Primary SchoolBallo Wali (Combined)",Boulo Wali,167021204,,498,354,852,1,1,2
"",,Dhang Wali,167021208,,177,122,299,,,
"",,,,,675,476,1151,,,
151,"Government Boys Primary SchoolRaja Wala (Combined)",Bheelo Wali,167021205,,173,96,269,2,1,3
"",,Dhapai,167021206,,70,52,122,,,
"",,RAJE WALA,167021207,,538,400,938,,,
"",,RAJE WALA,167021209,,159,124,283,,,
"",,,,,940,672,1612,,,
152,"Government Boys Primary SchoolSundarana (Combined)",Sundrana,167030101,,340,221,561,1,1,2
"",,Dhodke,167030102,,185,142,327,,,
"",,Raheem Pur,167030103,,194,129,323,,,
"",,DHERAM KOT,167030106,,117,96,213,,,
"",,,,,836,588,1424,,,
153,"Government Boys Primary SchoolKhotray (Combined)",KHOTRA,167030104,,365,295,660,2,2,4
"",,KHOTRA,167030105,,620,430,1050,,,
"",,,,,985,725,1710,,,
154,"Government Elementry SchoolNatt (Combined)",Natt,167030201,,357,316,673,1,1,2
"",,Ludhar Kalar,167030202,,310,239,549,,,
"",,,,,667,555,1222,,,
155,"Government Elementry SchoolSaib (Combined)",Saib,167030203,,570,456,1026,1,1,2
"",,,,,570,456,1026,,,
156,"Government Boys Primary SchoolGorala (Combined)",Gorala,167030301,,764,611,1375,1,1,2
"",,,,,764,611,1375,,,
157,"Government Boys High SchoolDandian (Male)",DANDIAN,167030302,,359,0,359,3,0,3
DANDIAN,167030303,,544,0,544,,,,,
DANDIAN,167030304,,376,0,376,,,,,
SABOKE,167030305,,242,0,242,,,,,
"",,,1521,0,1521,,,,,
DANDIAN,167030302,,0,257,257,,,,,
DANDIAN,167030303,,0,488,488,,,,,
DANDIAN,167030304,,0,344,344,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,1266,1266,,,
159,"Government Boys Primary SchoolChak Alao Din (Combined)",Tong Uncha,167030401,,258,153,411,1,1,2
"",,Chak Alao Din,167030404,,434,310,744,,,
"",,,,,692,463,1155,,,
160,"Government Boys Primary SchoolDharang (Combined)","Thatha DarsaSingh",167030402,,214,150,364,2,2,4
"",,Kotli Gojran,167030403,,126,63,189,,,
"",,Dharang,167030405,,617,493,1110,,,
"",,,,,957,706,1663,,,
161,"Government Boys Primary SchoolThatha Rao (Combined)",Booty Wali,167030501,,179,140,319,2,2,4
"",,Baqa Pur,167030502,,43,28,71,,,
"",,Chanawan,167030503,,283,217,500,,,
"",,Kala,167030504,,121,91,212,,,
"",,Boley,167030507,,132,94,226,,,
"",,Thatha Rao,167030508,,307,231,538,,,
"",,,,,1065,801,1866,,,
162,"Government Boys High School KaliSuba (Combined)",Kali Suba,167030505,,535,482,1017,2,2,4
"",,Kali Suba,167030506,,675,566,1241,,,
"",,,,,1210,1048,2258,,,
163,"Government Boys Primary SchoolKotli Maqbra (Combined)",Dougal,167030601,,193,133,326,1,1,2
"",,Kotli Maqbra,167030603,,235,183,418,,,
"",,Shadi Mata,167030604,,137,101,238,,,
"",,,,,565,417,982,,,
164,"Government Boys ElementrySchool Gulloke (Combined)",GULLO KE,167030602,,394,291,685,1,1,2
"",,GULLO KE,167030605,,353,229,582,,,
"",,,,,747,520,1267,,,
165,"Government Mode Primary SchoolGorali (Combined)",Jabboke,167030701,,371,245,616,1,1,2
"",,Gorali,167030704,,374,279,653,,,
"",,,,,745,524,1269,,,
166,"Government Boys ElementrySchool Mangat Kallar (Combined)","MANGATKALAR",167030702,,621,464,1085,2,2,4
"",,"MANGATKALAR",167030703,,118,158,276,,,
"",,"MANGATKALAR",167030705,,246,126,372,,,
"",,,,,985,748,1733,,,
167,"Government Boys ElementrySchool Whando (Male)",WAHNDO,167030801,,315,0,315,4,0,4
WAHNDO,167030802,,726,0,726,,,,,
WAHNDO,167030803,,598,0,598,,,,,
WAHNDO,167030805,,424,0,424,,,,,
WAHNDO,167030817,,62,0,62,,,,,
"",,,2125,0,2125,,,,,
1,2,3,4,5,6,7,8,9,10,11
168,"Government Boys HigherSecondary School Whando(Female)",WAHNDO,167030801,,0,297,297,0,4,4
"",,WAHNDO,167030802,,0,509,509,,,
"",,WAHNDO,167030803,,0,454,454,,,
"",,WAHNDO,167030805,,0,315,315,,,
"",,WAHNDO,167030817,,0,61,61,,,
"",,,,,0,1636,1636,,,
169,"Government Boys ElementrySchool Whando (Combined)",WAHNDO,167030804,,1043,808,1851,2,2,4
"",,,,,1043,808,1851,,,
170,"Government Girls High SchoolWhando (Male)",WAHNDO,167030806,,120,0,120,3,0,3
"",,WAHNDO,167030807,,299,0,299,,,
"",,WAHNDO,167030808,,44,0,44,,,
"",,WAHNDO,167030809,,132,0,132,,,
"",,WAHNDO,167030810,,317,0,317,,,
"",,WAHNDO,167030811,,164,0,164,,,
"",,WAHNDO,167030812,,185,0,185,,,
"",,WAHNDO,167030813,,252,0,252,,,
"",,,,,1513,0,1513,,,
171,"Government Girls High SchoolWhando (Female)",WAHNDO,167030806,,0,91,91,0,2,2
"",,WAHNDO,167030807,,0,235,235,,,
"",,WAHNDO,167030808,,0,38,38,,,
"",,WAHNDO,167030809,,0,92,92,,,
"",,WAHNDO,167030810,,0,232,232,,,
"",,WAHNDO,167030811,,0,115,115,,,
"",,WAHNDO,167030812,,0,132,132,,,
"",,WAHNDO,167030813,,0,184,184,,,
"",,,,,0,1119,1119,,,
172,"Government Boys Primary SchoolDalianwali (Combined)",DALIAN WALI,167030814,,739,602,1341,1,1,2
"",,DALIAN WALI,167030815,,148,106,254,,,
"",,DALIAN WALI,167030816,,187,125,312,,,
"",,,,,1074,833,1907,,,
173,"Government Boys Primary SchoolKuri Kot (Combined)",KURI KOT,167030901,,389,340,729,1,1,2
"",,,,,389,340,729,,,
174,"Government Model Primary SchoolKullu Kalan (Combined)",KALLU KALLAN,167030902,,372,234,606,1,1,2
"",,KALLU KALLAN,167030904,,196,131,327,,,
"",,,,,568,365,933,,,
175,"Government Boys Primary SchoolShadi Khan Wala (Combined)","Shadi KhanWala",167030903,,375,237,612,1,1,2
"",,,,,375,237,612,,,
176,"Government Boys High SchoolSohawa Dhilwan (Combined)",SOHAWA,167031001,,514,333,847,1,1,2
"",,SOHAWA,167031002,,220,253,473,,,
"",,,,,734,586,1320,,,
177,"Government Model Primary SchoolMirza Pur (Combined)",Mirza Pur,167031101,,535,286,821,1,1,2
"",,,535,286,821,,,,,
1,2,3,4,5,6,7,8,9,10,11
178,"Government Boys Primary SchoolChakian Kalan (Combined)",Chakian Kalan,167031102,,473,355,828,1,1,2
"",,,,,473,355,828,,,
179,"Government Boys Primary SchoolRana (Male)",RANA,167031201,,199,0,199,3,0,3
"",,RANA,167031202,,623,0,623,,,
"",,Saich,167031203,,255,0,255,,,
"",,RANA,167031204,,251,0,251,,,
"",,,,,1328,0,1328,,,
180,"Government Girls Primary SchoolRana (Female)",RANA,167031201,,0,62,62,0,2,2
"",,RANA,167031202,,0,474,474,,,
"",,Saich,167031203,,0,181,181,,,
"",,RANA,167031204,,0,293,293,,,
"",,,,,0,1010,1010,,,
181,"Govt Boys High School KotliNawab   (Combined)","KOTLI NAWABSADULLAHKHAN",167031301,,444,325,769,2,2,4
"",,"KOTLI NAWABSADULLAHKHAN",167031302,,549,476,1025,,,
"",,,,,993,801,1794,,,
182,"Government Boys Primary SchoolKot Mirza Jan (Combined)",SAHANKE,167031303,,135,98,233,1,1,2
"",,KOT MIRZA JAN,167031304,,211,132,343,,,
"",,KOT MIRZA JAN,167031307,,326,202,528,,,
"",,,,,672,432,1104,,,
183,"Government Boys Primary SchoolKotli Nau (Combined)",BAGHWALA,167031305,,214,135,349,1,1,2
"",,KOTLI NAU,167031306,,379,281,660,,,
"",,,,,593,416,1009,,,
184,"Government Boys High SchoolGunna Aur (Male)",Gauna Aur,167040101,,843,0,843,3,0,3
"",,Gauna Aur,167040102,,532,0,532,,,
"",,Gauna Aur,167040103,,217,0,217,,,
"",,Gauna Aur,167040104,,365,0,365,,,
"",,,,,1957,0,1957,,,
185,"Government Girls High SchoolGunna Aur (Female)",Gauna Aur,167040101,,0,589,589,0,3,3
"",,Gauna Aur,167040102,,0,367,367,,,
"",,Gauna Aur,167040103,,0,152,152,,,
"",,Gauna Aur,167040104,,0,228,228,,,
"",,,,,0,1336,1336,,,
186,"Government Boys High SchoolTamboli (Male)",Tamboli,167040201,,497,0,497,3,0,3
"",,Tamboli,167040202,,643,0,643,,,
"",,Tamboli,167040203,,403,0,403,,,
"",,,,,1543,0,1543,,,
187,"Government Boys High SchoolTamboli (Female)",Tamboli,167040201,,0,358,358,0,2,2
Tamboli,167040202,,0,415,415,,,,,
Tamboli,167040203,,0,277,277,,,,,
"",,,0,1050,1050,,,,,
1,2,3,4,5,6,7,8,9,10,11
188,"Government Girls High SchoolTamboli (Male)",Tamboli,167040204,,819,0,819,3,0,3
"",,Tamboli,167040205,,558,0,558,,,
"",,Tamboli,167040206,,419,0,419,,,
"",,,,,1796,0,1796,,,
189,"Government Girls High SchoolTamboli (Female)",Tamboli,167040204,,0,586,586,0,3,3
"",,Tamboli,167040205,,0,455,455,,,
"",,Tamboli,167040206,,0,321,321,,,
"",,,,,0,1362,1362,,,
190,"Government Boys Primary SchoolNithranwali (Combined)",Nithran Wali,167040207,,707,553,1260,2,2,4
"",,Kot Qazi,167040208,,280,200,480,,,
"",,,,,987,753,1740,,,
191,"Government Boys ElementrySchool Allahabad (Male)","Allah Abad(Nangal DoonaSingh)",167040301,,649,0,649,3,0,3
"",,"Allah Abad(Nangal DoonaSingh)",167040302,,711,0,711,,,
"",,"Allah Abad(Nangal DoonaSingh)",167040303,,76,0,76,,,
"",,,,,1436,0,1436,,,
192,"Government Girls ElementrySchool Allahabad (Female)","Allah Abad(Nangal DoonaSingh)",167040301,,0,436,436,0,2,2
"",,"Allah Abad(Nangal DoonaSingh)",167040302,,0,477,477,,,
"",,"Allah Abad(Nangal DoonaSingh)",167040303,,0,57,57,,,
"",,,,,0,970,970,,,
193,"Government Boys Primary SchoolDhollan (Combined)",Manj Pur,167040304,,249,138,387,2,1,3
"",,DHOLAN,167040501,,395,213,608,,,
"",,DHOLAN,167040502,,214,137,351,,,
"",,,,,858,488,1346,,,
194,"Government Model Primary SchoolChakian Khurd (Combined)",Chakian Khurd,167040305,,268,149,417,1,1,2
"",,,,,268,149,417,,,
195,"Government Boys ElementrySchool Lalu Pur (Combined)",Lalu Pur,167040401,,928,658,1586,1,1,2
"",,,,,928,658,1586,,,
196,"Government Boys Primary SchoolKotli Dil Bagh Rai (Combined)","Kotli Dil BhaghRai",167040402,,563,368,931,2,2,4
"",,Samu Bala,167040403,,497,317,814,,,
"",,,,,1060,685,1745,,,
197,"Government Boys Primary SchoolMahay Chatha (Combined)",MAHAY CHTTA,167040505,,589,526,1115,1,1,2
"",,,589,526,1115,,,,,
1,2,3,4,5,6,7,8,9,10,11
198,"Government Boys Primary SchoolDhoop Sari (Combined)",DHUP SARI,167040503,,408,366,774,1,1,2
"",,DHUP SARI,167040504,,373,191,564,,,
"",,,,,781,557,1338,,,
199,"Government Boys Primary SchoolShameer (Combined)",Shameer,167040601,,554,374,928,2,2,4
"",,Shameer,167040602,,421,280,701,,,
"",,,,,975,654,1629,,,
200,"Government Boys M.D IslamiaHigh School Machrala (Combined)",Machrala,167040701,,682,466,1148,2,2,4
"",,Machrala,167040702,,429,304,733,,,
"",,Nassoki,167040703,,293,169,462,,,
"",,,,,1404,939,2343,,,
201,"Government Boys Primary SchoolSambla (Combined)",Kot Sheikhu,167040801,,212,125,337,1,1,2
"",,Sumbla,167040802,,468,373,841,,,
"",,Uthwal,167040803,,20,12,32,,,
"",,,,,700,510,1210,,,
202,"Government Boys Primary SchoolWahlianwali (Combined)",Wahlianwali,167040804,,688,443,1131,2,1,3
"",,Snoopar,167040805,,273,178,451,,,
"",,,,,961,621,1582,,,
203,"Government Boys Primary SchoolPul Shah Doula (Combined)","PUL SHAHDAULA",167040901,,536,401,937,1,1,2
"",,"PUL SHAHDAULA",167040904,,414,337,751,,,
"",,,,,950,738,1688,,,
204,"Government Boys Primary SchoolMandhir (Combined)",Hayati,167040902,,233,156,389,1,1,2
"",,Mandheer,167040903,,415,298,713,,,
"",,,,,648,454,1102,,,
205,"Government Girls High SchoolChandali (Combined)",CHANDALI,167041001,,468,332,800,1,1,2
"",,CHANDALI,167041002,,498,373,871,,,
"",,,,,966,705,1671,,,
206,"Government Boys Primary SchoolSher Garh Kalan (Combined)","SHERGARHKALAN",167041003,,615,421,1036,1,1,2
"",,"SHERGARHKHURD",167041004,,194,146,340,,,
"",,,,,809,567,1376,,,
207,"Government Boys High SchoolChajjoke (Combined)",CHHAJOKI,167041005,,734,548,1282,2,2,4
"",,CHHAJOKI,167041006,,518,381,899,,,
"",,,,,1252,929,2181,,,
208,"Government Boys High SchoolChandala (Combined)",CHANDALA,167041007,,718,563,1281,1,1,2
"",,,718,563,1281,,,,,
"RAKH KIKRANWALI(MOH.RAKHKIKRANWALI",163020201,,412,0,412,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"RAKH KIKRANWALI(CHANABPARKFEROZWALAROAD)",163020202,,294,0,294,,,
"",,"RAKH KIKRANWALI(MOH.RAKHKIKRANWALI",163020210,,235,0,235,,,
"",,"RAKH KIKRANWALI",163020211,,462,0,462,,,
"",,,,,1403,0,1403,,,
210,"Global Science School (Girls)Campus (Female)","RAKH KIKRANWALI(MOH.RAKHKIKRANWALI",163020201,,0,323,323,0,2,2
"",,"RAKH KIKRANWALI(CHANABPARKFEROZWALAROAD)",163020202,,0,220,220,,,
"",,"RAKH KIKRANWALI(MOH.RAKHKIKRANWALI",163020210,,0,156,156,,,
"",,"RAKH KIKRANWALI",163020211,,0,317,317,,,
"",,,,,0,1016,1016,,,
211,"Government Girls ElementrySchool Rakh Kikran Wali (Male)","RAKHKIKRANWALI(ITFAQ TOWN)",163020203,,654,0,654,3,0,3
"RAKHKIKRANWALI(MOH. PURANIJHANGI)",163020204,,713,0,713,,,,,
"RAKHKIKRANWALI(MOH. RASOOLPUR JATTANDA)",163020205,,422,0,422,,,,,
"",,,1789,0,1789,,,,,
"RAKHKIKRANWALI(ITFAQ TOWN)",163020203,,0,451,451,,,,,
"RAKHKIKRANWALI(MOH. PURANIJHANGI)",163020204,,0,499,499,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"RAKHKIKRANWALI(MOH. RASOOLPUR JATTANDA)",163020205,,0,295,295,,,
"",,,,,0,1245,1245,,,
213,"Arqam House Foundation  School& College Arif Town  (Male)","RAKHKIKRANWALI(MOH. RASOOLPUR MIAN ARIFTOWN)",163020206,,388,0,388,4,0,4
"",,"RAKHKIKRANWALI",163020207,,1211,0,1211,,,
"",,"RAKHKIKRANWALI(MOH. RASOOLPUR MIAN ARIFTOWN)",163020213,,644,0,644,,,
"",,"RAKHKIKRANWALI",163020214,,291,0,291,,,
"",,,,,2534,0,2534,,,
214,"Arqam House Foundation  School& College Arif Town  (Female)","RAKHKIKRANWALI(MOH. RASOOLPUR MIAN ARIFTOWN)",163020206,,0,214,214,0,4,4
"",,"RAKHKIKRANWALI",163020207,,0,845,845,,,
"",,"RAKHKIKRANWALI(MOH. RASOOLPUR MIAN ARIFTOWN)",163020213,,0,596,596,,,
"",,"RAKHKIKRANWALI",163020214,,0,205,205,,,
"",,,,,0,1860,1860,,,
215,"The Major School System UsmanTown (Male)","RAKHKIKRANWALI(MOH. USMANTOWN)",163020208,,611,0,611,3,0,3
"RAKHKIKRANWALI(MOH. USMANTOWN)",163020209,,357,0,357,,,,,
"RAKHKIKRANWALI(MOH. FEROZWALA ROAD)",163020212,,645,0,645,,,,,
"",,,1613,0,1613,,,,,
1,2,3,4,5,6,7,8,9,10,11
216,"The Major School System UsmanTown (Female)","RAKHKIKRANWALI(MOH. USMANTOWN)",163020208,,0,411,411,0,2,2
"",,"RAKHKIKRANWALI(MOH. USMANTOWN)",163020209,,0,249,249,,,
"",,"RAKHKIKRANWALI(MOH. FEROZWALA ROAD)",163020212,,0,490,490,,,
"",,,,,0,1150,1150,,,
217,"Government Girls Primary SchoolNandi Pur  (Combined)",NANDI PUR,164020101,,526,457,983,2,2,4
"",,KOTLA TAPPA,164020104,,337,231,568,,,
"",,,,,863,688,1551,,,
218,"Government Boys Primary SchoolBhambowali (Combined)",BHAMMUNWALI,164020102,,349,273,622,2,1,3
"",,BHAMMUNWALI,164020103,,613,449,1062,,,
"",,,,,962,722,1684,,,
219,"Government Boys High SchoolBhatti Bhango. (Male)","BHATTIBHANGO",164020201,,613,0,613,3,0,3
"",,"BHATTIBHANGO",164020202,,274,0,274,,,
"",,"BHATTIBHANGO",164020203,,303,0,303,,,
"",,"BHATTIBHANGO",164020209,,316,0,316,,,
"",,"BHATTIBHANGO",164020211,,250,0,250,,,
"",,,,,1756,0,1756,,,
220,"Government Boys High SchoolBhatti Bhango. (Female)","BHATTIBHANGO",164020201,,0,426,426,0,3,3
"",,"BHATTIBHANGO",164020202,,0,95,95,,,
"",,"BHATTIBHANGO",164020203,,0,359,359,,,
"",,"BHATTIBHANGO",164020209,,0,99,99,,,
"",,"BHATTIBHANGO",164020211,,0,269,269,,,
"",,,,,0,1248,1248,,,
221,"Government Boys High SchoolBhatti Bhango. (Combined)","BHATTIBHANGO",164020204,,452,344,796,2,2,4
"BHATTIBHANGO",164020205,,663,497,1160,,,,,
"",,,1115,841,1956,,,,,
"BHATTIBHANGO",164020206,,1014,0,1014,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"BHATTIBHANGO",164020207,,444,0,444,,,
"",,"BHATTIBHANGO",164020208,,461,0,461,,,
"",,"BHATTIBHANGO",164020210,,20,0,20,,,
"",,,,,1939,0,1939,,,
223,"Government Girls High SchoolBhatti Bhango (Female)","BHATTIBHANGO",164020206,,0,803,803,0,3,3
"",,"BHATTIBHANGO",164020207,,0,306,306,,,
"",,"BHATTIBHANGO",164020208,,0,299,299,,,
"",,"BHATTIBHANGO",164020210,,0,2,2,,,
"",,,,,0,1410,1410,,,
224,"Government Boys Primary SchoolBassiwala (Male)",BASI WALA,164020301,,531,0,531,3,0,3
"",,BASI WALA,164020302,,699,0,699,,,
"",,BASI WALA,164020303,,289,0,289,,,
"",,,,,1519,0,1519,,,
225,"Government Boys Primary SchoolBassiwala (Female)",BASI WALA,164020301,,0,412,412,0,3,3
"",,BASI WALA,164020302,,0,559,559,,,
"",,BASI WALA,164020303,,0,212,212,,,
"",,,,,0,1183,1183,,,
226,"Government Boys Primary SchoolBawray (Male)",BAWARE,164020304,,590,0,590,3,0,3
"",,BAWARE,164020305,,402,0,402,,,
"",,BAWARE,164020306,,350,0,350,,,
"",,,,,1342,0,1342,,,
227,"Government Boys Primary SchoolBawray (Female)",BAWARE,164020304,,0,419,419,0,2,2
"",,BAWARE,164020305,,0,238,238,,,
"",,BAWARE,164020306,,0,238,238,,,
"",,,,,0,895,895,,,
228,"Government Girls High SchoolTalwandi Musa Khan (Male)","TALWANDIMUSA KHAN",164020401,,25,0,25,3,0,3
"TALWANDIMUSA KHAN",164020402,,600,0,600,,,,,
"TALWANDIMUSA KHAN",164020403,,465,0,465,,,,,
"TALWANDIMUSA KHAN",164020412,,62,0,62,,,,,
"TALWANDIMUSA KHAN",164020414,,281,0,281,,,,,
"",,,1433,0,1433,,,,,
"TALWANDIMUSA KHAN",164020401,,0,48,48,,,,,
"TALWANDIMUSA KHAN",164020402,,0,391,391,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"TALWANDIMUSA KHAN",164020403,,0,375,375,,,
"",,"TALWANDIMUSA KHAN",164020412,,0,62,62,,,
"",,"TALWANDIMUSA KHAN",164020414,,0,200,200,,,
"",,,,,0,1076,1076,,,
230,"Government Boys High SchoolTalwandi Musa Khan (Male)","TALWANDIMUSA KHAN",164020404,,550,0,550,4,0,4
"",,"TALWANDIMUSA KHAN",164020405,,421,0,421,,,
"",,"TALWANDIMUSA KHAN",164020406,,175,0,175,,,
"",,"TALWANDIMUSA KHAN",164020410,,249,0,249,,,
"",,"TALWANDIMUSA KHAN",164020411,,59,0,59,,,
"",,"TALWANDIMUSA KHAN",164020413,,494,0,494,,,
"",,,,,1948,0,1948,,,
231,"Government Boys High SchoolTalwandi Musa Khan (Female)","TALWANDIMUSA KHAN",164020404,,0,421,421,0,3,3
"",,"TALWANDIMUSA KHAN",164020405,,0,308,308,,,
"",,"TALWANDIMUSA KHAN",164020406,,0,122,122,,,
"",,"TALWANDIMUSA KHAN",164020410,,0,152,152,,,
"",,"TALWANDIMUSA KHAN",164020411,,0,44,44,,,
"",,"TALWANDIMUSA KHAN",164020413,,0,394,394,,,
"",,,,,0,1441,1441,,,
232,"Government Rural DispensaryTalwandi Musa Khan (Combined)","TALWANDIMUSA KHAN",164020407,,429,317,746,2,1,3
"",,Hoye Wali,164020408,,201,150,351,,,
"",,Gandum,164020409,,293,188,481,,,
"",,,,,923,655,1578,,,
233,"Government Boys Primary SchoolSulkhanabad (Male)",Piru Chak,164020601,,262,0,262,3,0,3
"",,Piru Chak,164020602,,476,0,476,,,
"",,Piru Chak,164020603,,626,0,626,,,
"",,Piru Chak,164020604,,364,0,364,,,
"",,,,,1728,0,1728,,,
234,"Government Girls High SchoolSulkhanabad (Female)",Piru Chak,164020601,,0,202,202,0,2,2
Piru Chak,164020602,,0,326,326,,,,,
Piru Chak,164020603,,0,455,455,,,,,
Piru Chak,164020604,,0,304,304,,,,,
"",,,0,1287,1287,,,,,
1,2,3,4,5,6,7,8,9,10,11
235,"Government Boys Primary SchoolThatha Azam Khan (Combined)",Thatha Azam,164020605,,649,448,1097,1,1,2
"",,,,,649,448,1097,,,
236,"Government Boys Primary SchoolGagarke (Combined)",Gagarke,164020606,,673,412,1085,2,1,3
"",,Gagarke,164020607,,370,239,609,,,
"",,,,,1043,651,1694,,,
237,"Government Boys ElementrySchool Noi Key (Male)",NOINKEY,164020701,,705,0,705,3,0,3
"",,NOINKEY,164020702,,258,0,258,,,
"",,NOINKEY,164020703,,125,0,125,,,
"",,NOINKEY,164020704,,364,0,364,,,
"",,NOINKEY,164020705,,531,0,531,,,
"",,,,,1983,0,1983,,,
238,"Government Girls High School NoiKey (Female)",NOINKEY,164020701,,0,460,460,0,3,3
"",,NOINKEY,164020702,,0,165,165,,,
"",,NOINKEY,164020703,,0,70,70,,,
"",,NOINKEY,164020704,,0,279,279,,,
"",,NOINKEY,164020705,,0,394,394,,,
"",,,,,0,1368,1368,,,
239,"Government Boys ElementrySchool Chak Nizam (Combined)",CHAK NIZAM,164020801,,420,320,740,2,2,4
"",,CHAK NIZAM,164020802,,514,507,1021,,,
"",,CHAK NIZAM,164020803,,584,327,911,,,
"",,,,,1518,1154,2672,,,
240,"Government Boys Primary SchoolMokhal Sandhwan (Male)",MOKHAL,164020804,,347,0,347,3,0,3
"",,MOKHAL,164020805,,755,0,755,,,
"",,MOKHAL,164020806,,473,0,473,,,
"",,MOKHAL,164020807,,275,0,275,,,
"",,,,,1850,0,1850,,,
241,"Government Girls ElementrySchool Mokhal Sandhwan(Female)",MOKHAL,164020804,,0,256,256,0,3,3
"",,MOKHAL,164020805,,0,618,618,,,
"",,MOKHAL,164020806,,0,355,355,,,
"",,MOKHAL,164020807,,0,163,163,,,
"",,,,,0,1392,1392,,,
242,"Government Model Primary SchoolNathu Ke (Combined)",BABBAN,164020808,,331,278,609,2,2,4
"",,NATHOU KE,164020809,,890,695,1585,,,
"",,,,,1221,973,2194,,,
243,"Government Girls ElementrySchool Nadala Sandhwan(Combined)","NADALASANDHWAN",164020901,,405,329,734,2,2,4
"NADALASANDHWAN",164020902,,193,148,341,,,,,
"NADALASANDHWAN",164020903,,509,354,863,,,,,
"",,,1107,831,1938,,,,,
"THATTACHAWAN",164020904,,610,359,969,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"KOTLA RAMDASS",164020907,,0,0,0,,,
"",,,,,610,359,969,,,
