1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,"Kaleem ShaheedColony No.2",149600103,,102,0,102,,,
"",,,,"Kaleem ShaheedColony No.2",149600104,,502,0,502,,,
"",,,,Total,,,1131,0,1131,2,0,2
12,"Govt. Pak Awami GirlsPrimary School, KaleemShaheed Colony No. 2(Female) (P)",,,"Kaleem ShaheedColony No.2",149600101,,0,254,254,,,
"",,,,"Kaleem ShaheedColony No.2",149600102,,0,166,166,,,
"",,,,"Kaleem ShaheedColony No.2",149600103,,0,84,84,,,
"",,,,"Kaleem ShaheedColony No.2",149600104,,0,353,353,,,
"",,,,Total,,,0,857,857,0,2,2
13,"Govt. Girls High School,Marzi Pura (Male) (T)",,,Marzi Pura,149600105,,540,0,540,,,
"",,,,"Charagh TownMarzi Pura",149600205,,649,0,649,,,
"",,,,Total,,,1189,0,1189,3,0,3
14,"Govt. Girls High School,Marzi Pura (Female) (T)",,,Marzi Pura,149600105,,0,436,436,,,
"Charagh TownMarzi Pura",149600205,,0,486,486,,,,,,,
Total,,,0,922,922,0,2,2,,,,
"",(Male) (P),,,"Kaleem ShaheedColony No.2",149600202,,543,0,543,,,
"",,,,"Kaleem ShaheedColony No.2",149600203,,320,0,320,,,
"",,,,"Kaleem ShaheedColony No.2",149600204,,273,0,273,,,
"",,,,Total,,,1422,0,1422,3,0,3
16,"Govt. Pak Awami GirlsPrimary School, KaleemShaheed Colony No. 2(Female) (P)",,,"Kaleem ShaheedColony No.2",149600201,,0,247,247,,,
"",,,,"Kaleem ShaheedColony No.2",149600202,,0,497,497,,,
"",,,,"Kaleem ShaheedColony No.2",149600203,,0,263,263,,,
"",,,,"Kaleem ShaheedColony No.2",149600204,,0,225,225,,,
"",,,,Total,,,0,1232,1232,0,3,3
17,"Govt. Primary School,Nawaz Park, (Male) (P)",,,Hussain Park,149600301,,762,0,762,,,
"",,,,Nawaz Park,149600302,,386,0,386,,,
"",,,,"Garden TownChak No. 279/RBKhurd",149600401,,246,0,246,,,
