"","Polling Station",Polling Station Name,Electoral Area,Block Code,"Male Voters","Female Voters","Total Voters",Male Booths,Female Booths,Total Booths,Booth Type
"",,Mahni Sial,223020511,495,0,495,,,,
159,"B.H.U.Mahni Sial (IIndPortion)",Mahni Sial,223020509,0,224,224,0,2,2,Female
"",,Mahni Sial,223020510,0,105,105,,,,
"",,Mahni Sial,223020511,0,390,390,,,,
160,"Govt .Boys MiddleSchool, Allah Abad",Allah abad,223020101,357,240,597,1,1,2,Combined
161,"Govt .Girls MiddleSchool, Allah Abad",Allah abad,223020102,384,301,685,1,1,2,Combined
162,"Masjid Maktib School,New Basti, Allah Abad",Allah abad,223020103,345,259,604,1,1,2,Combined
"",,Allah abad,223020106,303,224,527,,,,
163,"Masjid Maktib School,New Basti, Allah Abad",Allah abad,223020104,775,593,1368,2,1,3,Combined
"",,Allah abad,223020105,775,593,1368,,,,
164,"Govt .Boys MiddleSchool, Jamisabad  (Ist",James Abad,223020201,299,195,494,1,1,2,Combined
"",,James Abad,223020202,382,303,685,,,,
165,"Govt .Boys MiddleSchool, Jamisabad(IIndPortion)",James Abad,223020203,438,305,743,2,1,3,Combined
166,"Govt .Boys MiddleSchool, Jamisabad(IIndPortion)",James Abad,223020204,491,370,861,2,1,3,Combined
167,"Govt .Girls MiddleSchool, Jamisabad",James Abad,223020205,427,317,744,2,1,3,Combined
168,"Govt .Girls MiddleSchool, Jamisabad",James Abad,223020206,483,315,798,2,1,3,Combined
169,"Govt .Boys High School,Sham Kot",Sham Kot,223020302,1080,802,1882,2,1,3,Combined
"",,Sham Kot,223020303,1080,802,1882,,,,
"",,Sham Kot,223020307,1080,802,1882,,,,
170,"Govt .Boys High School,Sham Kot",Sham Kot,223020301,536,366,902,1,1,2,Combined
171,"Basic Health Unit, ShamKot.",Sham Kot,223020304,739,621,1360,2,1,3,Combined
Sham Kot,223020305,346,240,586,,,,,,
"PollingStationSerial No",Polling Station Name,"MaleFemaleTotalElectoral AreaBlock CodeVotersVotersVoters",Male Booths,FemaleBooths,Total Booths,Booth Type
"Somali Said /KachaMohallah",222080102,517,0,517,,
"",2,"Govt Boys High SchoolTulamaba (Middle Block)",Kacha Mohallah,222080103,777,0,777,3,0,3,Male
"",,,Mohallah Shiekan,222080104,283,0,283,,,,
"",3,"Govt Boys High SchoolTulamba    (pry Portion)","Fazal Shah Road MohallahMastran",222080404,475,0,475,3,0,3,Male
"",,,Tabi Muslam Shakieh,222080403,408,0,408,,,,
"",,,"Mohallah Syedian  JafariTulamba",222080101,573,0,573,,,,
"",4,"Office of town committieTulamba",Mohallah Guli Rehmat,222080201,425,0,425,3,0,3,Male
"",,,Mohallah Kojrran,222080202,586,0,586,,,,
"",,,Mohallah Rajputtan,222080301,399,0,399,,,,
"",5,"Govt. Girls Primary SchoolBasti Dogran",Mohallah Dabaran,222080203,545,0,545,2,0,2,Male
"",,,Mohallah Dogrran/Dabaran,222080204,420,0,420,,,,
"",6,"Office of town committieTulamba","Mohallah Dogrran SindhiGate",222080205,472,0,472,2,0,2,Male
"",,,Mohallah Quarter Tulamba,222080302,315,0,315,,,,
"",7,"Office of town committieTulamba","Mohallah SindhiGate/Gulstion Noor Town",222080206,731,0,731,2,0,2,Male
"",,,Balal Colony /Than Road,222080303,481,0,481,,,,
"",8,"Office of AssistantEducation OfficerTulambah (Rest House)","Mohallah Kot Islam/GultionTown",222080304,493,0,493,2,0,2,Male
"",,,Mohallah Rest House,222080305,466,0,466,,,,
"",9,"Agriculture Office TulmbaMian Channu RoadTulamba","Mohallah Chawani ,KhastaBota",222080401,433,0,433,2,0,2,Male
"",,,Mohallah Mehr Shakoor,222080402,320,0,320,,,,
"",10,"Govt Girls Highersecondary  SchoolTulamba (middle portion)","Somali Said /KachaMohallah",222080102,0,386,386,0,2,2,Female
"",,,Mohallah Kukran Wala,222080105,0,327,327,,,,
"",11,"Govt Girls Highersecondary  School",Kacha Mohallah,222080103,0,614,614,0,3,3,Female
"",,,Mohallah Shiekan,222080104,0,293,293,,,,
"",12,"Govt Girls Highersecondary  SchoolTulamba (PrimaryPortion)",Mohallah Syedian  Jafari,222080101,0,452,452,0,3,3,Female
"",,,Tabi Muslam Shakieh,222080403,0,424,424,,,,
"",,,"Fazal Shah Road MohallahMastran",222080404,0,394,394,,,,
"",13,"Govt Girls Highersecondary  SchoolTulamba (High Portion)",Mohallah Guli Rehmat,222080201,0,389,389,0,3,3,Female
"",,,Mohallah Kojrran,222080202,0,481,481,,,,
"",,,Mohallah Rajputtan,222080301,0,381,381,,,,
"",14,"Govt pry School No.2Near Thana Tulamba.",Mohallah Dabaran,222080203,0,442,442,0,2,2,Female
"",,,Mohallah Dogrran/Dabaran,222080204,0,358,358,,,,
"",15,"Govt Boys High SchoolB.Branch Southren SideTulmaba","Mohallah Dogrran SindhiGate",222080205,0,354,354,0,3,3,Female
"",,,"Mohallah SindhiGate/Gulstion Noor Town",222080206,0,578,578,,,,
"",16,"Govt Boys High SchoolB.Branch Southren Side",Balal Colony /Than Road,222080303,0,417,417,0,2,2,Female
"",,,Mohallah Quarter Tulamba,222080302,0,240,240,,,,
"",17,"Govt Girls Pry SchoolMohalla Kot IslamTulamba","Mohallah KotIslam/GultionTown",222080304,0,354,354,0,2,2,Female
"",,,Mohallah Rest House,222080305,0,370,370,,,,
"",18,"Govt Boys M SchoolB.Branch (nothernSide)Tulamba","Mohallah Chawani ,KhastaBota",222080401,0,326,326,0,2,2,Female
Mohallah Mehr Shakoor,222080402,0,299,299,,,,,,,
Chak No.132/16-L,222010201,374,0,374,,,,,,,
Chak No.132/16-L,222010202,238,0,238,,,,,,,
"",19,132/16L,Chak No.132/16-L,222010207,135,0,135,4,0,4,Male
"",,,Chak No.132/16-L,222010204,794,0,794,,,,
"",,,Chak No.132/16-L,222010205,794,0,794,,,,
"",,,Chak No.132/16-L,222010217,794,0,794,,,,
"",,,Chak No.132/16-L,222010206,403,0,403,,,,
"",20,"Govt Girls High School132/16L",Chak No.132/16-L,222010201,0,299,299,0,2,2,Female
"",,,Chak No.132/16-L,222010202,0,207,207,,,,
"",,,Chak No.132/16-L,222010203,0,78,78,,,,
"",,,Chak No.132/16-L,222010207,0,113,113,,,,
"",21,"Govt Girls High School132/16L",Chak No.132/16-L,222010204,0,625,625,0,2,2,Female
"",,,Chak No.132/16-L,222010205,0,625,625,,,,
"",,,Chak No.132/16-L,222010217,0,625,625,,,,
"",,,Chak No.132/16-L,222010206,0,332,332,,,,
"",22,"Govt Girls Primary School131/15-L (Lukkan Wala)",Chak No-131/15-L,222010210,455,362,817,2,1,3,Combined
"",,,Chak No-131/15-L,222010211,250,193,443,,,,
"",23,"Govt Girls Primary School131/15-L (Lukkan Wala)",Chak No-131/15-L,222010208,318,252,570,2,1,3,Combined
"",,,Chak No-131/15-L,222010209,286,236,522,,,,
"",24,"Govt Boys Primary School131/15-L",Chak No-131/15-L,222010212,84,75,159,1,1,2,Combined
"",,,Chak No-131/15-L,222010213,373,314,687,,,,
"",25,"Govt Boys Primary School131/15-L",Chak No-131/15-L,222010214,854,659,1513,2,2,4,Combined
"",,,Chak No-131/15-L,222010215,854,659,1513,,,,
"",,,Chak No-131/15-L,222010216,854,659,1513,,,,
"",26,"Govt Boys Primary School127 /15-L Bumby Wala",Chak No.127/15-L,222010308,411,0,411,3,0,3,Male
"",,,Chak No.127/15-L,222010309,265,0,265,,,,
"",,,Chak No.127/15-L,222010310,378,0,378,,,,
"",27,"Govt Girls Primary School127 /15-L Bumby Wala",Chak No.127/15-L,222010308,0,307,307,0,2,2,Female
"",,,Chak No.127/15-L,222010309,0,220,220,,,,
"",,,Chak No.127/15-L,222010310,0,301,301,,,,
"",28,"Govt.High School 127/15-L Gillanwala.",Chak No.127/15-L,222010312,226,189,415,1,1,2,Combined
"",,,Chak No.127/15-L,222010313,134,113,247,,,,
"",29,"Govt.High School 127/15-L Gillanwala.",Chak No.127/15-L,222010311,655,578,1233,1,1,2,Combined
"",30,"Govt Boys Primary School41-A /15-L",Chak No.41-A/15-L,222010302,480,369,849,1,1,2,Combined
"",31,"Govt Boys Primary School41-A /15-L",Chak No.41-A/15-L,222010301,338,268,606,1,1,2,Combined
"",,,Chak No.41-A/15-L,222010303,183,132,315,,,,
"",32,"Govt Boys Middle School42 /15-L",Chak No.42/15-L,222010304,534,0,534,3,0,3,Male
"",,,Chak No.42/15-L,222010305,580,0,580,,,,
"",,,Chak No.42/15-L,222010306,261,0,261,,,,
"",,,Chak No.42/15-L,222010307,125,0,125,,,,
"",33,"Govt Girls Primary School42 /15-L",Chak No.42/15-L,222010304,0,407,407,0,3,3,Male
"",,,Chak No.42/15-L,222010305,0,433,433,,,,
"",,,Chak No.42/15-L,222010306,0,206,206,,,,
"",,,Chak No.42/15-L,222010307,0,89,89,,,,
"",34,"Govt Boys High School(High Section ) 43 /15-L",Chak No.43/15-L,222010401,347,265,612,2,1,3,Female
Chak No.43/15-L,222010402,391,292,683,,,,,,,
"",36,"Govt Girls Middle SchoolChak No 43 /15-L",Chak No.43/15-L,222010404,687,589,1276,1,1,2,Combined
"",37,"Govt Boys Middle School44 /15-L",Chak No.44/15-L,222010405,259,0,259,2,0,2,Combined
"",,,Chak No.44/15-L,222010406,201,0,201,,,,
"",,,Chak No.44/15-L,222010407,138,0,138,,,,
"",,,Chak No.44/15-L,222010408,210,0,210,,,,
"",38,"Govt Girls Middle School44 /15-L",Chak No.44/15-L,222010405,0,216,216,0,2,2,Male
"",,,Chak No.44/15-L,222010406,0,151,151,,,,
"",,,Chak No.44/15-L,222010407,0,117,117,,,,
"",,,Chak No.44/15-L,222010408,0,198,198,,,,
"",39,"Govt Boys Middle School(Primay Portion )  44 /15-L",Chak No.44/15-L,222010411,350,0,350,4,0,4,Male
"",,,Chak No.44/15-L,222010412,335,0,335,,,,
"",,,Chak No.44/15-L,222010413,278,0,278,,,,
"",,,Chak No.44/15-L,222010414,156,0,156,,,,
"",,,Chak No.44/15-L,222010409,536,0,536,,,,
"",,,Chak No.44/15-L,222010410,301,0,301,,,,
"",40,"Govt Girls Middle School44 /15-L   (Pry Portion )",Chak No.44/15-L,222010411,0,339,339,0,2,2,Female
"",,,Chak No.44/15-L,222010412,0,302,302,,,,
"",,,Chak No.44/15-L,222010413,0,227,227,,,,
"",,,Chak No.44/15-L,222010414,0,120,120,,,,
"",41,"Govt Girls Middle School44 /15-L   (Pry Portion )",Chak No.44/15-L,222010409,0,515,515,0,2,2,Female
"",,,Chak No.44/15-L,222010410,0,282,282,,,,
"",42,"Govt Boys Middle School129 /15-L New Portion",Chak No.129/15-L,222010102,599,496,1095,1,1,2,Combined
"",43,"Govt Boys Middle School129 /15-L New Portion",Chak No.129/15-L,222010101,531,402,933,1,1,2,Female
"",,,Chak No.129/15-L,222010118,531,402,933,,,,
"",44,"Govt Girls High School129 /15-L",Chak No.129/15-L,222010103,240,179,419,1,1,2,Combined
"",45,"Govt Girls High School129 /15-L",Chak No.129/15-L,222010104,960,759,1719,2,2,4,Combined
"",,,Chak No.129/15-L,222010119,960,759,1719,,,,
"",46,"Govt Boys Middle SchoolBasty Odd Wali 128 /15-L",Chak No.128/15-L,222010108,383,338,721,1,1,2,Combined
"",47,"Govt Boys Middle SchoolBasty Odd Wali 128 /15-L",Chak No.128/15-L,222010106,946,817,1763,2,2,4,Combined
"",,,Chak No.128/15-L,222010107,946,817,1763,,,,
"",48,"Govt Boys High School128 /15-L (Part-II)",Chak No.128/15-L,222010109,414,352,766,1,1,2,Combined
"",49,"Govt Girls High School128 /15-L",Chak No.128/15-L,222010110,157,148,305,1,1,2,Combined
"",,,Chak No.128/15-L,222010111,465,387,852,,,,
"",50,130 /15-L (quarters),Chak No.130/15-L,222010112,312,269,581,1,1,2,Combined
"",,,Chak No.130/15-L,222010113,186,149,335,,,,
"",51,130 /15-L (quarters),Chak No.130/15-L,222010114,683,503,1186,1,1,2,Combined
"",,,Chak No.130/15-L,222010115,683,503,1186,,,,
"",52,"Govt Girls Primary School130 /15-L (quarters)",Chak No.130/15-L,222010116,248,187,435,1,1,2,Combined
Chak No.130/15-L,222010117,292,248,540,,,,,,,
Chak No.130/15-L,222010120,292,248,540,,,,,,,
"",,134/16-L,Chak No.134/16-L,222030110,255,201,456,,,,
"",54,"Govt.Pry School 134/16-L(Islam Pura)",Chak No.134/16-L,222030111,400,318,718,1,1,2,Combined
"",55,"Govt.Pry School 134/16-L(Islam Pura)",Chak No.134/16-L,222030112,405,235,640,1,1,2,Combined
"",56,"Govt Boys High School134/16-L(pry portion)",Chak No.134/16-L,222030114,469,347,816,1,1,2,Combined
"",57,"Govt Boys High School134/16-L(pry portion)",Chak No-134/16-L,222030113,286,197,483,1,1,2,Combined
"",,,Chak No.134/16-L,222030115,341,268,609,,,,
"",58,"Govt Boys Primary School134/16-L",Chak No.134/16-L,222030117,256,0,256,3,0,3,Male
"",,,Chak No.134/16-L,222030118,449,0,449,,,,
"",,,Chak No.134/16-L,222030119,284,0,284,,,,
"",59,"Govt Boys Primary School134/16-L  26b",Chak No.134/16-L,222030116,873,0,873,2,0,2,Male
"",60,"Govt.Boys High school134/16-L(Middle Portion)",Chak No.134/16-L,222030116,0,564,564,0,3,3,Female
"",,,Chak No.134/16-L,222030117,0,173,173,,,,
"",,,Chak No.134/16-L,222030118,0,276,276,,,,
"",,,Chak No.134/16-L,222030119,0,172,172,,,,
"",61,"Govt Boys Middle School133/16-L (Middle Port)",Chak No-133/16-L,222030101,423,324,747,1,1,2,Combined
"",62,"Govt Girls Primary School133/16-L",Chak No-133/16-L,222030102,594,434,1028,1,1,2,Combined
"",63,"Govt Girls Primary School133/16-L",Chak No-133/16-L,222030103,306,262,568,1,1,2,Combined
"",64,"Govt Girls High  School133/16-L(high Portion)",Chak No.133/16-L,222030104,233,0,233,4,0,4,Male
"",,,Chak No-133/16-L,222030105,233,0,233,,,,
"",,,Chak No-133/16-L,222030106,862,0,862,,,,
"",,,Chak No-133/16-L,222030120,862,0,862,,,,
"",,,Chak No-133/16-L,222030107,632,0,632,,,,
"",,,Chak No.133/16-L,222030108,357,0,357,,,,
"",65,"Govt Girls High  School(middle portion) 133/16-L",Chak No.133/16-L,222030104,0,206,206,0,3,3,Female
"",,,Chak No-133/16-L,222030105,0,193,193,,,,
"",,,Chak No-133/16-L,222030106,0,600,600,,,,
"",,,Chak No-133/16-L,222030120,0,600,600,,,,
"",66,"Govt Girls High  School(middle portion) 133/16-L",Chak No.133/16-L,222030107,0,451,451,0,2,2,Female
"",,,Chak No.133/16-L,222030108,0,245,245,,,,
"",67,"Govt Boys High School135/16-L (middle portion)",Chak No-135/16-L,222030201,395,328,723,1,1,2,Combined
"",68,"Govt Boys High School135/16-L (middle portion)",Chak No-135/16-L,222030202,384,313,697,2,1,3,Combined
"",,,Chak No-135/16-L,222030203,239,176,415,,,,
"",69,"Govt Girls Middle School135/16-L (North)",Chak No-135/16-L,222030204,1112,0,1112,3,0,3,Male
Chak No-135/16-L,222030205,1112,0,1112,,,,,,,
"",,,Chak No-135/16-L,222030205,0,903,903,,,,
"",71,"Govt Girls High  School135/16-L(High Port)",Chak No-135/16-L,222030206,550,424,974,2,1,3,Combined
"",,,Chak No.135/16-L,222030207,162,69,231,,,,
"",72,"Govt Boys Primary School136/16-L",Chak No.136/16-L,222030208,694,480,1174,2,2,4,Combined
"",,,Chak No.136/16-L,222030209,188,130,318,,,,
"",73,"Govt Girls Primary School136/16-L",Chak No.136/16-L,222030210,458,261,719,1,1,2,Combined
"",74,"Govt Girls Primary School136/16-L",Chak No.136/16-L,222030211,614,367,981,1,1,2,Combined
"",75,"Govt Boys Highersecondry School",Tulamba,222050501,1328,0,1328,4,0,4,Male
"",,,Tulamba,222050502,1328,0,1328,,,,
"",76,"Govt Boys Highersecondry School",Tulamba,222050503,239,0,239,2,0,2,Male
"",,,Tulamba,222080207,159,0,159,,,,
"",77,"Govt Boys Highersecondry School Tulamba(IInd  Portion)",Tulamba,222050501,0,882,882,0,4,4,Female
"",,,Tulamba,222050502,0,882,882,,,,
"",,,Tulamba,222050503,0,168,168,,,,
"",,,Tulamba,222080207,0,117,117,,,,
"",78,Sub Tehsil Office Tulamba,Farid Sanpal,222050405,365,218,583,2,1,3,Combined
"",,,Mir pur,222050406,366,227,593,,,,
"",79,Sub Tehsil Office Tulamba,Mir pur,222050407,294,206,500,1,1,2,Combined
"",,,Mir pur,222050408,143,132,275,,,,
"",80,"Govt Boys Primary SchoolChoghatta Panjuana",Chaughata Punguana,222050402,497,405,902,1,1,2,Combined
"",81,"Govt Boys Primary SchoolChoghatta Panjuana",Chahan Sarkari,222050404,96,92,188,1,1,2,Combined
"",,,Chaughata Punguana,222050401,358,243,601,,,,
"",82,"Office unoin CouncilChoghatta Panjuana",Bukeniray,222050506,127,87,214,1,1,2,Combined
"",,,Bela Punjwana,222050507,65,47,112,,,,
"",,,Tara Pur,222050508,52,41,93,,,,
"",,,Bela Sikandar Khan,222050509,0,0,0,,,,
"",,,Azim Hiraj,222050403,47,17,64,,,,
"",83,"Basic health CenterGhaus pur",Ahmed Yar Hiraj,222051709,62,38,100,2,1,3,Combined
"",,,Jam Dangrah,222051806,182,139,321,,,,
"",,,Ghouse Pur,222051801,355,288,643,,,,
"",,,Ghouse Pur,222051802,136,93,229,,,,
"",,,Nuran Hiraj,222051807,0,0,0,,,,
"",,,Manik Hiraj,222051808,10,2,12,,,,
"",84,"Govt Boys Primary SchoolGhaus Pur",Chahan Amir Shah,222051708,485,355,840,2,1,3,Combined
"",,,Choki Sohang,222051705,234,150,384,,,,
"",85,"Govt Boys Primary SchoolKalupitra",Sajawal Hiraj,222051707,216,151,367,2,1,3,Combined
"",,,Kalu Patra,222051703,499,331,830,,,,
"",86,"Govt.Middle School BastiManik Hiraj",Ram Pur,222051706,97,60,157,2,1,3,Combined
"",,,Khachi Wala,222051704,171,96,267,,,,
"",,,Jungle Dery Wala Shomali,222051702,436,345,781,,,,
"",87,"Govt.Girls Middle SchoolRaees Abad (Ariwala)",Wasiran,222051701,280,0,280,4,0,4,Male
Hussain-Pur Arewala,222051604,217,0,217,,,,,,,
Hussain-Pur Arewala,222051605,225,0,225,,,,,,,
Hussain-Pur Arewala,222051606,604,0,604,,,,,,,
Wasiran,222051701,0,161,161,,,,,,,
"",,,Hussain-Pur Arewala,222051605,0,176,176,,,,
"",,,Hussain-Pur Arewala,222051606,0,460,460,,,,
"",89,"Govt Boys Primary Schooljungle Derywala janubi",jungle Derywala janubi,222051607,421,300,721,1,1,2,Combined
"",,,jungle Derywala janubi,222051608,421,300,721,,,,
"",,,jungle Derywala janubi,222051609,220,115,335,,,,
"",90,"Govt Girls Middle SchoolNoori Suhag    ( )",Nuri Sohag,222051601,324,0,324,3,0,3,Male
"",,,Nuri Sohag,222051602,387,0,387,,,,
"",,,Nuri Sohag,222051603,235,0,235,,,,
"",91,"Govt.Girls Middle SchoolNoori Suhag",Nuri Sohag,222051601,0,281,281,0,2,2,Female
"",,,Nuri Sohag,222051602,0,362,362,,,,
"",,,Nuri Sohag,222051603,0,236,236,,,,
"",92,"Govt Boys Primary School3/8-AR",Chak No.3/8-A-R,222051505,331,256,587,1,1,2,Combined
"",93,"Govt Boys Primary School3/8-AR",Chak No.3/8-A-R,222051506,662,540,1202,1,1,2,Combined
"",94,18/8-R,Chak No 18/8-R,222051507,483,353,836,2,1,3,Combined
"",,,Chak No.2/8-AR,222051508,219,121,340,,,,
"",95,Chak-56 Hyder Abad,Hayder Abad,222051503,257,163,420,2,1,3,Combined
"",,,Hayder Abad,222051504,524,360,884,,,,
"",96,"Govt Boys Middle School19/8-R",Chak No-19/8-R,222051502,593,445,1038,1,1,2,Combined
"",97,"Govt Boys Middle School19/8-R",Chak No-19/8-R,222051501,260,165,425,2,1,3,Combined
"",98,20/8-R,Chak No-20/8-R,222050409,110,70,180,2,2,4,Combined
"",,,Chak No-20/8-R,222050410,841,652,1493,,,,
"",99,"Govt Girls Primary School13/8-AR",Chak No-13/8-AR,222051006,513,399,912,1,1,2,Combined
"",100,"Govt Girls Primary School13/8-AR",Chak No-13/8-AR,222051007,525,377,902,1,1,2,Combined
"",101,"Govt Boys Primary School10/8-AR",Chak No10-11/8-A-R,222051003,412,0,412,4,0,4,Male
"",,,Chak No10-11/8A-R,222051004,580,0,580,,,,
"",,,Chak No12/8A-R,222051005,399,0,399,,,,
"",102,"Govt Girls Middle School10/8-AR",Chak No10-11/8-A-R,222051003,0,317,317,0,3,3,Female
"",,,Chak No10-11/8A-R,222051004,0,438,438,,,,
"",,,Chak No12/8A-R,222051005,0,327,327,,,,
"",103,"Govt Boys Primary SchoolPaka haji Majeed",Paka haji majeed,222051001,811,614,1425,2,1,3,Combined
"",,,Paka haji majeed,222051002,811,614,1425,,,,
"",104,"Govt Girls High School14/8-AR  ( )",Chak No.14/8A-R,222051008,854,0,854,4,0,4,Male
Chak No.14/8A-R,222051009,854,0,854,,,,,,,
Chak No.14/8A-R,222051010,497,0,497,,,,,,,
Chak No14/8A-R,222051011,276,0,276,,,,,,,
Chak No.14/8A-R,222051008,0,598,598,,,,,,,
Chak No.14/8A-R,222051009,0,598,598,,,,,,,
Chak No.14/8A-R,222051010,0,348,348,,,,,,,
"",106,"Govt Boys Primary SchoolJarahi",jarahi,222050801,418,359,777,1,1,2,Combined
"",107,"Govt Boys Primary SchoolJarahi",jarahi,222050802,365,298,663,1,1,2,Combined
"",108,"Govt Boys Primary School15/8-BR",Chak No-15/8-BR,222050803,556,466,1022,1,1,2,Combined
"",109,"Govt Boys Primary School15/8-BR",Chak No-15/8-BR,222050804,385,340,725,2,2,4,Combined
"",,,Chak No-15/8-BR,222050805,490,406,896,,,,
"",110,"Govt Girls HigherSecondary School  16/8-BR",Chak No-16/8-BR,222050806,407,359,766,1,1,2,Combined
"",111,"Govt Girls HigherSecondary School  16/8-BR",Chak No-16/8-BR,222050807,625,528,1153,2,1,3,Combined
"",112,"Govt Girls Middle School17/8-BR",Chak No-17/8-BR,222050810,822,573,1395,2,1,3,Combined
"",,,Chak No-17/8-BR,222050811,822,573,1395,,,,
"",113,"Govt Girls Middle School17/8-BR",Chak No-17/8-BR,222050808,565,462,1027,1,1,2,Combined
"",,,Chak No-17/8-BR,222050809,565,462,1027,,,,
"",,,Chak No-17/8-BR,222050812,66,46,112,,,,
"",114,"Govt Boys Middle School18/8-BR",Chak No-18/8-BR,222050909,474,372,846,1,1,2,Combined
"",115,"Govt Boys Middle School18/8-BR",Chak No-18/8-BR,222050910,365,279,644,1,1,2,Combined
"",116,"Govt Boys High School19/8-BR",Chak No-19/8-BR,222050907,840,731,1571,2,2,4,Combined
"",,,Chak No-19/8-BR,222050908,840,731,1571,,,,
"",117,"Govt Boys High School19/8-BR",Chak No-19/8-BR,222050905,380,319,699,2,1,3,Combined
"",,,Chak No-19/8-BR,222050906,282,225,507,,,,
"",118,"Govt Boys Middle School20/8-BR",Chak No20/8B-R,222050901,340,289,629,1,1,2,Combined
"",119,"Govt Boys Middle School20/8-BR",Chak No20/8B-R,222050902,276,241,517,1,1,2,Combined
"",120,"Govt Girls Middle School20/8-BR",Chak No20/8B-R,222050904,425,351,776,1,1,2,Combined
"",121,"Govt Girls Middle School20/8-BR",Chak No20/8B-R,222050903,569,455,1024,1,1,2,Combined
"",123,"Govt Girls Primary School5/8-R",Chak No4/8-R,222050701,347,293,640,1,1,2,Combined
"",124,"Govt Girls Primary School5/8-R",Chak No5/8-R,222050702,631,458,1089,1,1,2,Combined
"",125,"Govt Girls Primary School6/8-R Qalandar Abad",Chak No.6/8-R,222050704,499,385,884,1,1,2,Combined
"",126,"Govt Girls Middle SchoolKot Barkat Ali Khan",Kot Barkat Ali Khan,222050703,539,397,936,1,1,2,Combined
"",127,"Govt Boys Primary SchoolMusa Ali Khakh",Musa Ali Khekha,222050306,363,297,660,1,1,2,Combined
"",128,"Govt Boys Primary SchoolMusa Ali Khakh",Nusrat Pur,222050304,478,404,882,1,1,2,Combined
"",129,"Govt Girls Primary SchoolFareed ke kathia bastimanzoor khathia",Chraka Bub,222050305,7,2,9,2,1,3,Combined
"",,,Farid-Ke-Kathia,222050303,403,308,711,,,,
"",,,Bopri Muhammad Rehman,222050307,452,304,756,,,,
"",130,"Office Of Union CouncilRotla",Rotla,222050301,225,175,400,1,1,2,Combined
"",,,Rotla,222050302,268,244,512,,,,
"",131,"Govt Girls Middle School1/8-R",Chak No-1/8-R,222050101,465,285,750,1,1,2,Combined
"",132,"Govt Boys Primary School1/8-R",Chak No-1/8-R,222050102,933,629,1562,2,2,4,Combined
"",,,Chak No-1/8-R,222050103,933,629,1562,,,,
"",133,"Govt Boys Primary School125/7-ER",Chak No-125/7-ER,222050114,499,370,869,2,1,3,Combined
"",,,Chak No-125/7-ER,222050115,265,178,443,,,,
"",134,"Govt Girls High School124/7-ER",Chak No-124/7-ER,222050111,212,139,351,1,1,2,Combined
"",135,"Govt Boys Middle School124/7.ER",Chak No.124/7-ER,222050112,928,0,928,3,0,3,Male
"",,,Chak No.124/7-ER,222050113,928,0,928,,,,
"",136,"Govt Boys Middle School124/7.ER",Chak No.124/7-ER,222050112,0,705,705,0,2,2,Female
"",,,Chak No.124/7-ER,222050113,0,705,705,,,,
"",137,"Govt Girls Primary SchoolDulwan/ at chak no 123/7ER",Chak No-123/7-ER,222050108,575,372,947,1,1,2,Combined
"",138,"Govt Girls Middle School123/7-ER",Chak No-23/7-ER,222050109,586,439,1025,1,1,2,Combined
"",139,"Govt Girls Middle School123/7-ER",Chak No-23/7-ER,222050108,406,298,704,1,1,2,Combined
"",140,"Govt Boys Primary School3/8-R",Chak No.3/8-R,222050106,581,475,1056,1,1,2,Combined
Chak No.3/8-R,222050107,581,475,1056,,,,,,,
Chak No-3/8-R,222050104,218,195,413,,,,,,,
"",142,"Govt Boys Primary SchoolBoopri Aya Khera",Bopri-Aya-Khaera,222050201,294,218,512,2,2,4,Combined
"",,,Bopri-Aya-Khaera,222050202,377,285,662,,,,
"",,,BOPRI-Sati Bona,222050208,0,0,0,,,,
"",,,Bopri Noor Sultan.,222050209,0,0,0,,,,
"",,,Bopri Mirza Khatia,222050210,0,0,0,,,,
"",,,Bopri-Shakru-k-Dahar,222050203,23,27,50,,,,
"",,,Bopri-Dad-Khatia,222050204,73,69,142,,,,
"",143,"Govt Girls Primary SchoolChak No basti sarwar kemuza dalwan",Dulwan,222050205,338,241,579,2,1,3,Combined
"",,,Jungle Maseet Wala,222050206,106,64,170,,,,
"",,,Bunga Nacha Langriyal,222050207,195,144,339,,,,
"",144,"Govt Boys Primary School21/8-R",Chak No.21/8-R,222050602,484,348,832,1,1,2,Combined
"",145,"Govt Boys Primary School21/8-R",Chak No.21/8-R,222050601,691,487,1178,2,1,3,Combined
"",146,"Govt Boys Primary SchoolGhazi panda",Ghazi Panda,222050608,683,550,1233,2,1,3,Combined
"",147,"Govt Boys High School7/8-R",Chak No7/8-R,222050606,435,346,781,1,1,2,Combined
"",,,Chak No7/8-R,222050611,435,346,781,,,,
"",148,"Govt Boys High School7/8-R",Chak No7/8-R,222050607,300,239,539,1,1,2,Combined
"",149,"Govt Boys Middle School6/8-R",Jungle Mian Chaingo,222050609,296,210,506,1,1,2,Combined
"",,,Chak Sultan Mehar Shah,222050610,154,101,255,,,,
"",150,"Govt Girls Primary School22/8-R",Chak No-22/8-R,222050603,217,143,360,1,1,2,Combined
"",,,Chak No-22/8-R,222050605,165,123,288,,,,
"",151,"Govt Girls Primary School22/8-R",Chak No-22/8-R,222050604,416,346,762,1,1,2,Combined
"",152,"Govt Boys Middle School5/8-AR",Chak No5/8-AR,222051202,539,388,927,1,1,2,Combined
