"","PollingStation",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters",Male Booths,Female Booths,Total Booths,Booth Type
"",,,Murad man,223050404,0,821,821,,,,
"",64,"Govt.Boys Pry .SchoolTangra (1st Port.)",Tangra,223050405,582,0,582,2,0,2,Male
"",,,Juwahri,223050406,413,0,413,,,,
"",65,"Govt.Boys Primary SchoolTangra (2nd Port) .",Tangra,223050405,0,450,450,0,2,2,Female
"",,,Juwahri,223050406,0,244,244,,,,
"",66,"Govt.Girls MiddleSchool,Hashmat Mirali.",Hashmat Mirali,223050501,568,434,1002,2,2,4,Combined
"",,,Hashmat Merali,223050505,333,239,572,,,,
"",67,"Govt.Boys Middle SchoolHashmat Mirali.",Hashmat Mirali,223050502,311,256,567,1,1,2,Combined
"",,,Hashmat Merali,223050506,354,246,600,,,,
"",68,B.H.U. Hashmat Mirali.,Hashmat Mirali,223050503,338,264,602,1,1,2,Combined
"",,,Hashmat Mirali,223050504,79,46,125,,,,
"",69,"Govt.Boys High SchoolMohri Wala(P-I).",Mohri Wala,223050601,283,93,376,1,1,2,Combined
"",70,"Govt.Boys High SchoolMohri Wala (Primary",Mohri Wala,223050602,386,234,620,1,1,2,Combined
"",,,Yakka,223050608,161,58,219,,,,
"",71,"Govt.Boys High SchoolMohri Wala (Middle",Mohri Wala,223050603,260,163,423,2,2,4,Combined
Mohri Wala,223050604,632,465,1097,,,,,,,
Mohri Wala,223050605,428,271,699,,,,,,,
Mohri Wala,223050606,223,127,350,,,,,,,
Mohri Wala,223050609,223,127,350,,,,,,,
"",73,"Govt.Boys High SchoolFarid Pur.",Farid Pur,223050801,451,311,762,1,1,2,Combined
"",74,"Govt.Boys pry.SchoolAhmad Wala at Farid pur(1st Port).",Farid Pur,223050802,439,266,705,1,1,2,Combined
"",,,Manga Wairar,223050804,98,44,142,,,,
"",,,Manga Wairar,223050805,64,49,113,,,,
"",75,"Govt .Boys pry.SchoolAhmad Wala at Farid Pur",Farid Pur,223050803,587,370,957,1,1,2,Combined
"",,,Farid Pur,223050806,587,370,957,,,,
"",76,"Govt.Boys High SchoolBaqir Pur (1st Port) .",Baqir Pur,223050703,434,0,434,2,0,2,Male
"",77,"Govt.Boys High SchoolBaqir Pur (2nd  Port)",Baqir Pur,223050703,0,357,357,0,2,2,Female
"",78,"Govt Girls Primary School,Baqir Pur No.2",Baqir Pur,223050704,277,206,483,2,1,3,Combined
"",,,Baqir Pur,223050705,720,526,1246,,,,
"",,,Baqir Pur,223050706,720,526,1246,,,,
"",79,"Govt Boys Primary School,Pul GomoWali (Masjed",Baqir Pur,223050701,831,693,1524,2,2,4,Combined
"",,,Baqir Pur,223050702,831,693,1524,,,,
"",80,"Govt.Boys Middle SchoolKaram Shah.",Karam Shah,223050707,456,331,787,1,1,2,Combined
"",81,"Office Of the UnoionCouncil, Dandi Sargana .",Dandi Sargna,223050901,378,0,378,2,0,2,Male
"",,,Dandi Sargna,223050902,163,0,163,,,,
"",,,Dandi Sargna,223050903,200,0,200,,,,
"",,,Dandi Sargna,223050904,490,0,490,,,,
"",,,Dandi Sargna,223050905,490,0,490,,,,
"",82,B.H.U.Dandi Sargana .,Dandi Sargna,223050901,0,289,289,0,2,2,Female
"",,,Dandi Sargna,223050902,0,137,137,,,,
"",,,Dandi Sargna,223050903,0,149,149,,,,
"",,,Dandi Sargna,223050904,0,420,420,,,,
"",,,Dandi Sargna,223050905,0,420,420,,,,
"",83,"Govt.Boys MiddleMuhammad Shah.",Muhammad Shah,223050906,541,464,1005,1,1,2,Combined
"",84,"Govt.Boys Primary SchoolSahib Langra.",Sahib Langra,223050907,675,665,1340,1,1,2,Combined
"",85,"Govt.Boys High SchoolFazil Shah .",Fazil Shah,223051001,373,0,373,3,0,3,Male
"",,,Fazil Shah,223051002,196,0,196,,,,
"",,,Fazil Shah,223051003,136,0,136,,,,
"",,,Fazil Shah,223051004,316,0,316,,,,
