ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",,Total,,,,,257,197,454,,,
240,"Boys Primary School Azghnani Bun(Combined)",THIKAR,226050401,,,,526,455,981,1,1,2
"",,Total,,,,,526,455,981,,,
241,"Boys Middle School Theeker(Combined)",THIKAR,226050402,,,,385,348,733,1,1,2
"",,Total,,,,,385,348,733,,,
242,"Girls Primary School Phughlu(Combined)",PHUGLOO,226050604,,,,613,547,1160,1,1,2
"",,Total,,,,,613,547,1160,,,
243,"Boys Primary School Sarsarthokh(Combined)",SAKANDI NO.2,226050605,,,,262,213,475,1,1,2
Total,,,,,262,213,475,,,,,
TATO MAR,226050502,,,,166,184,350,,,,,
TUL MAR SAR,226050602,,,,284,270,554,,,,,
MARRKI,226050603,,,,161,134,295,,,,,
245,"Boys Middle Dombar Shumali(Combined)",DOMBAR SHUMALI,226030704,,,,344,286,630,1,1,2
"",,Total,,,,,344,286,630,,,
246,"Boys Primary School Maila(Combined)",DOMBAR JANUBI,226030701,,,,256,233,489,1,1,2
"",,TARANG,226030702,,,,87,63,150,,,
"",,Total,,,,,343,296,639,,,
