ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
PESHI LEGHARI,226060405,,,,49,36,85,,,,,
Total,,,,,365,283,648,,,,,
TAKRA SHUMALI,226060401,,,,152,132,284,,,,,
TAKRA JANUBI,226060403,,,,64,28,92,,,,,
THOKH DALANA,226060406,,,,20,7,27,,,,,
ZAI,226060602,,,,9,2,11,,,,,
DAHAR,226060603,,,,34,15,49,,,,,
JAJ,226060604,,,,131,62,193,,,,,
252,BMP Post Dalana (Combined),DALANA,226060601,,,,975,486,1461,2,2,4
"",,Total,,,,,975,486,1461,,,
"",,SARTHOKH,226060605,,,,129,76,205,1,1,2
"",,SABKOHA,226060606,,,,90,51,141,,,
"",,JEDI SHARQI,226060607,,,,12,12,24,,,
"",,Total,,,,,231,139,370,,,
253,"Boys Primary School Bhirki(Combined)",BAGA,226060407,,,,404,369,773,1,1,2
"",,SOR,226060503,,,,70,43,113,,,
"",,RAI,226060504,,,,22,2,24,,,
"",,Total,,,,,496,414,910,,,
Grand Total:,,,,179311,127698,306896,361,307,668,,,
ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-191-DGKHAN-III,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-191-DGKHAN-III,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea",Number of Voters  assigned to,Number of polling,,,,,,
"",,Name of electoral area,Census Block Code,Name of electoral area,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Vocational Training InstitueChurhattah Block",,,Chisti Wala / Tahli Wala,224120102,,445,0,445,3,0,3
"",,,,Chisti Wala / Tahli Wala,224120107,,467,0,467,,,
"",,,,"Nizam Abad. BlockNo.57",224130101,,489,0,489,,,
"",,,,"Nizam Abad. BlockNo.57",224130108,,599,0,599,,,
"",,,,Total,,,2000,0,2000,,,
2,"M.C Boys Primary SchoolNo.10 DGKhan. (Female)",,,Chisti Wala / Tahli Wala,224120102,,0,388,388,0,4,4
"",,Chisti Wala / Tahli Wala,224120107,,0,331,331,,,,,
"",,"Nizam Abad. BlockNo.57",224130101,,0,362,362,,,,,
"",,"Nizam Abad. BlockNo.57",224130108,,0,440,440,,,,,
"",,Total,,,0,1521,1521,,,,,
"",,"Sajjad Abad Colony BlockNo.1/2",224130102,,677,500,1177,,,,,
"","Govt School for Special Education forDeaf & Dumb Block ChurrhattaDGKhan. (Combined)",,,"Sajjad Abad Colony BlockNo.1/2",224130110,,,,0,2,2,4
"",,,,"Sajjad Abad Colony BlockNo.1/2",224130111,,,,0,,,
"",,,,"Sajjad Abad Colony BlockNo.2/2",224130103,,160,133,293,,,
"",,,,"Sajjad Abad Colony BlockNo.2/2",224130112,,156,144,300,,,
"",,,,Total,,,993,777,1770,,,
4,"Girls High SchoolMullah Qaid Shah (Jadeed)DGKhan   ( Male )",,,Maqbool Abad Colony,224130201,,475,0,475,4,0,4
"",,,,Nizam Abad.,224130401,,511,0,511,,,
"",,,,Nizam Abad.,224130406,,496,0,496,,,
"",,,,Total,,,1482,0,1482,,,
5,"Girls High SchoolMullah Qaid Shah (Jadeed)DGKhan   (Female)",,,Maqbool Abad Colony,224130201,,0,369,369,0,4,4
"",,,,Nizam Abad.,224130401,,0,354,354,,,
"",,,,Nizam Abad.,224130406,,0,352,352,,,
"",,,,Total,,,0,1075,1075,,,
6,"Girls High SchoolMullah Qaid Shah (Jadeed)DGKhan   ( Male )",,,Nizam Abad.,224130407,,589,0,589,4,0,4
"",,,,Nizam Abad. Block No.54,224130402,,308,0,308,,,
"",,,,Nizam Abad. Block No.54,224130408,,522,0,522,,,
"",,,,Nizam Abad. Block No.54,224130409,,289,0,289,,,
"",,,,Total,,,1708,0,1708,,,
7,"Girls High SchoolMullah Qaid Shah (Jadeed)DGKhan   ( Female )",,,Nizam Abad.,224130407,,0,490,490,0,2,2
"",,,,Nizam Abad. Block No.54,224130402,,0,269,269,,,
"",,,,Nizam Abad. Block No.54,224130408,,0,286,286,,,
"",,,,Nizam Abad. Block No.54,224130409,,0,332,332,,,
"",,,,Total,,,0,1377,1377,,,
8,"Girls High SchoolMullah Qaid Shah (Jadeed)DGKhan   (Male)",,,Gulistan-e-Sarwar.,224130104,,200,0,200,2,0,2
"",,Gulistan-e-Sarwar.,224130113,,133,0,133,,,,,
"",,Gulistan-e-Sarwar.,224130114,,111,0,111,,,,,
"",,Cheanay Wala,224130106,,351,0,351,,,,,
"",,Cheanay Wala,224130117,,384,0,384,,,,,
"",,Total,,,1179,0,1179,,,,,
"",,Gulistan-e-Sarwar.,224130104,,0,145,145,,,,,
"","Girls School Special Education(Female)",,,Gulistan-e-Sarwar.,224130114,,0,107,107,0,2,2
"",,,,Cheanay Wala,224130106,,0,238,238,,,
"",,,,Cheanay Wala,224130117,,0,285,285,,,
"",,,,Total,,,0,872,872,,,
10,"Boys Elementory  School Kot Haibat.(Male)",,,"CHURHATTA  SIND SHUMALIBlock No.1/5",224131101,,577,0,577,2,0,2
"",,,,"CHURHATTA  SIND SHUMALIBlock No.2/5",224131102,,810,0,810,,,
"",,,,Total,,,1387,0,1387,,,
11,"Boys Elementory  School Kot Haibat.(Female)",,,"CHURHATTA  SIND SHUMALIBlock No.1/5",224131101,,0,459,459,0,2,2
"",,,,"CHURHATTA  SIND SHUMALIBlock No.2/5",224131102,,0,521,521,,,
"",,,,Total,,,0,980,980,,,
12,"Boys Elementory  School Kot Haibat.(Male)",,,"Churhatta ChahSamandry Wala",224130107,,361,211,572,2,1,3
"",,,,"Churhatta ChahSamandry Wala",224130118,,384,285,669,,,
"",,,,Total,,,745,496,1241,,,
13,"Boys Primary SchoolSumandri Wala. (Male)",,,"CHURHATTA  SIND SHUMALIBlock No.3/5",224131103,,677,0,677,2,0,2
"",,,,"CHURHATTA  SIND SHUMALIBlock No.4/5",224131104,,790,0,790,,,
"",,,,Total,,,1467,0,1467,,,
14,"Boys Primary SchoolSumandri Wala. (Female)",,,"CHURHATTA  SIND SHUMALIBlock No.3/5",224131103,,0,535,535,0,2,2
"",,,,"CHURHATTA  SIND SHUMALIBlock No.4/5",224131104,,0,530,530,,,
"",,,,Total,,,0,1065,1065,,,
15,"Boys Primary School Mullan Wala(Combined)",,,"CHURHATTA  SIND SHUMALIBlock No.5/5",224131202,,341,215,556,1,1,2
"",,,,"CHURHATTA  SIND SHUMALIBlock No.5/5",224131203,,216,191,407,,,
"",,,,"CHURHATTA  SIND SHUMALIBlock No.5/5",224131204,,221,201,422,,,
"",,,,Total,,,778,607,1385,,,
16,"Board of Intermediate & SecondaryEducation, D.G.Khan (Male)",,,"CHURHATTA SINDJANUBI  Block No.1/4",224131201,,386,0,386,2,0,2
"",,"CHURHATTA SINDJANUBI  Block No.2/4",224131302,,368,0,368,,,,,
"",,"CHURHATTA SINDJANUBI  Block No.2/4",224131303,,718,0,718,,,,,
"",,Total,,,1472,0,1472,,,,,
"","Board of Intermediate & SecondaryEducation, D.G.Khan (Female)",,,"CHURHATTA SINDJANUBI  Block No.2/4",224131302,,0,289,289,0,2,2
"",,,,"CHURHATTA SINDJANUBI  Block No.2/4",224131303,,0,542,542,,,
"",,,,Total,,,0,1100,1100,,,
18,"Board of Intermediate & SecondaryEducation, D.G.Khan (Combined)",,,"CHURHATTA SINDJANUBI  Block No.4/4",224131301,,73,64,137,2,2,4
"",,,,"CHURHATTA SINDJANUBI  Block No.3/4",224131304,,322,241,563,,,
"",,,,"CHURHATTA SINDJANUBI  Block No.3/4",224131401,,299,201,500,,,
"",,,,Total,,,694,506,1200,,,
19,"Boys Primary SchoolKarim Abad (Male)",,,"GADAI SHAMALI  BlockNo.2/18",224131305,,517,0,517,2,0,2
"",,,,"GADAI SHAMALI  BlockNo.3/18",224131306,,948,0,948,,,
"",,,,Total,,,1465,0,1465,,,
20,"Boys Primary SchoolKarim Abad (Female)",,,"GADAI SHAMALI  BlockNo.2/18",224131305,,0,424,424,0,2,2
"",,,,"GADAI SHAMALI  BlockNo.3/18",224131306,,0,695,695,,,
"",,,,Total,,,0,1119,1119,,,
21,"Boys Primary SchoolWalaey Wala.(Combined)",,,"GADAI SHAMALI  BlockNo.1/18",224131402,,389,266,655,2,1,3
"",,,,"GADAI SHAMALI  BlockNo.4/18",224131403,,364,272,636,,,
"",,,,Total,,,753,538,1291,,,
22,"Education College DGKhan(Male)",,,Shah Fasil Colony,224120101,,338,0,338,2,0,2
"",,,,Shah Fasil Colony,224120106,,284,0,284,,,
"",,,,Mehboob Abad,224120103,,944,0,944,,,
"",,,,Total,,,1566,0,1566,,,
23,"Education College DGKhan(Female)",,,Shah Fasil Colony,224120101,,0,295,295,0,2,2
"",,,,Shah Fasil Colony,224120106,,0,181,181,,,
"",,,,Mehboob Abad,224120103,,0,743,743,,,
"",,,,Total,,,0,1219,1219,,,
24,"Girls High School No.2DGKhan  ( Male )",,,Mehboob Abad,224120108,,783,0,783,2,0,2
"",,Mehboob Abad,224120109,,702,0,702,,,,,
"",,Total,,,1485,0,1485,,,,,
"",,Mehboob Abad,224120108,,0,458,458,,,,,
"",,Mehboob Abad,224120109,,0,686,686,,,,,
"","Education College DGKhan(Combined)",,,Shahzada Sultan Town,224120104,,447,387,834,2,1,3
"",,,,Shahzada Sultan Town,224120110,,498,368,866,,,
"",,,,Total,,,945,755,1700,,,
27,"Education College DGKhan(Combined)",,,City Town,224120105,,458,303,761,2,2,4
"",,,,City Town,224120111,,497,511,1008,,,
"",,,,Total,,,955,814,1769,,,
28,"Education College DGKhan(Combined)",,,Shah Fasil Colony,224120101,,338,295,633,1,1,2
"",,,,Shah Fasil Colony,224120106,,284,181,465,,,
"",,,,Total,,,622,476,1098,,,
29,"Girls Primary School No.1 KandayWala Near Girls High School No.2.",,,Bheyari Colony,224120201,,590,441,1031,1,1,2
"",,,,Total,,,590,441,1031,,,
30,"Govt.Girls Primary SchoolBlock No.42  (Male)",,,Block No.49,224120202,,456,0,456,3,0,3
"",,,,Block No.42,224120203,,459,0,459,,,
"",,,,Block No.43,224120204,,562,0,562,,,
"",,,,Total,,,1477,0,1477,,,
31,"Govt Girls High School No.2DGKhan ( Female )",,,Block No.49,224120202,,0,394,394,0,2,2
"",,,,Block No.42,224120203,,0,409,409,,,
"",,,,Block No.43,224120204,,0,515,515,,,
"",,,,Total,,,0,1318,1318,,,
32,"Govt Education UniversityDGKhan (Male)",,,Block No.44,224120501,,293,0,293,4,0,4
"",,,,Block No.45,224120502,,298,0,298,,,
"",,,,Block No.46,224130403,,708,0,708,,,
"",,,,Block No.44,224120507,,292,0,292,,,
"",,,,Block No.45,224120508,,264,0,264,,,
"",,,,Total,,,1855,0,1855,,,
33,"Govt Girls High School No.2DGKhan ( Female )",,,Block No.44,224120501,,0,227,227,0,3,3
"",,,,Block No.45,224120502,,0,212,212,,,
"",,,,Block No.46,224130403,,0,577,577,,,
"",,,,Block No.44,224120507,,0,316,316,,,
"",,,,Block No.45,224120508,,0,327,327,,,
"",,,,Total,,,0,1659,1659,,,
34,"Govt Comprehensive High SchoolDGKhan.   (Male)",,,Block No.47,224130404,,566,0,566,3,0,3
"",,,,Block No.48,224130405,,624,0,624,,,
"",,,,Total,,,1190,0,1190,,,
35,"Govt Elementory College (Female)DGKhan  ( Female )",,,Block No.47,224130404,,0,477,477,0,2,2
"",,,,Block No.48,224130405,,0,534,534,,,
"",,,,Total,,,0,1011,1011,,,
36,"Govt Comprehensive High SchoolDGKhan.  (Male)",,,Block No.26,224130502,,624,0,624,2,0,2
"",,Block No.25,224130503,,677,0,677,,,,,
"",,Total,,,1301,0,1301,,,,,
"",For Women DGKhan( Female ),,,Block No.25,224130503,,0,569,569,0,2,2
"",,,,Total,,,0,1088,1088,,,
38,"Govt Girls Primary SchoolKubbi Wala DGKhan Near City PoliceStation   (Male)",,,Block No.50,224120301,,307,0,307,2,0,2
"",,,,Block No.31,224120302,,525,0,525,,,
"",,,,Block No.30,224120303,,417,0,417,,,
"",,,,Total,,,1249,0,1249,,,
39,"Govt Girls Primary School KandayWala Near Girls High School No.2,DGKhan( Female )",,,Block No.50,224120301,,0,253,253,0,2,2
"",,,,Block No.31,224120302,,0,453,453,,,
"",,,,Block No.30,224120303,,0,369,369,,,
"",,,,Total,,,0,1075,1075,,,
40,"MC Girls Primary School No.8Block "" T "" DG Khan( Female )",,,Block No.29,224120503,,0,215,215,0,3,3
"",,,,Block No.29,224120509,,0,355,355,,,
"",,,,Block No.28,224120504,,0,525,525,,,
"",,,,Block No.27,224130501,,0,449,449,,,
"",,,,Total,,,0,1544,1544,,,
41,"Boys Primary School MaktabNoumania Block ""U"" DGKhan.(Male)",,,Block No.29,224120503,,292,0,292,3,0,3
"",,,,Block No.29,224120509,,325,0,325,,,
"",,,,Block No.28,224120504,,557,0,557,,,
"",,,,Block No.27,224130501,,488,0,488,,,
"",,,,Total,,,1662,0,1662,,,
42,"MC Girls Primary School No.9Block "" R "" DGKhan.(Male)",,,Block No.32,224120304,,483,0,483,4,0,4
"",,,,Block No.R,224120305,,413,0,413,,,
"",,,,Block No.33,224120402,,549,0,549,,,
"",,,,Block No.Q,224120403,,319,0,319,,,
"",,,,Total,,,1764,0,1764,,,
43,"MC Girls Primary School No.9Block "" R "" DGKhan.(Female)",,,Block No.32,224120304,,0,387,387,0,3,3
"",,,,Block No.R,224120305,,0,369,369,,,
"",,,,Block No.33,224120402,,0,460,460,,,
"",,,,Block No.Q,224120403,,0,309,309,,,
"",,,,Total,,,0,1525,1525,,,
44,"MC Boys Primary School No.6 Block""39""   DGKhan.  (Male)",,,Block No.41,224120205,,333,0,333,2,0,2
"",,,,Block No.40,224120401,,373,0,373,,,
"",,,,Block No.M,224120404,,484,0,484,,,
"",,,,Total,,,1190,0,1190,,,
45,"MC Girls Primary School No.3Block "" 39 "" DGKhan( Female )",,,Block No.41,224120205,,0,267,267,0,2,2
"",,Block No.40,224120401,,0,285,285,,,,,
"",,Block No.M,224120404,,0,419,419,,,,,
"",,Total,,,0,971,971,,,,,
"",,Block No.S,224120306,,570,0,570,,,,,
"",,Block No.T,224120505,,419,0,419,,,,,
"",(Male),,,Block No.V,224130504,,527,0,527,,,
"",,,,Total,,,2090,0,2090,,,
47,"MC Girls Primary School No.8Block "" T "" DG Khan( Female )",,,Block No.S,224120306,,0,491,491,0,4,4
"",,,,Block No.T,224120505,,0,345,345,,,
"",,,,Block No.U,224120506,,0,530,530,,,
"",,,,Block No.V,224130504,,0,459,459,,,
"",,,,Total,,,0,1825,1825,,,
48,"Govt Comprehensive High SchoolElemantory  Block  DGKhan.(Male)",,,Block No.W,224130505,,598,0,598,4,0,4
"",,,,Block No.X,224130506,,542,0,542,,,
"",,,,Block No.Y,224130701,,875,0,875,,,
"",,,,Total,,,2015,0,2015,,,
49,"Govt Girls Degree CollegeDGKhan ( Female )",,,Block No.W,224130505,,0,524,524,0,4,4
"",,,,Block No.X,224130506,,0,479,479,,,
"",,,,Block No.Y,224130701,,0,687,687,,,
"",,,,Total,,,0,1690,1690,,,
50,"MC Boys Primary School No.7 Block""M"" DG Khan(Male)",,,Block No.H,224120405,,484,0,484,3,0,3
"",,,,Block No.D,224120406,,304,0,304,,,
"",,,,Block No.D,224120407,,326,0,326,,,
"",,,,Block No.4,224130601,,598,0,598,,,
"",,,,Total,,,1712,0,1712,,,
51,"Boys Primary School  No.2Block No.4 DGKhan ( Female )",,,Block No.H,224120405,,0,420,420,0,2,2
"",,,,Block No.D,224120406,,0,206,206,,,
"",,,,Block No.D,224120407,,0,300,300,,,
"",,,,Block No.4,224130601,,0,466,466,,,
"",,,,Total,,,0,1392,1392,,,
52,"Govt.Comprehensive High SchoolNewly Constructed Block (Hall)DGKhan  (Male)",,,Block No.8,224130602,,760,0,760,2,0,2
"",,,,Block No.12,224130703,,357,0,357,,,
"",,,,Total,,,1117,0,1117,,,
53,"Govt Girls Degree CollegeDGKhan ( Female )",,,Block No.8,224130602,,0,659,659,0,2,2
"",,,,Block No.12,224130703,,0,358,358,,,
"",,,,Total,,,0,1017,1017,,,
54,"Govt.Comprehensive High SchoolDGKhan (Male)",,,Block No.16,224130704,,364,0,364,2,0,2
"",,,,Block No.15,224130706,,485,0,485,,,
"",,,,Total,,,849,0,849,,,
55,"Govt Girls Degree CollegeDGKhan ( Female )",,,Block No.16,224130704,,0,321,321,0,2,2
"",,Block No.15,224130706,,0,416,416,,,,,
"",,Total,,,0,737,737,,,,,
"",,Block No.39,224120601,,567,0,567,,,,,
"",,Block No.34,224120602,,569,0,569,,,,,
"",,Block No.P,224120603,,803,0,803,,,,,
"","MC Boys Primary School No.13 Block""P"" DG Khan ( Female )",,,Block No.39,224120601,,0,476,476,0,3,3
"",,,,Block No.34,224120602,,0,503,503,,,
"",,,,Block No.P,224120603,,0,634,634,,,
"",,,,Total,,,0,1613,1613,,,
58,"Union Council office Urban No.5DGKhan.  (Male)",,,Block No.L,224120604,,523,0,523,2,0,2
"",,,,Block No.G,224120605,,569,0,569,,,
"",,,,Total,,,1092,0,1092,,,
59,"Union Council office Urban No.5DGKhan.  (Male)",,,Block No.C,224120606,,735,0,735,3,0,3
"",,,,Block No.3,224130603,,469,0,469,,,
"",,,,Total,,,1204,0,1204,,,
60,"MC Girls Primary School No.6Block ""O"" DGKhan. ( Female )",,,Block No.L,224120604,,0,427,427,0,4,4
"",,,,Block No.G,224120605,,0,487,487,,,
"",,,,Block No.C,224120606,,0,554,554,,,
"",,,,Block No.3,224130603,,0,419,419,,,
"",,,,Total,,,0,1887,1887,,,
61,"MC Boys Primary School No.9 BlockNo. 10 DGKhan  (Male)",,,Block No.7,224130604,,275,0,275,2,0,2
"",,,,Block No.11,224130705,,301,0,301,,,
"",,,,Block No.6,224130606,,330,0,330,,,
"",,,,Block No.10,224130801,,286,0,286,,,
"",,,,Total,,,1192,0,1192,,,
62,"Tehsil Council Office Jinnah HallDGKhan( Female )",,,Block No.7,224130604,,0,305,305,0,2,2
"",,,,Block No.11,224130705,,0,207,207,,,
"",,,,Block No.6,224130606,,0,273,273,,,
"",,,,Block No.10,224130801,,0,256,256,,,
"",,,,Total,,,0,1041,1041,,,
63,"Govt Boys High School No.1DGKhan   (Male)",,,Block No.14,224130802,,347,0,347,2,0,2
"",,,,Block No.13,224130803,,296,0,296,,,
"",,,,Block No.9,224130804,,453,0,453,,,
"",,,,Total,,,1096,0,1096,,,
64,"Girls Vocational InstituteBlock No. 9 DGKhan ( Female )",,,Block No.14,224130802,,0,328,328,0,2,2
"",,,,Block No.13,224130803,,0,296,296,,,
"",,,,Block No.9,224130804,,0,432,432,,,
"",,,,Total,,,0,1056,1056,,,
65,"Govt Training Operator SchoolNear Poultry Form (Male)",,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,19/071",,506,0,506,3,0,3
"",,,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,29/072",,790,0,790,,,
"",,,,Total,,,1296,0,1296,,,
66,"Govt Training Operator SchoolNear Poultry Form (Female)",,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,19/071",,0,369,369,0,2,2
"",,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,29/072",,0,604,604,,,,,
"",,Total,,,0,973,973,,,,,
"",,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,39/073",,357,248,605,,,,,
"",Near Poultry Form (Combined),,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o20,69/074",,99,75,174,,,
"",,,,Total,,,929,662,1591,,,
68,"Girls Primary SchoolSiddique Abad. (Male)",,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/071",,0,0,0,2,0,2
"",,,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/072",,627,0,627,,,
"",,,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/073",,776,0,776,,,
"",,,,Total,,,1403,0,1403,,,
69,"Girls Primary SchoolSiddique Abad. (Female)",,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/071",,0,0,0,0,2,2
"",,,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/072",,0,498,498,,,
"",,,,ChurhattaPachadh Janubi,"Bloc2k2 4N1o21,50/073",,0,521,521,,,
"",,,,Total,,,0,1019,1019,,,
70,"Govt Commerce CollegeDGKhan  (Male)",,,Block No.K,224120701,,698,0,698,4,0,4
"",,,,Block No.35,224120802,,303,0,303,,,
"",,,,Block No.O,224120803,,526,0,526,,,
"",,,,Block No.37,224120806,,397,0,397,,,
"",,,,Total,,,1924,0,1924,,,
71,"Govt Commerce CollegeDGKhan ( Female )",,,Block No.K,224120701,,0,575,575,0,4,4
"",,,,Block No.35,224120802,,0,262,262,,,
"",,,,Block No.O,224120803,,0,423,423,,,
"",,,,Block No.37,224120806,,0,340,340,,,
"",,,,Total,,,0,1600,1600,,,
72,"MC Girls Primary School No.12 Block""B"" DGKhan.  (Male)",,,Block No.F,224120702,,609,0,609,4,0,4
"",,,,Block No.B,224120703,,682,0,682,,,
"",,,,Block No.2,224130605,,604,0,604,,,
"",,,,Total,,,1895,0,1895,,,
73,"MC Boys Primary School No.4Block No.""2""  DGKhan( Female )",,,Block No.F,224120702,,0,533,533,0,4,4
"",,,,Block No.B,224120703,,0,575,575,,,
"",,,,Block No.2,224130605,,0,502,502,,,
"",,,,Total,,,0,1610,1610,,,
74,"Boys Vocational InstituteDGKhan. (Male)",,,Block No.E,224120705,,501,0,501,4,0,4
"",,,,Block No.J,224120706,,443,0,443,,,
"",,,,Block No.N,224120804,,539,0,539,,,
"",,,,Block No.36,224120805,,430,0,430,,,
"",,,,Total,,,1913,0,1913,,,
75,"MC Boys Primary School No.3Block ""E""  DGKhan( Female )",,,Block No.E,224120705,,0,392,392,0,4,4
"",,Block No.J,224120706,,0,373,373,,,,,
"",,Block No.N,224120804,,0,447,447,,,,,
"",,Block No.36,224120805,,0,368,368,,,,,
"",,Total,,,0,1580,1580,,,,,
"",,Block No.A,224120704,,611,0,611,,,,,
"",,Block No.5,224130805,,549,0,549,,,,,
"",,,,Total,,,1650,0,1650,,,
77,"Boys Primary School No.1DGKhan( Female )",,,Block No.A,224120704,,0,505,505,0,3,3
"",,,,Block No.5,224130805,,0,489,489,,,
"",,,,Block No.1,224130806,,0,434,434,,,
"",,,,Total,,,0,1428,1428,,,
78,"Boys Comprehensive High SchoolNewly consturcted DGKhanPart-II   (Male)",,,"Mohallah Peer QatalChurhatta",224130202,,372,0,372,4,0,4
"",,,,"Mohallah Peer QatalGharbi",224130203,,204,0,204,,,
"",,,,"Mohallah Peer QatalSharqi",224130204,,437,0,437,,,
"",,,,Ghareeb Abad,224130301,,723,0,723,,,
"",,,,"Ghareeb Abad  MohallahPeer Qatal",224130303,,89,0,89,,,
"",,,,Total,,,1825,0,1825,,,
79,"MC Boys Primary School No.14 BlockChurrhatta  DGKhan(Female)",,,"Mohallah Peer QatalChurhatta",224130202,,0,287,287,0,3,3
"",,,,"Mohallah Peer QatalGharbi",224130203,,0,150,150,,,
"",,,,"Mohallah Peer QatalSharqi",224130204,,0,377,377,,,
"",,,,Ghareeb Abad,224130301,,0,506,506,,,
"",,,,"Ghareeb Abad  MohallahPeer Qatal",224130303,,0,75,75,,,
"",,,,Total,,,0,1395,1395,,,
80,"Union Council office Urban No.3Ex-DEO Office (Male) DGKhan(Male)",,,"Block Churhatta  BlockNo.1/2",224130304,,345,0,345,3,0,3
"",,,,"Block Churhatta  BlockNo.2/2",224130305,,1166,0,1166,,,
"",,,,Total,,,1511,0,1511,,,
81,"MC Boys Primary School No.14 BlockChurrhatta DGKhan( Female )",,,"Block Churhatta  BlockNo.1/2",224130304,,0,266,266,0,2,2
"",,"Block Churhatta  BlockNo.2/2",224130305,,0,1009,1009,,,,,
"",,Total,,,0,1275,1275,,,,,
"",,"Ghareeb Abad Mulla QaidShah",224130302,,411,0,411,,,,,
"",,Block No.Z,224130702,,149,0,149,,,,,
"",,,,"Darishak Town BlockNo.17",224130904,,443,0,443,,,
"",,,,Total,,,1493,0,1493,,,
83,"MC Girls Primary School No.1Ex-Fire Brigade BuidlingDGKhan ( Female )",,,"Ghareeb Abad Mulla QaidShah",224130302,,0,366,366,0,2,2
"",,,,Block No.Z,224130702,,0,140,140,,,
"",,,,"Mohallah Sheikhan WalaBlock No.17",224130901,,0,366,366,,,
"",,,,"Darishak Town BlockNo.17",224130904,,0,326,326,,,
"",,,,Total,,,0,1198,1198,,,
84,"Govt School for Special Education forDeaf & Dumb Block ChurrhattaDGKhan. (Combined)",,,Haq Colony,224130105,,230,201,431,1,1,2
"",,,,Haq Colony,224130115,,220,123,343,,,
"",,,,Haq Colony,224130116,,173,188,361,,,
"",,,,Total,,,623,512,1135,,,
85,"Govt Boys Primary School, Aziz Abad,Markaz Sadar Shumali (Female)",,,Chah Bahadar Wala,224131001,,0,347,347,0,2,0
"",,,,Chah Bahadar Wala,224131007,,0,300,300,,,
"",,,,Chah Bahadar Wala,224131008,,0,289,289,,,
"",,,,Total,,,0,936,936,,,
86,"Govt. Boys MC Primary School, No.5,Chowk Churhatta (Male)",,,Chah Bahadar Wala,224131001,,435,0,435,,,
"",,,,Chah Bahadar Wala,224131007,,375,0,375,3,0,2
"",,,,Chah Bahadar Wala,224131008,,394,0,394,,,
"",,,,Total,,,1204,0,1204,,,
87,"Govt. Girls High School, Mullah QaidShah (Combined)",,,"Chan Tikan wala / NewModel Town",224131002,,323,219,542,3,1,4
"",,,,"Chan Tikan wala  / NewModel Town",224131009,,384,226,610,,,
"",,,,Chah Bahadar Wala,224131010,,330,230,560,,,
"",,,,Total,,,1037,675,1712,,,
88,"Girls High School Mulla Quaid ShahDGKhan ( Male )",,,Mehter Colony,224131003,,405,0,405,4,0,4
"",,Mehter Colony,224131011,,265,0,265,,,,,
"",,Mehter Colony,224131012,,440,0,440,,,,,
"",,"Akhtar Colony / BuzdarColony",224131004,,253,0,253,,,,,
"",,"Akhtar Colony / BuzdarColony",224131013,,269,,269,,,,,
"",,"Shahzad Colony  GhallaMandi",224131006,,67,0,67,,,,,
"",,Total,,,1699,0,1699,,,,,
"",,Mehter Colony,224131003,,0,267,267,,,,,
"","Girls High School Mulla Quaid ShahDGKhan( Female )",,,Mehter Colony,224131012,,0,356,356,0,3,3
"",,,,"Akhtar Colony / BuzdarColony",224131004,,0,195,195,,,
"",,,,"Akhtar Colony / BuzdarColony",224131013,,0,203,203,,,
"",,,,"Shahzad Colony  GhallaMandi",224131006,,0,55,55,,,
"",,,,Total,,,0,1317,1317,,,
90,"Govt School for Special Education forDeaf & Dump Block ChurrhattaDG Khan (Male)",,,Rajpoot Colony,224131005,,589,0,589,2,0,2
"",,,,Rajpoot Colony,224131014,,593,0,593,,,
"",,,,Total,,,1182,0,1182,,,
91,"Union Council Office Urban No.7DGKhan.( Female )",,,Rajpoot Colony,224131005,,0,394,394,0,2,2
"",,,,Rajpoot Colony,224131014,,0,407,407,,,
"",,,,Total,,,0,801,801,,,
