""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
23,23-Govt. Boys H/S Shakargarh (Male)(P),,,Muhallah Ansarian,1.84E+08,,585,,585,,,
"",,,Muhallah Ansarian,1.84E+08,,436,,436,,,,
"",,,,,Total:-,,1021,,1021,2,,2
24,"24-Govt. Boys H/S Shakargarh(Female)(P)",,,Muhallah Anssarian,1.84E+08,,,430,430,,,
"",,,Muhallah Anssarian,1.84E+08,,,364,364,,,,
"",,,,,Total:-,,,794,794,,2,2
"",,,,,,,,,,,,
25,25-Govt. Boys H/S Shakargarh (Male)(P),,,Muhallah Akbri,1.84E+08,,561,,561,,,
"",,,Imam Bargah Area,1.84E+08,,547,,547,,,,
"",,,,,Total:-,,1108,,1108,3,,3
26,"26-Govt. Boys H/S Shakargarh(Female)(P)",,,Muhallah Akbri,1.84E+08,,,431,431,,,
"",,,Imam Bargah Area,1.84E+08,,,428,428,,,,
"",,,,,Total:-,,,859,859,0,2,2
27,"27-Govt. Boys I.T. H/S Shakaragrh(Male)(P)",,,Muhallah Riaz Pura,1.84E+08,,1067,,1067,,,
"",,,Muhallah Riaz Pura,1.84E+08,,136,,136,,,,
"",,,,Muhallah Riaz Pura,1.84E+08,,135,,135,,,
"",,,,,Total:-,,1338,,1338,3,,3
"",(Female)(P),,,Muhallah Riaz Pura,1.84E+08,,,66,66,,,
"",,,,Muhallah Riaz Pura,1.84E+08,,,80,80,,,
"",,,,,Total:-,,,1190,1190,0,3,3
"",,,,,,,,,,,,
29,"29-Govt. Boys I.T. H/S Shakargarh(Combined)(P)",,,"Muhallah PeoplesColony",1.84E+08,,619,489,1108,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,619,489,1108,2,1,3
30,"30-Govt. Girls P/S Muslim Town(Male)(P)",,,"Muhallah Lal PuraMuslim Town",1.84E+08,,286,,286,,,
"",,,"Muhallah Lal PuraMuslim Town",1.84E+08,,653,,653,,,,
"",,,"Muhallah Lal PuraMuslim Town",1.84E+08,,797,,797,,,,
"",,,,,Total:-,,1736,,1736,4,,4
31,31-Govt. P/S Afzal Pura (Female)(P),,,"Muhallah Lal PuraMuslim Town",1.84E+08,,,329,329,,,
"",,,"Muhallah Lal PuraMuslim Town",1.84E+08,,,505,505,,,,
"",,,"Muhallah Lal PuraMuslim Town",1.84E+08,,,604,604,,,,
"",,,,,Total:-,,,1438,1438,0,3,3
"",,,,,,,,,,,,
32,"32-Govt. Girls P/S Afzal Pura(Combined)(P)",,,Muhallah Nawaz Abad,1.84E+08,,562,496,1058,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,562,496,1058,1,1,2
33,"33-Govt. Boys Degree CollegeShakargarh (Male)(P)",,,Muhallah Rasheed Pura,1.84E+08,,863,,863,,,
"",,,Muhallah Rasheed Pura,1.84E+08,,388,,388,,,,
"",,,Muhallah Rasheed Pura,1.84E+08,,321,,321,,,,
"",,,,,Total:-,,1572,,1572,3,,3
34,"34-Govt. Boys Degree CollegeShakargarh B.Se.Block. (Female)(P)",,,Muhallah Rasheed Pura,1.84E+08,,,643,643,,,
"",,,Muhallah Rasheed Pura,1.84E+08,,,302,302,,,,
"",,,Muhallah Rasheed Pura,1.84E+08,,,271,271,,,,
"",,,,,Total:-,,,1216,1216,0,2,2
35,"35-Govt. Boys Degree college HostilShakargarh (Male)(P)",,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,665,,665,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,290,,290,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,199,,199,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,187,,187,,,
"",,,,,Total:-,,2301,,2301,4,,4
36,"36-Govt. Boys Degree college HostilShakargarh (Female)(P)",,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,,559,559,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,,197,197,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,,764,764,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,,181,181,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",1.84E+08,,,172,172,,,
"",,,,,Total:-,,,1873,1873,0,4,4
37,37-Govt. Girls H/S Shakargarh (Male)(P),,,Muhallah Malkan,1.84E+08,,698,,698,,,
"",,,Muhallah Malkan,1.84E+08,,658,,658,,,,
"",,,,,Total:-,,1356,,1356,3,,3
38,"38-Govt. Girls H/S Shakargarh(Female)(P)",,,Muhallah Malkan,1.84E+08,,,602,602,,,
"",,,Muhallah Malkan,1.84E+08,,,564,564,,,,
"",,,,,Total:-,,,1166,1166,0,3,3
"",,,,,,,,,,,,
39,"39-Govt. Girls H/S Shakargarh(Combined)(P)",,,Main Qabristan Road,1.84E+08,,474,377,851,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,474,377,851,1,1,2
"",,,,,,,,,,,,
40,"40-Govt. Boys M.M. H/S shakargarh(Male)(P)",,,Civil Hospital Area,1.84E+08,,863,,863,,,
"",,,Civil Hospital Area,1.84E+08,,146,,146,,,,
"",,,,,Total:-,,1009,,1009,2,,2
41,"41-Govt. Boys M.M. H/S shakargarh(Female)(P)",,,Civil Hospital Area,1.84E+08,,,719,719,,,
"",,,Civil Hospital Area,1.84E+08,,,98,98,,,,
"",,,,,Total:-,,,817,817,0,2,2
"",,,,,,,,,,,,
42,"42-Govt. Boys M.M. H/S shakargarh(Combined)(P)",,,"Ranger Head quarterArea",1.84E+08,,426,307,733,,,
"",,,"Ranger Head quarterArea",1.84E+08,,494,368,862,,,,
"",,,,,Total:-,,920,675,1595,2,2,4
43,"43-Govt. Girls P/S Shakargarh No.2Near Flour Mill( Combined) (P)",,,Manzoor Colony,1.84E+08,,634,448,1082,,,
"",,,,,,,,,,,,
"",,,,Total:-,,634,448,1082,2,1,3,
"",,,,,,,,,,,,
"",,,,,,,,,,,,
44,,,Muhallah Munir Abad,1.84E+08,,557,,557,,,,
"",,,Muhallah Munir Abad,1.84E+08,,385,,385,,,,
"",,,Muhallah Munir Abad,1.84E+08,,259,,259,,,,
"",,,,Muhallah Munir Abad,1.84E+08,,618,,618,,,
"",,,,Total:-,,2162,,2162,4,,4,
45,"45-Govt. Boys M.M. H/S Shakargarh(Female)(P)",,,Muhallah Munir Abad,1.84E+08,,,440,440,,,
"",,,Muhallah Munir Abad,1.84E+08,,,310,310,,,,
"",,,,Muhallah Munir Abad,1.84E+08,,,258,258,,,
"",,,,Muhallah Munir Abad,1.84E+08,,,310,310,,,
"",,,,Muhallah Munir Abad,1.84E+08,,,518,518,,,
"",,,,,Total:-,,,1836,1836,0,4,4
46,"46-Govt.  Degree College for womenShakargarh (Combined)(P)",,,Muhallah Saraj Ganj,1.84E+08,,408,343,751,,,
"",,,Muhallah Bijli Garh,1.84E+08,,397,325,722,,,,
"",,,,,Total:-,,805,668,1473,2,2,4
47,47-Govt. P/S Rasheed Pur (Male)(P),,,Muhallah Rasheed Pura,1.84E+08,,183,,183,,,
"",,,,"Railway Line (WestPart)",1.84E+08,,137,,137,,,
"",,,,Muhallah Faisal Town,1.84E+08,,635,,635,,,
"",,,,,Total:-,,955,,955,2,,2
48,"48-Govt. Girls P/S Fasil town(Female)(P)",,,Muhallah Rasheed Pura,1.84E+08,,,144,144,,,
"",,,"Railway Line (WestPart)",1.84E+08,,,115,115,,,,
"",,,,Muhallah Faisal Town,1.84E+08,,,449,449,,,
"",,,,,Total:-,,,708,708,0,2,2
49,"49-Govt.Girls P/S Chack Mirdah.(Combined) (P)","ChackMirdah.",257010101,,,,510,343,853,,,
"","MohaalJalalPur(BC)",257010104,,,,120,79,199,,,,
"",,Zafarwal.,257010201,,,,60,39,99,,,
"",,Zafarwal.,257010202,,,,16,21,,,,
"",,,,,Total:-,,706,482,1151,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
50,"50-Govt. Girls Community ModelSchool Khushal Garh (Combined)","KhushalGarh",257010103,,,,403,297,700,,,
"","NangalSotkan",257010301,,,,153,96,249,,,,
"",,,,,Total:-,,556,393,949,1,1,2
"",,,,,,,,,,,,
"",,,,,,,,,,,,
51,"ChackKhokhar",257011601,,,,114,88,202,,,,
"",Matter,257011603,,,,319,237,556,,,,
"",Bubak,257011606,,,,132,80,212,,,,
"",Bubak,257011607,,,,317,225,542,,,,
"",,,,,,,,,,,,
52,"52-Govt.Girls H/S Bhattian Dewan(Male) (P)",Mumdal,257010102,,,,200,,200,,,
"",Bhattian,257010302,,,,306,,306,,,,
"",Bhattian,257010303,,,,328,,328,,,,
"",Bhattian,257010304,,,,272,,272,,,,
"",,Naro,257010405,,,,105,,105,,,
"",,"Sangowala",257010406,,,,195,,195,,,
"",,,,,Total:-,,1406,0,1406,3,0,3
53,"53-Govt.Girls H/S Bhattian Dewan(Female) (P)",Mumdal,257010102,,,,,119,119,,,
"",Bhattian,257010302,,,,,223,223,,,,
"",Bhattian,257010303,,,,,221,221,,,,
"",Bhattian,257010304,,,,,210,210,,,,
"",,Naro,257010405,,,,,75,75,,,
"",,"Sangowala",257010406,,,,,144,144,,,
"",,,,,Total:-,,0,992,992,0,2,2
54,54-Govt. GPS Nagrey No. 2 (Combined),Nagrey,257010305,,,,127,96,223,,,
"",Fattowal,257010306,,,,48,38,86,,,,
"","NahalGarh Bc",257010307,,,,0,0,0,,,,
"","SammoSaini",257010401,,,,162,120,282,,,,
"","Bhagotipur",257010402,,,,300,220,520,,,,
"",,,,,Total:-,,637,474,1111,1,1,2
55,"55-Govt.Girls P/S Ladharr. (Combined)(P)",Ladharr,257010403,,,,284,194,478,,,
"","Shankerpur",257010404,,,,5,3,8,,,,
"",Pendori,257011401,,,,292,220,512,,,,
"","MullanChak",257011402,,,,118,79,197,,,,
"",,,,,Total:-,,699,496,1195,2,1,3
56,56-Govt.Boys M/S Jandeyala. (Male) (P),"Jandeyala",257010501,,,,716,,716,,,
"","Barthal-Veran",257010502,,,,106,,150,,,,
"","Asmail-pur.BC",257010506,,,,0,,0,,,,
"",,,,,Total:-,,822,0,866,2,0,2
57,"57-Govt.Girls M/S Jandiala. (Female)(P)","Barthal-Veran",257010502,,,,,70,70,,,
"","Jandeyala",257010501,,,,,573,573,,,,
"",Mirza-pur,257010503,,,,,416,416,,,,
"",,,,,Total:-,,,1059,1059,0,2,2
58,58-Govt.Girls P/S Jarpal (Combined) (P),"Manghwal",257010504,,,,434,338,772,,,
"",Jarpal,257010505,,,,582,401,983,,,,
"",,,,,Total:-,,1016,739,1755,2,1,3
59,59-Govt.P/S Devli (Combined) (P),Devli,257010507,,,,448,336,784,,,
"",Devli,257010508,,,,341,214,555,,,,
"",,,,,Total:-,,789,550,1339,2,1,3
60,"60-Govt.Girls P/S Chak-Vechla.(Combined) (P)","Lahre-Kalan",257010601,,,,111,59,170,,,
"","Lehre-Khurd",257010602,,,,218,138,356,,,,
"","Chak-Vechala.",257010603,,,,373,268,641,,,,
"","Maan-Pur.BC",257010606,,,,0,0,0,,,,
"",,Sapwal,257010701,,,,302,211,513,,,
"",,"MohalMurwalBC",257010707,,,,0,0,0,,,
"",,,,,Total:-,,1004,676,1680,2,1,3
61,"61-Govt.Girls P/S Sakhroor (Combined)(P)",Sakror,257010604,,,,682,457,1139,,,
"",Sakrori,257010605,,,,173,115,288,,,,
"",,,,,Total:-,,855,572,1427,2,1,3
62,62-Govt.Girls E/S Malla. (Combined) (P),Mugha,257010702,,,,80,52,132,,,
"",Ratnal,257010703,,,,90,53,143,,,,
"",Nadwal,257010705,,,,104,56,160,,,,
"",Mala,257010708,,,,440,330,770,,,,
"",Mala,257010709,,,,116,86,202,,,,
"",,,,,Total:-,,830,577,1407,2,1,3
63,"63-Govt.Girls P/S Kot-Naju. (Combined)(P)",Badhyal,257010704,,,,200,104,304,,,
"",Kot-Naju,257010706,,,,530,392,922,,,,
"",,,,,Total:-,,730,496,1226,2,1,3
64,"64-Govt.Girls P/S Torrah. (Combined)(P)",Baja pur,257010801,,,,236,150,386,,,
"",Bhandial,257010802,,,,99,59,158,,,,
"",,"SaidNihal",257010803,,,,4,6,10,,,
"",,Tairah,257010804,,,,618,448,1066,,,
"",,Bagal BC,257010805,,,,0,0,0,,,
"",,,,,Total:-,,957,663,1620,2,1,3
65,"Chani-Baghareyan",257010807,,,,475,320,795,,,,
"",,"ChackGooghar",257010806,,,,0,0,0,,,
"",,,,,Total:-,,808,571,1379,2,1,3
66,"66-Govt.Boys P/S Saluwal (Combined)(P)","Bojhu-chak",257010901,,,,314,232,546,,,
"",Majra,257010902,,,,70,38,108,,,,
"",Saluwal,257010906,,,,432,297,729,,,,
"",Saluwal,257010907,,,,209,148,357,,,,
"",,,,,Total:-,,1025,715,1740,2,1,3
67,"67-Govt.Boys H/S Marara (Combined)(P)",Marara,257010903,,,,654,499,1153,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,654,499,1153,1,1,2
68,"68-Govt.Girls P/S Marara (Combined)(P)",Wazirpur,257010905,,,,574,388,962,,,
"",Marara,257010904,,,,169,122,291,,,,
"",,,,,Total:-,,743,510,1253,2,1,3
"",,,,,,,,,,,,
69,"69-Govt.Girls P/S Harbanas-pur(Combined) (P)","Harbanspur",257011302,,,,435,316,751,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,435,316,751,1,1,2
70,70-Govt.Girls E/S Marjal (Combined) (P),Marjal,257010908,,,,828,657,1485,,,
"",Marjal,257010909,,,,330,268,598,,,,
"",,,,,Total:-,,1158,925,2083,2,2,4
71,"71-Govt.Girls P/S Pindi-Chaniani(Combined) (P)","Pindi-Chaniani",257010910,,,,349,260,609,,,
"","Pindi-Chaniani",257010911,,,,602,413,1015,,,,
"",,,,,Total:-,,951,673,1624,2,2,4
72,72-Govt.Girls P/S Amral (Combined) (P),Amral,257010912,,,,212,162,374,,,
"",Amral,257010913,,,,447,345,792,,,,
"",,,,,Total:-,,659,507,1166,1,1,2
73,"73-Govt.Girls P/S Chakri (Combined)(P)",Chakri,257011001,,,,425,294,719,,,
"","Khan-pur-Salehrian",257011002,,,,137,105,242,,,,
"",,,,,Total:-,,562,399,961,1,1,2
74,"74-Govt.Boys High School Rapu-Chak(Combined) (P)",Akyal,257011003,,,,280,210,490,,,
"","Rapu-chakNo.1",257011005,,,,572,462,1034,,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,852,672,1524,2,1,3
"",,"Rapu-chakNo.3",257011007,,,,429,325,,,,
"",,,,,Total:-,,952,831,1783,2,2,4
76,"76-Govt.Girls P/S Chohali (Combined)(P)","Basanat-pur BC",257011004,,,,0,0,0,,,
"",Ghazi-pur,257011105,,,,340,209,549,,,,
"",Panjmali,257011101,,,,186,149,335,,,,
"",,Chohali,257011102,,,,281,235,516,,,
"",,"Sakindar-pur",235701103,,,,148,97,245,,,
"",,"Rathan-Ghar.BC",257011104,,,,0,0,0,,,
"",,Lalyal,257011106,,,,166,112,278,,,
"",,,,,Total:-,,1121,802,1923,2,2,4
77,"77-Govt.Girls P/S Rajwal. (Combined)(P)",Maila,257011201,,,,357,212,569,,,
"",Rajwal,257011204,,,,375,484,294,,,,
"",,,,,Total:-,,732,696,1428,2,1,3
78,"78-Govt. Girls E/S Sapanwal No.2(Combined) (P)","Pachawalian",257011202,,,,428,284,712,,,
"","BhattiGoraha",257011203,,,,252,145,397,,,,
"",Sapanwal,257011209,,,,274,180,454,,,,
"",,,,,Total:-,,954,609,1563,2,1,3
79,"79-Govt.Girls P/S Jaghal (Combined)(P)",Thakhyal,257011205,,,,261,184,445,,,
"",Jagal,257011206,,,,451,264,715,,,,
"",,,,,Total:-,,712,448,1160,2,1,3
80,"80-Govt.Boys E/S Sapanwal No.1(Combined) (P)",Sapanwal,257011207,,,,446,333,779,,,
"",Sapanwal,257011208,,,,395,256,651,,,,
"",,,,,Total:-,,841,589,1430,2,1,3
81,"81-Govt.Girls P/S Wadhala. (Combined)(P)","Aughuwal",257011301,,,,545,377,922,,,
"",Wadhala,257011303,,,,544,451,995,,,,
"",,,,,Total:-,,1089,828,1917,2,2,4
82,"82-Govt. Girls Primary School ChakDaudhu(Combined)",Khaprala,257011304,,,,53,31,84,,,
"","Chak-Daudhu",257011305,,,,400,245,645,,,,
"",,,,,Total:-,,453,276,729,1,1,2
83,"83-Govt. Boys P/S Amwal (Combined)(P)",Amwal.,257011306,,,,526,356,882,,,
"",Amwal.,257011307,,,,203,179,382,,,,
"",,,,,Total:-,,729,535,1264,2,1,3
84,"84-Govt.Boys P/S Bhabalwali(Combined) (P)","Longokey",257011405,,,,367,309,676,,,
"",Ugowala,257011406,,,,202,133,335,,,,
"",,,,Total:-,,569,442,1011,1,1,2,
85,"85-Govt. Girls Primary School GnaishPur(Combined)",Pir Kala,257011407,,,,106,71,177,,,
"","GnaishPur",257011403,,,,300,249,549,,,,
"",,,,,Total:-,,406,320,726,1,1,2
86,"86-Govt.Girls P/S Jandran. (Combined)(P)",Jandran,257011408,,,,621,525,1146,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,621,525,1146,1,1,2
"",,,,,,,,,,,,
87,"87-Govt.Girls P/S Jahanian. (Combined)(P)",Sohail,257011404,,,,156,114,270,,,
"",Jahanian,257011409,,,,422,335,757,,,,
"",Jahanian,257011410,,,,234,166,400,,,,
"",,,,,Total:-,,812,615,1427,2,1,3
88,"88-Govt.Boys P/S Kartarpur(Combined) (P)","MahalArazi",257011501,,,,23,9,32,,,
"",Kartarpur,257011502,,,,213,141,354,,,,
"",,Musa(BC),257011506,,,,0,0,0,,,
"",,,,,Total:-,,236,150,386,1,1,2
89,"89-Govt.Boys P/S Habit Pur (Combined)(P)",Rajumarl,257011503,,,,409,313,722,,,
"","Mehmood Pur",257011504,,,,188,122,310,,,,
"",,Habitpur,257011505,,,,458,334,792,,,
"",,,,,Total:-,,1055,769,1824,2,2,4
90,"90-Govt. Boys E/S Rajian (Combined)(P)",Rajian,257011507,,,,342,301,643,,,
"",Rajian,257011508,,,,637,536,1173,,,,
"",,,,Total:-,,979,837,1816,2,2,4,
91,"91-Govt.Boys P/S Auncha-Khalan.(Male) (P)","Pindi-Devianian",257011602,,,,244,,244,,,
"","Auncha-Khalan",257011604,,,,740,,740,,,,
"","Auncha-Khalan",257011605,,,,327,,327,,,,
"",,,,,Total:-,,1311,,1311,3,0,3
92,"92-Govt.Girls P/S Auncha-Khalan.(Female) (P)","Pindi-Devianian",257011602,,,,,165,165,,,
"","Auncha-Khalan",257011604,,,,,558,558,,,,
"",,"Auncha-Khalan",257011605,,,,,237,237,,,
"",,,,,Total:-,,,960,960,0,2,2
93,"93-Govt.P/S Ghulley Bajwa. (Combined)(P)","GhulleyBajwa",257020105,,,,316,221,537,,,
"","GhulleyBajwa",257020106,,,,185,105,290,,,,
"",,,,,Total:-,,501,326,827,1,1,2
94,"94-Govt.Middle School Al-Ghumna.(Combined) (P)","Al-Ghumna",257020102,,,,442,305,747,,Sensitive,
"","Al-Ghumna",257020103,,,,351,234,585,,,,
"",,,,,Total:-,,793,539,1332,2,1,3
95,95-Govt.Boys P/S Ferozpur. (Male) (P),Ferozpur,257020104,,,,696,,696,,,
"",Dhulley,257020101,,,,138,,138,,,,
"","AudhoData",257020901,,,,369,,369,,,,
"",,,,,Total:-,,1203,,1203,2,0,2
96,"96-Govt.Boys P/S Ferozpur. (Female)(P)",Ferozpur,257020104,,,,,508,508,,,
"",Dhulley,257020101,,,,,90,90,,,,
"","AudhoData",257020901,,,,,265,265,,,,
"",,,,,Total:-,,,863,863,0,2,2
97,"97-Govt.Boys Primary School FethToor. (Combined) (P)",Ariyan,257020201,,,,263,174,437,,,
"",Feth-Toor,257020202,,,,523,409,932,,,,
"",,,,,Total:-,,786,583,1369,2,1,3
