"",Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,,Marar Chak No.42,202010412,,,,0,222,222,,,
"",Total,,,,0,815,815,0,2,2,,,
"",25,"Govt. G/H/S 42 Marar(Combined)",Marar Chak No.42,202010410,,,,699,575,1274,2,1,3
"",Total,,,,699,575,1274,2,1,3,,,
"",26,"Govt. B/H/S ChakPandorian 122 RB",Chak Pandorian 122 RB,202010701,,,,733,587,1320,2,2,4
"",,,Chak Pandorian 122 RB,202010704,,,,125,83,208,,,
"",Total,,,,858,670,1528,2,2,4,,,
"",27,"Govt. Girls/H/S ChakPandorian 122 RB",Chak Pandorian 122 RB,202010702,,,,528,394,922,2,2,4
"",,,Chak Pandorian 122 RB,202010703,,,,449,321,770,,,
"",Total,,,,977,715,1692,2,2,4,,,
"",28,"Govt. G/M/S ChakNo.121 RB Hanjli",No.121 RB Hanjli,202010705,,,,611,532,1143,2,2,4
"",,,Chak No. 290/RB Ramu Wala,202010707,,,,262,145,407,,,
"",Total,,,,873,677,1550,2,2,4,,,
"",29,"Govt. G/E/S Chak No.121 RB Dogri(Combined)",Chak No. 121 RB Dogri,202010706,,,,683,527,1210,2,1,3
"",Total,,,,683,527,1210,2,1,3,,,
"",30,"Govt. G/E/S ChakNo.120/RB DeraBegail Singh Wala(Male)",Chak No. 120 Dera Bakhshian Wala,202010601,,,,381,0,381,2,0,2
"",,,Begail Singh Wala,202010602,,,,487,0,487,,,
"",,,Abadi chaley key,202010603,,,,317,0,317,,,
"",Total,,,,1185,0,1185,2,0,2,,,
"",31,"Govt. G/E/S ChakNo.120/RB DeraBegail Singh Wala(Female)",Chak No. 120 Dera Bakhshian Wala,202010601,,,,0,254,254,0,2,2
"",,,Begail Singh Wala,202010602,,,,0,376,376,,,
"",,,Abadi chaley key,202010603,,,,0,240,240,,,
"",Total,,,,0,870,870,0,2,2,,,
"",32,"Govt. B/M/S Chak No.116 RB  (Combined)",Chak No. 116 RB Luther,202010606,,,,657,465,1122,2,1,3
"",Total,,,,657,465,1122,2,1,3,,,
"",33,"Govt. B/M/S Chak No.116 RB Gollay Bajwey",Chak No. 116 RB Ghulley Bajwey,202010604,,,,602,198,800,2,1,3
"",,,Chak No. 116 RB Ghulley Bajwey,202010605,,,,292,402,694,,,
"",Total,,,,894,600,1494,2,1,3,,,
"",34,"Govt. B/M/S SiranWali (Combined)",Siran Wali Chak No.123 RB,202010307,,,,294,208,502,2,2,4
Siran Wali Chak No.123 RB,202010308,,,,163,153,316,,,,,,
Siran Wali Chak No.123 RB,202010309,,,,72,71,143,,,,,,
